vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
332010,Kilauea,Hawaii,19.421,-155.287,1247,True,Very High Threat,5,WATCH,ORANGE,3,3,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/kilauea,https://volcanoes.usgs.gov/vsc/images/kilauea/kilauea.jpg,,345,4.23,1.78,19.77,109,87.0
311120,Great Sitkin,Alaska - Aleutians,52.0765,-176.1109,1740,True,High Threat,4,WATCH,ORANGE,3,3,avo,Alaska Volcano Observatory,https://www.avo.alaska.edu/activity/GreatSitkin.php,https://avo.alaska.edu/images/dbimages/display/1102983616_16_3.jpg,,21,5.3,2.44,58.34,2,60.8
332020,Mauna Loa,Hawaii,19.475,-155.608,4170,True,Very High Threat,5,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/mauna-loa,https://volcanoes.usgs.gov/vsc/images/mauna_loa/mauna_loa.jpg,,277,4.23,1.77,17.72,97,57.0
323100,Clear Lake Volcanic Field,California,38.97,-122.77,1439,True,High Threat,4,,,0,0,calvo,California Volcano Observatory,https://www.usgs.gov/volcanoes/clear-lake-volcanic-field,https://volcanoes.usgs.gov/vsc/images/clear_lake/CLV_thumb.jpg,,500,3.67,1.3,2.25,474,51.1
311360,Shishaldin,Alaska - Aleutians,54.7554,-163.9711,2857,True,High Threat,4,ADVISORY,YELLOW,2,2,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Shishaldin.php,https://avo.alaska.edu/images/dbimages/display/1108075524_30_3.jpg,,4,4.5,2.75,64.05,0,47.8
323180,Coso Volcanic Field,California,36.03,-117.82,2400,True,Moderate Threat,3,,,0,0,calvo,California Volcano Observatory,https://www.usgs.gov/volcanoes/coso-volcanic-field,https://volcanoes.usgs.gov/vsc/images/coso_volcanic_field/Coso-volcanic-field-310.jpg,,92,3.01,1.42,4.69,53,36.9
313020,Iliamna,Alaska - Cook Inlet-South Central,60.0319,-153.0918,3053,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Iliamna,https://avo.alaska.edu/images/dbimages/display/1107822698_2_3.jpg,,134,3.6,2.04,103.61,2,36.4
323822,Long Valley Caldera,California,37.7,-118.87,2204,True,Very High Threat,5,,,0,0,calvo,California Volcano Observatory,https://www.usgs.gov/volcanoes/long-valley-caldera,https://volcanoes.usgs.gov/vsc/images/long_valley/Long_Valley_310.jpg,,46,2.56,1.47,6.27,16,35.9
313030,Redoubt,Alaska - Cook Inlet-South Central,60.4852,-152.7438,3108,True,Very High Threat,5,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Redoubt.php,https://avo.alaska.edu/images/dbimages/display/1107819292_3_3.jpg,,60,3.6,1.96,102.34,0,35.5
313010,Augustine,Alaska - Cook Inlet-South Central,59.3626,-153.435,1260,True,Very High Threat,5,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Augustine.php,https://avo.alaska.edu/images/dbimages/display/1107823039_1_3.jpg,,47,3.6,2.06,92.42,1,34.7
313040,Spurr,Alaska - Cook Inlet-South Central,61.2989,-152.2539,3374,True,Very High Threat,5,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Spurr.php,https://avo.alaska.edu/images/dbimages/display/1107816397_82_3.jpg,,29,4.4,2.02,83.99,1,34.7
312160,Trident,Alaska - Alaska Peninsula,58.2343,-155.1026,1097,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Trident,https://avo.alaska.edu/images/dbimages/display/1107821287_75_3.jpg,,56,3,1.49,25.79,15,32.2
312180,Novarupta,Alaska - Alaska Peninsula,58.2654,-155.1591,841,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Novarupta,https://avo.alaska.edu/images/dbimages/display/1107821599_75_3.jpg,,55,3,1.5,27.56,15,32.1
312150,Mageik,Alaska - Alaska Peninsula,58.1946,-155.2544,2165,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Mageik,https://avo.alaska.edu/images/dbimages/display/1107821287_75_3.jpg,,54,3,1.46,28.66,14,31.9
332040,Hualalai,Hawaii,19.692,-155.87,2523,True,High Threat,4,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/hual%C4%81lai,https://volcanoes.usgs.gov/vsc/images/hualalai/hualalai.jpg,,42,3.45,1.84,12.08,15,31.9
312190,Griggs,Alaska - Alaska Peninsula,58.3572,-155.1037,2317,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Griggs,https://avo.alaska.edu/images/dbimages/display/1107885237_41_3.jpg,,53,3,1.5,27.82,14,31.8
323080,Lassen Volcanic Center,California,40.492,-121.508,3187,True,Very High Threat,5,,,0,0,calvo,California Volcano Observatory,https://www.usgs.gov/volcanoes/lassen-volcanic-center,https://volcanoes.usgs.gov/vsc/images/lassen_volcanic_center/Lassen82_310.jpg,,13,2.57,1.89,6.93,7,31.7
312140,Martin,Alaska - Alaska Peninsula,58.1692,-155.3566,1860,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Martin.php,https://avo.alaska.edu/images/dbimages/display/1107886420_72_3.jpg,,52,3.3,1.49,32.44,11,31.6
312170,Katmai,Alaska - Alaska Peninsula,58.279,-154.9533,2047,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Katmai,https://avo.alaska.edu/images/dbimages/display/1107821287_75_3.jpg,,58,2.5,1.48,25.56,15,31.5
312130,Ugashik-Peulik,Alaska - Alaska Peninsula,57.7503,-156.37,1474,True,High Threat,4,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Ugashik-Peulik,https://avo.alaska.edu/images/dbimages/display/1107887844_40_3.jpg,,39,3.9,1.76,34.84,8,31.0
321030,Mount Rainier,Washington,46.853,-121.76,4392,True,Very High Threat,5,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/mount-rainier,https://volcanoes.usgs.gov/vsc/images/mount_rainier/Mount-Rainier-home.jpg,,11,1.99,1.34,5.46,7,30.5
