date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,australia,0,0,0
1/23/20,australia,0,0,0
1/24/20,australia,0,0,0
1/25/20,australia,0,0,0
1/26/20,australia,4,0,0
1/27/20,australia,5,0,0
1/28/20,australia,5,0,0
1/29/20,australia,6,0,0
1/30/20,australia,9,0,2
1/31/20,australia,9,0,2
2/1/20,australia,12,0,2
2/2/20,australia,12,0,2
2/3/20,australia,12,0,2
2/4/20,australia,13,0,2
2/5/20,australia,13,0,2
2/6/20,australia,14,0,2
2/7/20,australia,15,0,2
2/8/20,australia,15,0,2
2/9/20,australia,15,0,2
2/10/20,australia,15,0,2
2/11/20,australia,15,0,2
2/12/20,australia,15,0,2
2/13/20,australia,15,0,8
2/14/20,australia,15,0,8
2/15/20,australia,15,0,8
2/16/20,australia,15,0,8
2/17/20,australia,15,0,10
2/18/20,australia,15,0,10
2/19/20,australia,15,0,10
2/20/20,australia,15,0,10
2/21/20,australia,15,0,11
2/22/20,australia,15,0,11
2/23/20,australia,15,0,11
2/24/20,australia,15,0,11
2/25/20,australia,15,0,11
2/26/20,australia,15,0,11
2/27/20,australia,15,0,11
2/28/20,australia,15,0,11
2/29/20,australia,25,0,11
3/1/20,australia,27,1,11
3/2/20,australia,30,1,11
3/3/20,australia,39,1,11
3/4/20,australia,52,2,11
3/5/20,australia,55,2,21
3/6/20,australia,60,2,21
3/7/20,australia,63,2,21
3/8/20,australia,76,3,21
3/9/20,australia,91,3,21
3/10/20,australia,107,3,21
3/11/20,australia,128,3,21
3/12/20,australia,128,3,21
3/13/20,australia,200,3,23
3/14/20,australia,250,3,23
3/15/20,australia,297,3,23
3/16/20,australia,377,3,23
3/17/20,australia,452,5,23
3/18/20,australia,568,6,23
3/19/20,australia,681,6,26
3/20/20,australia,791,7,26
3/21/20,australia,1071,7,26
3/22/20,australia,1549,7,88
3/23/20,australia,1682,7,88
3/24/20,australia,2044,8,115
3/25/20,australia,2364,8,119
3/26/20,australia,2810,13,172
3/27/20,australia,3143,13,194
3/28/20,australia,3640,14,244
3/29/20,australia,3984,16,244
3/30/20,australia,4361,17,257
3/31/20,australia,4559,18,358
4/1/20,australia,4862,20,422
4/2/20,australia,5116,24,520
4/3/20,australia,5330,28,649
4/4/20,australia,5550,30,701
4/5/20,australia,5687,35,757
4/6/20,australia,5797,40,1080
4/7/20,australia,5895,45,1080
4/8/20,australia,6010,50,1080
4/9/20,australia,6108,51,1472
4/10/20,australia,6215,54,1793
4/11/20,australia,6303,57,1806
4/12/20,australia,6315,60,1806
4/13/20,australia,6351,61,1806
4/14/20,australia,6415,62,2186
4/15/20,australia,6440,63,2186
4/16/20,australia,6462,63,2355
4/17/20,australia,6522,66,3808
4/18/20,australia,6568,67,4124
4/19/20,australia,6610,67,4124
4/20/20,australia,6623,67,4291
4/21/20,australia,6645,67,4695
4/22/20,australia,6652,67,4932
4/23/20,australia,6662,75,5047
4/24/20,australia,6677,79,5136
4/25/20,australia,6694,80,5376
4/26/20,australia,6714,83,5541
4/27/20,australia,6721,83,5588
4/28/20,australia,6744,89,5665
4/29/20,australia,6752,91,5715
4/30/20,australia,6766,93,5742
5/1/20,australia,6778,93,5775
5/2/20,australia,6799,94,5814
5/3/20,australia,6822,95,5849
5/4/20,australia,6847,96,5887
5/5/20,australia,6875,97,5975
5/6/20,australia,6894,97,6031
5/7/20,australia,6913,97,6078
5/8/20,australia,6918,97,6122
5/9/20,australia,6939,97,6141
5/10/20,australia,6948,97,6167
5/11/20,australia,6970,97,6213
5/12/20,australia,6980,98,6270
5/13/20,australia,6989,98,6297
5/14/20,australia,7019,98,6334
5/15/20,australia,7035,98,6359
5/16/20,australia,7044,98,6364
5/17/20,australia,7054,99,6392
5/18/20,australia,7068,99,6413
5/19/20,australia,7072,100,6431
5/20/20,australia,7081,100,6470
5/21/20,australia,7095,101,6478
5/22/20,australia,7099,101,6485
5/23/20,australia,7114,102,6508
5/24/20,australia,7114,102,6531
5/25/20,australia,7126,102,6552
5/26/20,australia,7139,103,6560
5/27/20,australia,7150,103,6579
5/28/20,australia,7165,103,6576
5/29/20,australia,7184,103,6605
5/30/20,australia,7192,103,6614
5/31/20,australia,7202,103,6618
6/1/20,australia,7221,102,6626
6/2/20,australia,7229,102,6636
6/3/20,australia,7240,102,6648
6/4/20,australia,7247,102,6683
6/5/20,australia,7252,102,6688
6/6/20,australia,7259,102,6703
6/7/20,australia,7265,102,6706
6/8/20,australia,7267,102,6720
6/9/20,australia,7274,102,6740
6/10/20,australia,7285,102,6759
6/11/20,australia,7289,102,6782
6/12/20,australia,7294,102,6803
6/13/20,australia,7320,102,6838
6/14/20,australia,7335,102,6851
6/15/20,australia,7347,102,6856
6/16/20,australia,7370,102,6861
6/17/20,australia,7391,102,6877
6/18/20,australia,7409,102,6878
6/19/20,australia,7411,102,6881
6/20/20,australia,7461,102,6896
6/21/20,australia,7474,102,6903
6/22/20,australia,7492,102,6915
6/23/20,australia,7521,103,6924
6/24/20,australia,7558,104,6931
6/25/20,australia,7595,104,6958
6/26/20,australia,7601,104,6960
6/27/20,australia,7686,104,6993
6/28/20,australia,7764,104,7007
6/29/20,australia,7834,104,7037
6/30/20,australia,7920,104,7040
7/1/20,australia,8001,104,7090
7/2/20,australia,8066,104,7130
7/3/20,australia,8260,104,7319
7/4/20,australia,8443,104,7399
7/5/20,australia,8583,106,7420
7/6/20,australia,8755,106,7455
7/7/20,australia,8886,106,7487
7/8/20,australia,9056,106,7573
7/9/20,australia,9374,106,7576
7/10/20,australia,9553,107,7733
7/11/20,australia,9797,108,7727
7/12/20,australia,9980,108,7769
7/13/20,australia,10251,108,7835
7/14/20,australia,10487,111,7928
7/15/20,australia,10810,113,8035
7/16/20,australia,11233,116,8114
7/17/20,australia,11441,118,8162
7/18/20,australia,11802,122,8274
7/19/20,australia,12069,123,8395
7/20/20,australia,12428,126,8398
7/21/20,australia,12894,128,8545
7/22/20,australia,13302,133,8770
7/23/20,australia,13595,139,8775
7/24/20,australia,13950,145,8938
7/25/20,australia,14403,155,9019
7/26/20,australia,14935,161,9174
7/27/20,australia,15303,167,9311
7/28/20,australia,15582,176,9617
7/29/20,australia,16298,189,9619
7/30/20,australia,16903,196,9759
7/31/20,australia,17280,201,9983
8/1/20,australia,17895,208,7213
8/2/20,australia,18318,221,7631
