date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,bangladesh,0,0,0
1/23/20,bangladesh,0,0,0
1/24/20,bangladesh,0,0,0
1/25/20,bangladesh,0,0,0
1/26/20,bangladesh,0,0,0
1/27/20,bangladesh,0,0,0
1/28/20,bangladesh,0,0,0
1/29/20,bangladesh,0,0,0
1/30/20,bangladesh,0,0,0
1/31/20,bangladesh,0,0,0
2/1/20,bangladesh,0,0,0
2/2/20,bangladesh,0,0,0
2/3/20,bangladesh,0,0,0
2/4/20,bangladesh,0,0,0
2/5/20,bangladesh,0,0,0
2/6/20,bangladesh,0,0,0
2/7/20,bangladesh,0,0,0
2/8/20,bangladesh,0,0,0
2/9/20,bangladesh,0,0,0
2/10/20,bangladesh,0,0,0
2/11/20,bangladesh,0,0,0
2/12/20,bangladesh,0,0,0
2/13/20,bangladesh,0,0,0
2/14/20,bangladesh,0,0,0
2/15/20,bangladesh,0,0,0
2/16/20,bangladesh,0,0,0
2/17/20,bangladesh,0,0,0
2/18/20,bangladesh,0,0,0
2/19/20,bangladesh,0,0,0
2/20/20,bangladesh,0,0,0
2/21/20,bangladesh,0,0,0
2/22/20,bangladesh,0,0,0
2/23/20,bangladesh,0,0,0
2/24/20,bangladesh,0,0,0
2/25/20,bangladesh,0,0,0
2/26/20,bangladesh,0,0,0
2/27/20,bangladesh,0,0,0
2/28/20,bangladesh,0,0,0
2/29/20,bangladesh,0,0,0
3/1/20,bangladesh,0,0,0
3/2/20,bangladesh,0,0,0
3/3/20,bangladesh,0,0,0
3/4/20,bangladesh,0,0,0
3/5/20,bangladesh,0,0,0
3/6/20,bangladesh,0,0,0
3/7/20,bangladesh,0,0,0
3/8/20,bangladesh,3,0,0
3/9/20,bangladesh,3,0,0
3/10/20,bangladesh,3,0,0
3/11/20,bangladesh,3,0,0
3/12/20,bangladesh,3,0,0
3/13/20,bangladesh,3,0,0
3/14/20,bangladesh,3,0,0
3/15/20,bangladesh,5,0,0
3/16/20,bangladesh,8,0,2
3/17/20,bangladesh,10,0,3
3/18/20,bangladesh,14,1,3
3/19/20,bangladesh,17,1,3
3/20/20,bangladesh,20,1,3
3/21/20,bangladesh,25,2,3
3/22/20,bangladesh,27,2,3
3/23/20,bangladesh,33,3,3
3/24/20,bangladesh,39,4,5
3/25/20,bangladesh,39,5,7
3/26/20,bangladesh,44,5,11
3/27/20,bangladesh,48,5,11
3/28/20,bangladesh,48,5,15
3/29/20,bangladesh,48,5,15
3/30/20,bangladesh,49,5,19
3/31/20,bangladesh,51,5,25
4/1/20,bangladesh,54,6,25
4/2/20,bangladesh,56,6,25
4/3/20,bangladesh,61,6,26
4/4/20,bangladesh,70,8,30
4/5/20,bangladesh,88,9,33
4/6/20,bangladesh,123,12,33
4/7/20,bangladesh,164,17,33
4/8/20,bangladesh,218,20,33
4/9/20,bangladesh,330,21,33
4/10/20,bangladesh,424,27,33
4/11/20,bangladesh,482,30,36
4/12/20,bangladesh,621,34,39
4/13/20,bangladesh,803,39,42
4/14/20,bangladesh,1012,46,42
4/15/20,bangladesh,1231,50,49
4/16/20,bangladesh,1572,60,49
4/17/20,bangladesh,1838,75,58
4/18/20,bangladesh,2144,84,66
4/19/20,bangladesh,2456,91,75
4/20/20,bangladesh,2948,101,85
4/21/20,bangladesh,3382,110,87
4/22/20,bangladesh,3772,120,92
4/23/20,bangladesh,4186,127,108
4/24/20,bangladesh,4689,131,112
4/25/20,bangladesh,4998,140,113
4/26/20,bangladesh,5416,145,122
4/27/20,bangladesh,5913,152,131
4/28/20,bangladesh,6462,155,139
4/29/20,bangladesh,7103,163,150
4/30/20,bangladesh,7667,168,160
5/1/20,bangladesh,8238,170,174
5/2/20,bangladesh,8790,175,177
5/3/20,bangladesh,9455,177,1063
5/4/20,bangladesh,10143,182,1209
5/5/20,bangladesh,10929,183,1403
5/6/20,bangladesh,11719,186,1403
5/7/20,bangladesh,12425,199,1910
5/8/20,bangladesh,13134,206,2101
5/9/20,bangladesh,13770,214,2414
5/10/20,bangladesh,14657,228,2650
5/11/20,bangladesh,15691,239,2902
5/12/20,bangladesh,16660,250,3147
5/13/20,bangladesh,17822,269,3361
5/14/20,bangladesh,18863,283,3361
5/15/20,bangladesh,20065,298,3882
5/16/20,bangladesh,20995,314,4117
5/17/20,bangladesh,22268,328,4373
5/18/20,bangladesh,23870,349,4585
5/19/20,bangladesh,25121,370,4993
5/20/20,bangladesh,26738,386,5207
5/21/20,bangladesh,28511,408,5602
5/22/20,bangladesh,30205,432,6190
5/23/20,bangladesh,32078,452,6486
5/24/20,bangladesh,33610,480,6901
5/25/20,bangladesh,35585,501,7334
5/26/20,bangladesh,36751,522,7579
5/27/20,bangladesh,38292,544,7925
5/28/20,bangladesh,40321,559,8425
5/29/20,bangladesh,42844,582,9015
5/30/20,bangladesh,44608,610,9375
5/31/20,bangladesh,47153,650,9781
6/1/20,bangladesh,49534,672,10597
6/2/20,bangladesh,52445,709,11120
6/3/20,bangladesh,55140,746,11590
6/4/20,bangladesh,57563,781,12161
6/5/20,bangladesh,60391,811,12804
6/6/20,bangladesh,63026,846,13325
6/7/20,bangladesh,65769,888,13903
6/8/20,bangladesh,68504,930,14560
6/9/20,bangladesh,71675,975,15337
6/10/20,bangladesh,74865,1012,15900
6/11/20,bangladesh,78052,1049,16747
6/12/20,bangladesh,81523,1095,17249
6/13/20,bangladesh,84379,1139,17828
6/14/20,bangladesh,87520,1171,18730
6/15/20,bangladesh,90619,1209,18731
6/16/20,bangladesh,94481,1262,36264
6/17/20,bangladesh,98489,1305,38189
6/18/20,bangladesh,102292,1343,40164
6/19/20,bangladesh,105535,1388,42945
6/20/20,bangladesh,108775,1425,43993
6/21/20,bangladesh,112306,1464,45077
6/22/20,bangladesh,115786,1502,46755
6/23/20,bangladesh,119198,1545,47635
6/24/20,bangladesh,122660,1582,49666
6/25/20,bangladesh,126606,1621,51495
6/26/20,bangladesh,130474,1661,53133
6/27/20,bangladesh,133978,1695,54318
6/28/20,bangladesh,137787,1738,55727
6/29/20,bangladesh,141801,1783,57780
6/30/20,bangladesh,145483,1847,59624
7/1/20,bangladesh,149258,1888,62108
7/2/20,bangladesh,153277,1926,66442
7/3/20,bangladesh,156391,1968,68048
7/4/20,bangladesh,159679,1997,70721
7/5/20,bangladesh,162417,2052,72625
7/6/20,bangladesh,165618,2096,76149
7/7/20,bangladesh,168645,2151,78102
7/8/20,bangladesh,172134,2197,80838
7/9/20,bangladesh,175494,2238,84544
7/10/20,bangladesh,178443,2275,86406
7/11/20,bangladesh,181129,2305,88034
7/12/20,bangladesh,183795,2352,93614
7/13/20,bangladesh,186894,2391,98317
7/14/20,bangladesh,190057,2424,103227
7/15/20,bangladesh,193590,2457,105523
7/16/20,bangladesh,196323,2496,106963
7/17/20,bangladesh,199357,2547,108725
7/18/20,bangladesh,202066,2581,110098
7/19/20,bangladesh,204525,2618,111642
7/20/20,bangladesh,207453,2668,113556
7/21/20,bangladesh,210510,2709,115397
7/22/20,bangladesh,213254,2751,117202
7/23/20,bangladesh,216110,2801,119208
7/24/20,bangladesh,218658,2836,120976
7/25/20,bangladesh,221178,2874,122090
7/26/20,bangladesh,223453,2928,123882
7/27/20,bangladesh,226225,2965,125683
7/28/20,bangladesh,229185,3000,127414
7/29/20,bangladesh,232194,3035,130292
7/30/20,bangladesh,234889,3083,132960
7/31/20,bangladesh,237661,3111,135136
8/1/20,bangladesh,239860,3132,136253
8/2/20,bangladesh,240746,3154,136839
8/3/20,bangladesh,242102,3184,137905
8/4/20,bangladesh,244020,3234,139860
8/5/20,bangladesh,246674,3267,141750
8/6/20,bangladesh,249651,3306,143824
8/7/20,bangladesh,252502,3333,145584
8/8/20,bangladesh,255113,3365,146604
8/9/20,bangladesh,257600,3399,148370
8/10/20,bangladesh,260507,3438,150437
8/11/20,bangladesh,263503,3471,151972
8/12/20,bangladesh,266498,3513,153089
8/13/20,bangladesh,269115,3557,154871
8/14/20,bangladesh,271881,3591,156623
8/15/20,bangladesh,274525,3625,157635
8/16/20,bangladesh,276549,3657,158950
8/17/20,bangladesh,279144,3694,160591
8/18/20,bangladesh,282344,3740,162825
8/19/20,bangladesh,285091,3781,165738
8/20/20,bangladesh,287959,3822,168991
8/21/20,bangladesh,290360,3861,172615
8/22/20,bangladesh,292625,3907,175567
8/23/20,bangladesh,294598,3941,179091
8/24/20,bangladesh,297083,3983,182875
8/25/20,bangladesh,299628,4028,186756
8/26/20,bangladesh,302147,4082,190183
8/27/20,bangladesh,304583,4127,193458
8/28/20,bangladesh,306794,4174,196836
8/29/20,bangladesh,308925,4206,198863
8/30/20,bangladesh,310822,4248,201907
8/31/20,bangladesh,312996,4281,204887
9/1/20,bangladesh,314946,4316,208177
9/2/20,bangladesh,317528,4351,211016
9/3/20,bangladesh,319686,4383,213980
9/4/20,bangladesh,321615,4412,216191
9/5/20,bangladesh,323565,4447,217852
9/6/20,bangladesh,325157,4479,221275
9/7/20,bangladesh,327359,4516,224573
9/8/20,bangladesh,329251,4552,227809
9/9/20,bangladesh,331078,4593,230804
9/10/20,bangladesh,332970,4634,233550
9/11/20,bangladesh,334762,4668,236024
9/12/20,bangladesh,336044,4702,238271
9/13/20,bangladesh,337520,4733,240643
9/14/20,bangladesh,339332,4759,243155
9/15/20,bangladesh,341056,4802,245594
9/16/20,bangladesh,342671,4823,247969
9/17/20,bangladesh,344264,4859,250412
9/18/20,bangladesh,345805,4881,252335
9/19/20,bangladesh,347372,4913,254386
9/20/20,bangladesh,348918,4939,256565
9/21/20,bangladesh,350621,4979,258717
9/22/20,bangladesh,352178,5007,260790
9/23/20,bangladesh,353844,5044,262953
9/24/20,bangladesh,355384,5072,265092
9/25/20,bangladesh,356767,5093,267024
9/26/20,bangladesh,357873,5129,268777
9/27/20,bangladesh,359148,5161,270491
9/28/20,bangladesh,360555,5193,272073
9/29/20,bangladesh,362043,5219,273698
9/30/20,bangladesh,363479,5251,275487
10/1/20,bangladesh,364987,5272,277078
10/2/20,bangladesh,366383,5305,278627
10/3/20,bangladesh,367565,5325,280069
10/4/20,bangladesh,368690,5348,281656
