date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,brazil,0,0,0
1/23/20,brazil,0,0,0
1/24/20,brazil,0,0,0
1/25/20,brazil,0,0,0
1/26/20,brazil,0,0,0
1/27/20,brazil,0,0,0
1/28/20,brazil,0,0,0
1/29/20,brazil,0,0,0
1/30/20,brazil,0,0,0
1/31/20,brazil,0,0,0
2/1/20,brazil,0,0,0
2/2/20,brazil,0,0,0
2/3/20,brazil,0,0,0
2/4/20,brazil,0,0,0
2/5/20,brazil,0,0,0
2/6/20,brazil,0,0,0
2/7/20,brazil,0,0,0
2/8/20,brazil,0,0,0
2/9/20,brazil,0,0,0
2/10/20,brazil,0,0,0
2/11/20,brazil,0,0,0
2/12/20,brazil,0,0,0
2/13/20,brazil,0,0,0
2/14/20,brazil,0,0,0
2/15/20,brazil,0,0,0
2/16/20,brazil,0,0,0
2/17/20,brazil,0,0,0
2/18/20,brazil,0,0,0
2/19/20,brazil,0,0,0
2/20/20,brazil,0,0,0
2/21/20,brazil,0,0,0
2/22/20,brazil,0,0,0
2/23/20,brazil,0,0,0
2/24/20,brazil,0,0,0
2/25/20,brazil,0,0,0
2/26/20,brazil,1,0,0
2/27/20,brazil,1,0,0
2/28/20,brazil,1,0,0
2/29/20,brazil,2,0,0
3/1/20,brazil,2,0,0
3/2/20,brazil,2,0,0
3/3/20,brazil,2,0,0
3/4/20,brazil,4,0,0
3/5/20,brazil,4,0,0
3/6/20,brazil,13,0,0
3/7/20,brazil,13,0,0
3/8/20,brazil,20,0,0
3/9/20,brazil,25,0,0
3/10/20,brazil,31,0,0
3/11/20,brazil,38,0,0
3/12/20,brazil,52,0,0
3/13/20,brazil,151,0,0
3/14/20,brazil,151,0,0
3/15/20,brazil,162,0,0
3/16/20,brazil,200,0,1
3/17/20,brazil,321,1,2
3/18/20,brazil,372,3,2
3/19/20,brazil,621,6,2
3/20/20,brazil,793,11,2
3/21/20,brazil,1021,15,2
3/22/20,brazil,1546,25,2
3/23/20,brazil,1924,34,2
3/24/20,brazil,2247,46,2
3/25/20,brazil,2554,59,2
3/26/20,brazil,2985,77,6
3/27/20,brazil,3417,92,6
3/28/20,brazil,3904,111,6
3/29/20,brazil,4256,136,6
3/30/20,brazil,4579,159,120
3/31/20,brazil,5717,201,127
4/1/20,brazil,6836,240,127
4/2/20,brazil,8044,324,127
4/3/20,brazil,9056,359,127
4/4/20,brazil,10360,445,127
4/5/20,brazil,11130,486,127
4/6/20,brazil,12161,564,127
4/7/20,brazil,14034,686,127
4/8/20,brazil,16170,819,127
4/9/20,brazil,18092,950,173
4/10/20,brazil,19638,1057,173
4/11/20,brazil,20727,1124,173
4/12/20,brazil,22192,1223,173
4/13/20,brazil,23430,1328,173
4/14/20,brazil,25262,1532,3046
4/15/20,brazil,28320,1736,14026
4/16/20,brazil,30425,1924,14026
