date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,canada,0,0,0
1/23/20,canada,2,0,0
1/24/20,canada,3,0,0
1/25/20,canada,3,0,0
1/26/20,canada,3,0,0
1/27/20,canada,3,0,0
1/28/20,canada,4,0,0
1/29/20,canada,4,0,0
1/30/20,canada,4,0,0
1/31/20,canada,4,0,0
2/1/20,canada,4,0,0
2/2/20,canada,4,0,0
2/3/20,canada,4,0,0
2/4/20,canada,5,0,0
2/5/20,canada,6,0,0
2/6/20,canada,6,0,0
2/7/20,canada,8,0,0
2/8/20,canada,8,0,0
2/9/20,canada,8,0,0
2/10/20,canada,9,0,0
2/11/20,canada,9,0,0
2/12/20,canada,9,0,1
2/13/20,canada,9,0,1
2/14/20,canada,9,0,1
2/15/20,canada,9,0,1
2/16/20,canada,9,0,1
2/17/20,canada,10,0,1
2/18/20,canada,10,0,1
2/19/20,canada,10,0,1
2/20/20,canada,11,0,1
2/21/20,canada,13,0,3
2/22/20,canada,14,0,3
2/23/20,canada,15,0,3
2/24/20,canada,16,0,3
2/25/20,canada,19,0,3
2/26/20,canada,20,0,3
2/27/20,canada,22,0,6
2/28/20,canada,28,0,6
2/29/20,canada,33,0,6
3/1/20,canada,38,0,6
3/2/20,canada,45,0,6
3/3/20,canada,51,0,6
3/4/20,canada,59,0,6
3/5/20,canada,71,0,6
3/6/20,canada,90,0,6
3/7/20,canada,98,0,8
3/8/20,canada,120,0,8
3/9/20,canada,144,1,8
3/10/20,canada,165,1,8
3/11/20,canada,228,1,8
3/12/20,canada,289,1,8
3/13/20,canada,386,1,8
3/14/20,canada,453,1,8
3/15/20,canada,549,1,8
3/16/20,canada,700,4,9
3/17/20,canada,854,6,9
3/18/20,canada,1097,11,9
3/19/20,canada,1349,12,9
3/20/20,canada,1692,15,9
3/21/20,canada,2195,18,10
3/22/20,canada,2652,22,10
3/23/20,canada,3298,29,10
3/24/20,canada,3997,34,110
3/25/20,canada,4570,47,183
3/26/20,canada,5511,59,184
3/27/20,canada,6380,66,256
3/28/20,canada,7310,83,466
3/29/20,canada,8246,98,466
3/30/20,canada,9478,117,466
3/31/20,canada,10711,152,1592
4/1/20,canada,12023,175,1324
4/2/20,canada,13742,224,1735
4/3/20,canada,15074,277,2175
4/4/20,canada,16410,360,2577
4/5/20,canada,17599,435,3012
4/6/20,canada,19100,503,3256
4/7/20,canada,20488,581,3791
4/8/20,canada,21724,670,4154
4/9/20,canada,23104,773,5162
4/10/20,canada,24248,867,5855
4/11/20,canada,25624,986,6589
4/12/20,canada,26966,1095,7123
4/13/20,canada,28763,1225,7758
4/14/20,canada,30452,1361,8210
4/15/20,canada,32199,1515,8966
4/16/20,canada,33965,1651,9698
4/17/20,canada,36091,1798,10545
4/18/20,canada,37617,1937,10964
4/19/20,canada,39317,2107,11847
4/20/20,canada,41029,2251,12543
4/21/20,canada,42619,2412,13188
4/22/20,canada,44465,2576,14454
4/23/20,canada,46274,2757,14761
4/24/20,canada,47914,2931,15149
4/25/20,canada,49496,3112,16013
4/26/20,canada,50707,3249,16883
4/27/20,canada,52363,3428,18268
4/28/20,canada,53886,3635,19231
4/29/20,canada,55575,3843,20327
4/30/20,canada,57214,4055,21424
5/1/20,canada,59025,4236,22764
5/2/20,canada,60381,4412,23814
5/3/20,canada,61640,4558,24921
5/4/20,canada,63016,4764,26030
5/5/20,canada,64411,4936,27006
5/6/20,canada,65927,5108,28184
5/7/20,canada,67198,5256,29260
5/8/20,canada,68398,5414,30239
5/9/20,canada,69544,5576,31262
5/10/20,canada,70582,5704,32109
5/11/20,canada,71606,5836,33007
5/12/20,canada,72723,5979,34055
5/13/20,canada,73950,6091,35177
5/14/20,canada,75060,6213,36104
5/15/20,canada,76331,6337,36908
5/16/20,canada,77486,6452,37832
5/17/20,canada,78694,6542,38563
5/18/20,canada,79780,6637,39251
5/19/20,canada,80782,6714,40069
5/20/20,canada,82038,6832,40793
5/21/20,canada,83153,6933,41731
5/22/20,canada,84243,7036,42608
5/23/20,canada,85150,7129,43318
5/24/20,canada,86103,7218,43998
5/25/20,canada,87067,7312,44651
5/26/20,canada,87834,7400,45352
5/27/20,canada,88719,7497,46248
5/28/20,canada,89506,7614,46961
5/29/20,canada,90575,7714,47905
5/30/20,canada,91337,7772,48517
5/31/20,canada,92067,7828,49213
6/1/20,canada,92863,7875,50091
6/2/20,canada,93490,7926,50725
6/3/20,canada,94172,7982,51506
6/4/20,canada,94754,8047,52184
6/5/20,canada,95281,8092,53074
6/6/20,canada,95805,8152,54087
6/7/20,canada,96217,8193,54675
6/8/20,canada,96668,8239,55343
6/9/20,canada,97102,8275,56117
6/10/20,canada,97592,8305,57215
6/11/20,canada,98004,8337,58131
6/12/20,canada,98465,8367,59034
6/13/20,canada,98806,8395,59851
6/14/20,canada,99108,8418,60668
6/15/20,canada,99485,8445,61466
6/16/20,canada,99844,8464,61899
6/17/20,canada,100232,8485,63280
6/18/20,canada,100638,8495,63782
6/19/20,canada,101026,8519,64318
6/20/20,canada,101341,8554,64826
6/21/20,canada,101649,8575,65249
6/22/20,canada,102004,8589,65721
6/23/20,canada,102322,8613,66135
6/24/20,canada,102642,8641,66533
6/25/20,canada,102936,8661,66869
6/26/20,canada,103263,8668,67182
6/27/20,canada,103665,8680,67445
6/28/20,canada,103978,8690,67689
6/29/20,canada,104274,8707,68698
6/30/20,canada,104608,8722,69120
7/1/20,canada,104830,8732,69397
7/2/20,canada,105179,8749,69872
7/3/20,canada,105497,8755,70232
7/4/20,canada,105725,8764,70507
7/5/20,canada,105882,8769,70772
7/6/20,canada,106234,8782,71141
7/7/20,canada,106547,8790,71418
7/8/20,canada,106868,8807,71805
7/9/20,canada,107202,8818,72095
7/10/20,canada,107550,8829,72466
7/11/20,canada,107790,8838,72784
7/12/20,canada,108004,8842,72954
7/13/20,canada,108546,8850,73381
7/14/20,canada,108972,8854,73713
7/15/20,canada,109378,8868,74067
7/16/20,canada,109860,8879,74433
7/17/20,canada,110389,8892,98281
7/18/20,canada,110773,8896,98436
7/19/20,canada,111026,8900,98564
7/20/20,canada,111821,8904,98975
7/21/20,canada,112281,8909,99248
7/22/20,canada,112663,8914,99501
7/23/20,canada,113399,8922,99937
7/24/20,canada,113836,8928,100504
7/25/20,canada,114172,8931,100765
7/26/20,canada,114479,8935,100969
7/27/20,canada,115110,8948,101447
7/28/20,canada,115487,8957,101686
7/29/20,canada,115988,8962,101992
7/30/20,canada,116434,8975,102344
7/31/20,canada,116886,8981,102906
8/1/20,canada,117140,8985,103072
8/2/20,canada,117324,8988,103201
8/3/20,canada,117591,8988,103284
8/4/20,canada,118280,8997,104058
8/5/20,canada,118638,9002,104377
8/6/20,canada,118971,9009,104678
8/7/20,canada,119413,9014,105128
8/8/20,canada,119652,9017,105255
8/9/20,canada,119875,9021,105420
8/10/20,canada,120458,9028,108050
8/11/20,canada,120820,9034,108465
8/12/20,canada,121153,9039,108829
8/13/20,canada,121647,9044,109260
8/14/20,canada,122059,9048,109657
8/15/20,canada,122269,9054,109933
8/16/20,canada,122444,9059,110202
8/17/20,canada,122648,9061,110433
8/18/20,canada,123551,9074,111092
8/19/20,canada,123906,9079,111559
8/20/20,canada,124152,9082,111811
8/21/20,canada,124857,9096,112381
8/22/20,canada,125060,9097,112621
8/23/20,canada,125323,9101,112836
8/24/20,canada,126064,9109,113449
8/25/20,canada,126435,9114,113809
8/26/20,canada,126919,9118,114220
8/27/20,canada,127394,9123,114610
8/28/20,canada,127956,9135,115029
8/29/20,canada,128283,9137,115294
8/30/20,canada,128561,9139,115460
8/31/20,canada,129594,9147,116020
9/1/20,canada,130131,9151,116432
9/2/20,canada,130698,9153,116866
9/3/20,canada,131350,9158,117277
9/4/20,canada,131988,9158,117755
9/5/20,canada,132368,9159,117968
9/6/20,canada,132799,9161,118192
9/7/20,canada,133216,9163,118386
9/8/20,canada,134694,9170,119420
9/9/20,canada,135200,9174,119789
9/10/20,canada,136182,9182,120848
9/11/20,canada,136997,9181,121537
9/12/20,canada,137636,9184,121944
9/13/20,canada,138212,9188,122266
9/14/20,canada,139541,9200,123120
9/15/20,canada,140471,9207,123777
9/16/20,canada,141475,9212,124412
9/17/20,canada,142590,9219,124984
9/18/20,canada,143871,9229,125654
9/19/20,canada,144837,9236,125984
9/20/20,canada,145771,9239,126592
9/21/20,canada,147451,9250,127684
9/22/20,canada,148664,9258,128890
9/23/20,canada,150089,9267,129850
9/24/20,canada,151519,9276,130576
9/25/20,canada,153313,9283,131709
9/26/20,canada,154946,9288,132253
9/27/20,canada,156404,9294,133204
9/28/20,canada,158607,9311,134551
9/29/20,canada,160539,9325,135765
9/30/20,canada,162560,9343,137181
10/1/20,canada,164444,9359,138548
10/2/20,canada,166611,9449,139817
10/3/20,canada,168372,9501,140711
10/4/20,canada,170033,9519,142502
10/5/20,canada,172452,9544,144653
10/6/20,canada,174611,9566,146429
10/7/20,canada,176719,9585,147814
10/8/20,canada,179121,9603,149692
10/9/20,canada,181576,9617,152046
10/10/20,canada,183330,9643,153857
10/11/20,canada,185227,9657,155901
10/12/20,canada,186752,9672,156940
10/13/20,canada,190222,9700,160223
10/14/20,canada,192761,9723,162064
10/15/20,canada,195254,9740,164154
10/16/20,canada,197694,9770,166313
10/17/20,canada,199477,9787,166444
10/18/20,canada,201410,9805,169751
10/19/20,canada,204551,9838,172406
10/20/20,canada,207028,9855,174514
10/21/20,canada,209687,9893,171405
10/22/20,canada,212235,9924,173299
10/23/20,canada,215340,9953,180626
10/24/20,canada,217354,9980,181974
10/25/20,canada,219284,10009,184194
10/26/20,canada,223514,10043,187100
10/27/20,canada,226263,10070,189350
10/28/20,canada,229139,10107,191723
