date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,china,548,17,28
1/23/20,china,643,18,30
1/24/20,china,920,26,36
1/25/20,china,1406,42,39
1/26/20,china,2075,56,49
1/27/20,china,2877,82,58
1/28/20,china,5509,131,101
1/29/20,china,6087,133,120
1/30/20,china,8141,171,135
1/31/20,china,9802,213,214
2/1/20,china,11891,259,275
2/2/20,china,16630,361,463
2/3/20,china,19716,425,614
2/4/20,china,23707,491,843
2/5/20,china,27440,563,1115
2/6/20,china,30587,633,1477
2/7/20,china,34110,718,1999
2/8/20,china,36814,805,2596
2/9/20,china,39829,905,3219
2/10/20,china,42354,1012,3918
2/11/20,china,44386,1112,4636
2/12/20,china,44759,1117,5082
2/13/20,china,59895,1369,6217
2/14/20,china,66358,1521,7977
2/15/20,china,68413,1663,9298
2/16/20,china,70513,1766,10755
2/17/20,china,72434,1864,12462
2/18/20,china,74211,2003,14206
2/19/20,china,74619,2116,15962
2/20/20,china,75077,2238,18014
2/21/20,china,75550,2238,18704
2/22/20,china,77001,2443,22699
2/23/20,china,77022,2445,23187
2/24/20,china,77241,2595,25015
2/25/20,china,77754,2665,27676
2/26/20,china,78166,2717,30084
2/27/20,china,78600,2746,32930
2/28/20,china,78928,2790,36329
2/29/20,china,79356,2837,39320
3/1/20,china,79932,2872,42162
3/2/20,china,80136,2914,44854
3/3/20,china,80261,2947,47450
3/4/20,china,80386,2983,50001
3/5/20,china,80537,3015,52292
3/6/20,china,80690,3044,53944
3/7/20,china,80770,3072,55539
3/8/20,china,80823,3100,57388
3/9/20,china,80860,3123,58804
3/10/20,china,80887,3139,60181
3/11/20,china,80921,3161,61644
3/12/20,china,80932,3172,62901
3/13/20,china,80945,3180,64196
3/14/20,china,80977,3193,65660
3/15/20,china,81003,3204,67017
3/16/20,china,81033,3219,67910
3/17/20,china,81058,3232,68798
3/18/20,china,81102,3243,69755
3/19/20,china,81156,3251,70535
3/20/20,china,81250,3255,71266
3/21/20,china,81305,3262,71857
3/22/20,china,81435,3277,72362
3/23/20,china,81493,3279,72814
3/24/20,china,81587,3286,73280
3/25/20,china,81658,3290,73773
3/26/20,china,81781,3299,74181
3/27/20,china,81872,3304,74720
3/28/20,china,81964,3307,75100
3/29/20,china,82058,3313,75582
3/30/20,china,82139,3318,75923
3/31/20,china,83786,3323,76206
4/1/20,china,84002,3332,76405
4/2/20,china,84129,3339,76565
4/3/20,china,84265,3348,76760
4/4/20,china,84363,3353,76946
4/5/20,china,84467,3357,77207
4/6/20,china,84611,3361,77310
4/7/20,china,84692,3362,77410
4/8/20,china,84909,3366,77567
4/9/20,china,85024,3372,77679
4/10/20,china,85115,3373,77791
4/11/20,china,85208,3379,77877
4/12/20,china,85377,3381,77956
4/13/20,china,85489,3385,78039
4/14/20,china,85569,3387,78200
4/15/20,china,85668,3389,78311
4/16/20,china,85774,3391,78401
4/17/20,china,86187,4686,77552
4/18/20,china,86258,4687,77614
4/19/20,china,86321,4687,77690
4/20/20,china,86382,4688,77745
4/21/20,china,86452,4691,77799
4/22/20,china,86508,4692,77861
4/23/20,china,86548,4693,77983
4/24/20,china,86594,4694,78109
4/25/20,china,86632,4695,78175
4/26/20,china,86661,4696,78277
4/27/20,china,86692,4696,78374
4/28/20,china,86754,4697,78422
4/29/20,china,86783,4697,78474
4/30/20,china,86828,4697,78523
5/1/20,china,86850,4698,78573
5/2/20,china,86858,4698,78586
5/3/20,china,86842,4699,78684
5/4/20,china,86838,4699,78792
5/5/20,china,86855,4699,78870
5/6/20,china,86877,4699,78929
5/7/20,china,86888,4701,78977
5/8/20,china,86905,4702,78993
5/9/20,china,86934,4702,79127
5/10/20,china,86973,4703,79167
5/11/20,china,86980,4704,79198
5/12/20,china,87002,4704,79222
5/13/20,china,87016,4704,79246
5/14/20,china,87032,4704,79261
5/15/20,china,87052,4704,79281
5/16/20,china,87070,4705,79293
5/17/20,china,87092,4705,79306
5/18/20,china,87119,4705,79310
5/19/20,china,87135,4706,79310
5/20/20,china,87151,4706,79310
5/21/20,china,87190,4706,79310
5/22/20,china,87235,4706,79332
5/23/20,china,87266,4706,79335
5/24/20,china,87313,4706,79343
5/25/20,china,87360,4706,79352
5/26/20,china,87390,4707,79358
5/27/20,china,87421,4708,79367
5/28/20,china,87444,4708,79371
5/29/20,china,87466,4708,79382
5/30/20,china,87475,4708,79386
5/31/20,china,87496,4708,79389
6/1/20,china,87520,4708,79398
6/2/20,china,87535,4708,79400
6/3/20,china,87538,4708,79404
6/4/20,china,87553,4708,79415
6/5/20,china,87561,4708,79420
6/6/20,china,87572,4708,79424
6/7/20,china,87581,4708,79434
6/8/20,china,87587,4708,79444
6/9/20,china,87610,4708,79451
6/10/20,china,87626,4708,79456
6/11/20,china,87636,4708,79464
6/12/20,china,87648,4708,79472
6/13/20,china,87713,4708,79475
6/14/20,china,87769,4708,79482
6/15/20,china,87830,4708,79489
6/16/20,china,87880,4708,79493
6/17/20,china,87921,4708,79510
6/18/20,china,87965,4709,79515
6/19/20,china,87971,4709,79515
6/20/20,china,88034,4709,79534
6/21/20,china,88057,4710,79535
6/22/20,china,88115,4710,79547
