date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,colombia,0,0,0
1/23/20,colombia,0,0,0
1/24/20,colombia,0,0,0
1/25/20,colombia,0,0,0
1/26/20,colombia,0,0,0
1/27/20,colombia,0,0,0
1/28/20,colombia,0,0,0
1/29/20,colombia,0,0,0
1/30/20,colombia,0,0,0
1/31/20,colombia,0,0,0
2/1/20,colombia,0,0,0
2/2/20,colombia,0,0,0
2/3/20,colombia,0,0,0
2/4/20,colombia,0,0,0
2/5/20,colombia,0,0,0
2/6/20,colombia,0,0,0
2/7/20,colombia,0,0,0
2/8/20,colombia,0,0,0
2/9/20,colombia,0,0,0
2/10/20,colombia,0,0,0
2/11/20,colombia,0,0,0
2/12/20,colombia,0,0,0
2/13/20,colombia,0,0,0
2/14/20,colombia,0,0,0
2/15/20,colombia,0,0,0
2/16/20,colombia,0,0,0
2/17/20,colombia,0,0,0
2/18/20,colombia,0,0,0
2/19/20,colombia,0,0,0
2/20/20,colombia,0,0,0
2/21/20,colombia,0,0,0
2/22/20,colombia,0,0,0
2/23/20,colombia,0,0,0
2/24/20,colombia,0,0,0
2/25/20,colombia,0,0,0
2/26/20,colombia,0,0,0
2/27/20,colombia,0,0,0
2/28/20,colombia,0,0,0
2/29/20,colombia,0,0,0
3/1/20,colombia,0,0,0
3/2/20,colombia,0,0,0
3/3/20,colombia,0,0,0
3/4/20,colombia,0,0,0
3/5/20,colombia,0,0,0
3/6/20,colombia,1,0,0
3/7/20,colombia,1,0,0
3/8/20,colombia,1,0,0
3/9/20,colombia,1,0,0
3/10/20,colombia,3,0,0
3/11/20,colombia,9,0,0
3/12/20,colombia,9,0,0
3/13/20,colombia,13,0,0
3/14/20,colombia,22,0,0
3/15/20,colombia,34,0,0
3/16/20,colombia,57,0,0
3/17/20,colombia,75,0,1
3/18/20,colombia,102,0,1
3/19/20,colombia,108,0,1
3/20/20,colombia,158,0,1
3/21/20,colombia,196,0,1
3/22/20,colombia,231,2,3
3/23/20,colombia,277,3,3
3/24/20,colombia,378,3,6
3/25/20,colombia,470,4,8
3/26/20,colombia,491,6,8
3/27/20,colombia,539,6,10
3/28/20,colombia,608,6,10
3/29/20,colombia,702,10,10
3/30/20,colombia,798,12,15
3/31/20,colombia,906,16,31
4/1/20,colombia,1065,17,39
4/2/20,colombia,1161,19,55
4/3/20,colombia,1267,25,55
4/4/20,colombia,1406,32,85
4/5/20,colombia,1485,35,88
4/6/20,colombia,1579,46,88
4/7/20,colombia,1780,50,100
4/8/20,colombia,2054,54,123
4/9/20,colombia,2223,69,174
4/10/20,colombia,2473,80,197
4/11/20,colombia,2709,100,214
4/12/20,colombia,2776,109,270
4/13/20,colombia,2852,112,319
4/14/20,colombia,2979,127,354
4/15/20,colombia,3105,131,452
4/16/20,colombia,3233,144,550
4/17/20,colombia,3439,153,634
4/18/20,colombia,3621,166,634
4/19/20,colombia,3792,179,711
4/20/20,colombia,3977,189,804
4/21/20,colombia,4149,196,804
4/22/20,colombia,4356,206,870
4/23/20,colombia,4561,215,927
4/24/20,colombia,4881,225,1003
4/25/20,colombia,5142,233,1067
4/26/20,colombia,5379,244,1133
4/27/20,colombia,5597,253,1210
4/28/20,colombia,5949,269,1268
4/29/20,colombia,6207,278,1411
4/30/20,colombia,6507,293,1439
5/1/20,colombia,7006,314,1551
5/2/20,colombia,7285,324,1666
5/3/20,colombia,7668,340,1722
5/4/20,colombia,7973,358,1807
5/5/20,colombia,8613,378,2013
5/6/20,colombia,8959,397,2148
5/7/20,colombia,9456,407,2300
5/8/20,colombia,10051,428,2424
5/9/20,colombia,10495,445,2569
5/10/20,colombia,11063,463,2705
5/11/20,colombia,11613,479,2825
5/12/20,colombia,12272,493,2971
5/13/20,colombia,12930,509,3133
5/14/20,colombia,13610,525,3358
5/15/20,colombia,14216,546,3460
5/16/20,colombia,14939,562,3587
5/17/20,colombia,15574,574,3751
5/18/20,colombia,16295,592,3903
5/19/20,colombia,16935,613,4050
5/20/20,colombia,17687,630,4256
5/21/20,colombia,18330,652,4431
5/22/20,colombia,19131,682,4575
5/23/20,colombia,20177,705,4718
5/24/20,colombia,21175,727,5016
5/25/20,colombia,21981,750,5265
5/26/20,colombia,23003,776,5511
5/27/20,colombia,24104,803,6111
5/28/20,colombia,25366,822,6132
5/29/20,colombia,26688,853,6687
5/30/20,colombia,28236,890,6935
5/31/20,colombia,29383,939,7032
6/1/20,colombia,30493,969,8384
6/2/20,colombia,31833,1009,9689
6/3/20,colombia,33354,1045,11171
6/4/20,colombia,35120,1087,12319
6/5/20,colombia,36635,1145,13670
6/6/20,colombia,38027,1205,13670
