date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,france,0,0,0
1/23/20,france,0,0,0
1/24/20,france,2,0,0
1/25/20,france,3,0,0
1/26/20,france,3,0,0
1/27/20,france,3,0,0
1/28/20,france,4,0,0
1/29/20,france,5,0,0
1/30/20,france,5,0,0
1/31/20,france,5,0,0
2/1/20,france,6,0,0
2/2/20,france,6,0,0
2/3/20,france,6,0,0
2/4/20,france,6,0,0
2/5/20,france,6,0,0
2/6/20,france,6,0,0
2/7/20,france,6,0,0
2/8/20,france,11,0,0
2/9/20,france,11,0,0
2/10/20,france,11,0,0
2/11/20,france,11,0,0
2/12/20,france,11,0,2
2/13/20,france,11,0,2
2/14/20,france,11,0,2
2/15/20,france,12,1,4
2/16/20,france,12,1,4
2/17/20,france,12,1,4
2/18/20,france,12,1,4
2/19/20,france,12,1,4
2/20/20,france,12,1,4
2/21/20,france,12,1,4
2/22/20,france,12,1,4
2/23/20,france,12,1,4
2/24/20,france,12,1,4
2/25/20,france,14,1,11
2/26/20,france,18,2,11
2/27/20,france,38,2,11
2/28/20,france,57,2,11
2/29/20,france,100,2,12
3/1/20,france,130,2,12
3/2/20,france,191,3,12
3/3/20,france,212,4,12
3/4/20,france,288,4,12
3/5/20,france,426,7,12
3/6/20,france,616,9,12
3/7/20,france,948,16,12
3/8/20,france,1125,19,12
3/9/20,france,1411,25,12
3/10/20,france,1783,33,12
3/11/20,france,2293,48,12
3/12/20,france,2293,48,12
3/13/20,france,3681,79,12
3/14/20,france,4496,91,12
3/15/20,france,4532,91,12
3/16/20,france,6683,149,12
3/17/20,france,7715,149,12
3/18/20,france,9124,149,12
3/19/20,france,10970,244,12
3/20/20,france,12758,451,12
3/21/20,france,14463,563,12
3/22/20,france,16761,676,2206
3/23/20,france,20120,862,2206
3/24/20,france,22372,1102,3250
3/25/20,france,25331,1333,3907
3/26/20,france,29252,1697,4955
3/27/20,france,33045,1996,5707
3/28/20,france,37693,2314,5724
3/29/20,france,40296,2608,7226
3/30/20,france,44645,3025,7964
3/31/20,france,52281,3526,9513
4/1/20,france,57125,4779,11053
4/2/20,france,59227,5388,12548
4/3/20,france,64452,6510,14135
4/4/20,france,47376,7562,15572
4/5/20,france,48225,8081,16349
4/6/20,france,50884,8914,17428
4/7/20,france,47395,10330,19523
4/8/20,france,51250,10874,21452
4/9/20,france,55034,12214,23413
4/10/20,france,56600,13199,25195
4/11/20,france,58045,13835,26663
4/12/20,france,108792,14396,27469
4/13/20,france,111933,14969,28001
4/14/20,france,129381,15712,28805
4/15/20,france,132588,17150,30955
4/16/20,france,145166,17903,32812
4/17/20,france,147057,18664,34420
4/18/20,france,150861,19305,35983
4/19/20,france,151955,19694,36578
4/20/20,france,154402,20241,37409
4/21/20,france,157068,20769,39181
4/22/20,france,158867,21313,40657
4/23/20,france,157158,21829,42088
4/24/20,france,159969,22218,43493
4/25/20,france,161647,22587,44594
4/26/20,france,162280,22830,44903
4/27/20,france,165966,23267,45513
4/28/20,france,169098,23634,46886
4/29/20,france,167643,24060,48228
4/30/20,france,168861,24349,49476
5/1/20,france,169387,24566,50212
5/2/20,france,170179,24763,50663
5/3/20,france,170540,24898,50885
5/4/20,france,171102,25204,51476
5/5/20,france,172219,25537,52842
5/6/20,france,176355,25812,54079
5/7/20,france,177096,25991,55191
5/8/20,france,177627,26233,55892
5/9/20,france,178155,26313,56148
5/10/20,france,178404,26383,56327
5/11/20,france,178719,26646,56835
5/12/20,france,179472,26994,57898
5/13/20,france,179993,27079,58786
5/14/20,france,180635,27430,59719
5/15/20,france,181148,27532,60562
5/16/20,france,181563,27630,60562
5/17/20,france,181703,28113,61327
5/18/20,france,182147,28242,61843
5/19/20,france,182648,28025,62678
5/20/20,france,183129,28136,63472
5/21/20,france,183396,28218,63976
5/22/20,france,184152,28366,64327
5/23/20,france,184698,28452,64665
5/24/20,france,184259,28372,64735
5/25/20,france,184584,28461,65317
5/26/20,france,184839,28598,65997
5/27/20,france,185012,28599,66702
5/28/20,france,188355,28666,67309
