date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,germany,0,0,0
1/23/20,germany,0,0,0
1/24/20,germany,0,0,0
1/25/20,germany,0,0,0
1/26/20,germany,0,0,0
1/27/20,germany,1,0,0
1/28/20,germany,4,0,0
1/29/20,germany,4,0,0
1/30/20,germany,4,0,0
1/31/20,germany,5,0,0
2/1/20,germany,8,0,0
2/2/20,germany,10,0,0
2/3/20,germany,12,0,0
2/4/20,germany,12,0,0
2/5/20,germany,12,0,0
2/6/20,germany,12,0,0
2/7/20,germany,13,0,0
2/8/20,germany,13,0,0
2/9/20,germany,14,0,0
2/10/20,germany,14,0,0
2/11/20,germany,16,0,0
2/12/20,germany,16,0,0
2/13/20,germany,16,0,1
2/14/20,germany,16,0,1
2/15/20,germany,16,0,1
2/16/20,germany,16,0,1
2/17/20,germany,16,0,1
2/18/20,germany,16,0,12
2/19/20,germany,16,0,12
2/20/20,germany,16,0,12
2/21/20,germany,16,0,14
2/22/20,germany,16,0,14
2/23/20,germany,16,0,14
2/24/20,germany,16,0,14
2/25/20,germany,16,0,14
2/26/20,germany,21,0,15
2/27/20,germany,26,0,16
2/28/20,germany,53,0,16
2/29/20,germany,66,0,16
3/1/20,germany,117,0,16
3/2/20,germany,150,0,16
3/3/20,germany,188,0,16
3/4/20,germany,262,0,16
3/5/20,germany,400,0,16
3/6/20,germany,639,0,17
3/7/20,germany,795,0,18
3/8/20,germany,902,0,18
3/9/20,germany,1139,2,18
3/10/20,germany,1296,2,18
3/11/20,germany,1567,3,25
3/12/20,germany,2369,5,25
3/13/20,germany,3062,5,46
3/14/20,germany,3795,8,46
3/15/20,germany,4838,12,46
3/16/20,germany,6012,13,67
3/17/20,germany,7156,12,67
3/18/20,germany,8198,12,105
3/19/20,germany,10999,20,113
3/20/20,germany,13957,31,180
3/21/20,germany,16662,47,233
3/22/20,germany,18610,55,266
3/23/20,germany,22672,86,266
3/24/20,germany,27436,114,3243
3/25/20,germany,31554,149,3547
3/26/20,germany,36508,198,5673
3/27/20,germany,42288,253,6658
3/28/20,germany,48582,325,8481
3/29/20,germany,52547,389,9211
3/30/20,germany,57298,455,13500
3/31/20,germany,61913,583,16100
4/1/20,germany,67366,732,18700
4/2/20,germany,73522,872,22440
4/3/20,germany,79696,1017,24575
4/4/20,germany,85778,1158,26400
4/5/20,germany,91714,1342,28700
4/6/20,germany,95391,1434,28700
4/7/20,germany,99225,1607,36081
4/8/20,germany,103228,1861,46300
4/9/20,germany,108202,2107,52407
4/10/20,germany,113525,2373,53913
4/11/20,germany,117658,2544,57400
4/12/20,germany,120479,2673,60300
4/13/20,germany,123016,2799,64300
4/14/20,germany,125098,2969,68200
4/15/20,germany,127584,3254,72600
4/16/20,germany,130450,3569,77000
4/17/20,germany,133830,3868,83114
4/18/20,germany,137439,4110,85400
4/19/20,germany,139897,4294,88000
4/20/20,germany,141672,4404,91500
4/21/20,germany,143457,4598,95200
4/22/20,germany,145694,4879,99400
4/23/20,germany,148046,5094,103300
4/24/20,germany,150383,5321,109800
4/25/20,germany,152438,5500,109800
4/26/20,germany,154175,5640,112000
4/27/20,germany,155193,5750,114500
4/28/20,germany,156337,5913,117400
4/29/20,germany,157641,6115,120400
4/30/20,germany,159119,6288,123500
5/1/20,germany,160758,6481,126900
5/2/20,germany,161703,6575,129000
5/3/20,germany,162496,6649,130600
5/4/20,germany,163175,6692,132700
5/5/20,germany,163860,6831,135100
5/6/20,germany,164807,6996,139900
5/7/20,germany,166091,7119,141700
5/8/20,germany,167300,7266,141700
5/9/20,germany,168551,7369,143300
5/10/20,germany,169218,7395,144400
5/11/20,germany,169575,7417,145617
5/12/20,germany,170508,7533,147200
5/13/20,germany,171306,7634,148700
5/14/20,germany,172239,7723,150300
5/15/20,germany,173152,7824,151597
5/16/20,germany,173772,7881,152600
