date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,indonesia,0,0,0
1/23/20,indonesia,0,0,0
1/24/20,indonesia,0,0,0
1/25/20,indonesia,0,0,0
1/26/20,indonesia,0,0,0
1/27/20,indonesia,0,0,0
1/28/20,indonesia,0,0,0
1/29/20,indonesia,0,0,0
1/30/20,indonesia,0,0,0
1/31/20,indonesia,0,0,0
2/1/20,indonesia,0,0,0
2/2/20,indonesia,0,0,0
2/3/20,indonesia,0,0,0
2/4/20,indonesia,0,0,0
2/5/20,indonesia,0,0,0
2/6/20,indonesia,0,0,0
2/7/20,indonesia,0,0,0
2/8/20,indonesia,0,0,0
2/9/20,indonesia,0,0,0
2/10/20,indonesia,0,0,0
2/11/20,indonesia,0,0,0
2/12/20,indonesia,0,0,0
2/13/20,indonesia,0,0,0
2/14/20,indonesia,0,0,0
2/15/20,indonesia,0,0,0
2/16/20,indonesia,0,0,0
2/17/20,indonesia,0,0,0
2/18/20,indonesia,0,0,0
2/19/20,indonesia,0,0,0
2/20/20,indonesia,0,0,0
2/21/20,indonesia,0,0,0
2/22/20,indonesia,0,0,0
2/23/20,indonesia,0,0,0
2/24/20,indonesia,0,0,0
2/25/20,indonesia,0,0,0
2/26/20,indonesia,0,0,0
2/27/20,indonesia,0,0,0
2/28/20,indonesia,0,0,0
2/29/20,indonesia,0,0,0
3/1/20,indonesia,0,0,0
3/2/20,indonesia,2,0,0
3/3/20,indonesia,2,0,0
3/4/20,indonesia,2,0,0
3/5/20,indonesia,2,0,0
3/6/20,indonesia,4,0,0
3/7/20,indonesia,4,0,0
3/8/20,indonesia,6,0,0
3/9/20,indonesia,19,0,0
3/10/20,indonesia,27,0,2
3/11/20,indonesia,34,1,2
3/12/20,indonesia,34,1,2
3/13/20,indonesia,69,4,2
3/14/20,indonesia,96,5,8
3/15/20,indonesia,117,5,8
3/16/20,indonesia,134,5,8
3/17/20,indonesia,172,5,8
3/18/20,indonesia,227,19,11
3/19/20,indonesia,311,25,11
3/20/20,indonesia,369,32,15
3/21/20,indonesia,450,38,15
3/22/20,indonesia,514,48,29
3/23/20,indonesia,579,49,29
3/24/20,indonesia,686,55,30
3/25/20,indonesia,790,58,31
3/26/20,indonesia,893,78,35
3/27/20,indonesia,1046,87,46
3/28/20,indonesia,1155,102,59
3/29/20,indonesia,1285,114,64
3/30/20,indonesia,1414,122,75
3/31/20,indonesia,1528,136,81
4/1/20,indonesia,1677,157,103
4/2/20,indonesia,1790,170,112
4/3/20,indonesia,1986,181,134
4/4/20,indonesia,2092,191,150
4/5/20,indonesia,2273,198,164
4/6/20,indonesia,2491,209,192
4/7/20,indonesia,2738,221,204
4/8/20,indonesia,2956,240,222
4/9/20,indonesia,3293,280,252
4/10/20,indonesia,3512,306,282
4/11/20,indonesia,3842,327,286
4/12/20,indonesia,4241,373,359
4/13/20,indonesia,4557,399,380
