date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,italy,0,0,0
1/23/20,italy,0,0,0
1/24/20,italy,0,0,0
1/25/20,italy,0,0,0
1/26/20,italy,0,0,0
1/27/20,italy,0,0,0
1/28/20,italy,0,0,0
1/29/20,italy,0,0,0
1/30/20,italy,0,0,0
1/31/20,italy,2,0,0
2/1/20,italy,2,0,0
2/2/20,italy,2,0,0
2/3/20,italy,2,0,0
2/4/20,italy,2,0,0
2/5/20,italy,2,0,0
2/6/20,italy,2,0,0
2/7/20,italy,3,0,0
2/8/20,italy,3,0,0
2/9/20,italy,3,0,0
2/10/20,italy,3,0,0
2/11/20,italy,3,0,0
2/12/20,italy,3,0,0
2/13/20,italy,3,0,0
2/14/20,italy,3,0,0
2/15/20,italy,3,0,0
2/16/20,italy,3,0,0
2/17/20,italy,3,0,0
2/18/20,italy,3,0,0
2/19/20,italy,3,0,0
2/20/20,italy,3,0,0
2/21/20,italy,20,1,0
2/22/20,italy,62,2,1
2/23/20,italy,155,3,2
2/24/20,italy,229,7,1
2/25/20,italy,322,10,1
2/26/20,italy,453,12,3
2/27/20,italy,655,17,45
2/28/20,italy,888,21,46
2/29/20,italy,1128,29,46
3/1/20,italy,1694,34,83
3/2/20,italy,2036,52,149
3/3/20,italy,2502,79,160
3/4/20,italy,3089,107,276
3/5/20,italy,3858,148,414
3/6/20,italy,4636,197,523
3/7/20,italy,5883,233,589
3/8/20,italy,7375,366,622
3/9/20,italy,9172,463,724
3/10/20,italy,10149,631,724
3/11/20,italy,12462,827,1045
3/12/20,italy,15113,1016,1045
3/13/20,italy,17660,1266,1439
3/14/20,italy,21157,1441,1966
3/15/20,italy,24747,1809,2335
3/16/20,italy,27980,2158,2749
3/17/20,italy,31506,2503,2941
3/18/20,italy,35713,2978,4025
3/19/20,italy,41035,3405,4440
3/20/20,italy,47021,4032,4440
3/21/20,italy,53578,4825,6072
3/22/20,italy,59138,5476,7024
3/23/20,italy,63927,6077,7024
3/24/20,italy,69176,6820,8326
3/25/20,italy,74386,7503,9362
3/26/20,italy,80589,8215,10361
3/27/20,italy,86498,9134,10950
3/28/20,italy,92472,10023,12384
3/29/20,italy,97689,10779,13030
3/30/20,italy,101739,11591,14620
3/31/20,italy,105792,12428,15729
4/1/20,italy,110574,13155,16847
4/2/20,italy,115242,13915,18278
4/3/20,italy,119827,14681,19758
4/4/20,italy,124632,15362,20996
4/5/20,italy,128948,15887,21815
4/6/20,italy,132547,16523,22837
4/7/20,italy,135586,17127,24392
4/8/20,italy,139422,17669,26491
4/9/20,italy,143626,18279,28470
4/10/20,italy,147577,18849,30455
4/11/20,italy,152271,19468,32534
4/12/20,italy,156363,19899,34211
4/13/20,italy,159516,20465,35435
4/14/20,italy,162488,21067,37130
4/15/20,italy,165155,21645,38092
4/16/20,italy,168941,22170,40164
4/17/20,italy,172434,22745,42727
4/18/20,italy,175925,23227,44927
4/19/20,italy,178972,23660,47055
4/20/20,italy,181228,24114,48877
4/21/20,italy,183957,24648,51600
4/22/20,italy,187327,25085,54543
4/23/20,italy,189973,25549,57576
4/24/20,italy,192994,25969,60498
4/25/20,italy,195351,26384,63120
4/26/20,italy,197675,26644,64928
4/27/20,italy,199414,26977,66624
4/28/20,italy,201505,27359,68941
4/29/20,italy,203591,27682,71252
4/30/20,italy,205463,27967,75945
5/1/20,italy,207428,28236,78249
5/2/20,italy,209328,28710,79914
5/3/20,italy,210717,28884,81654
5/4/20,italy,211938,29079,82879
5/5/20,italy,213013,29315,85231
5/6/20,italy,214457,29684,93245
5/7/20,italy,215858,29958,96276
5/8/20,italy,217185,30201,99023
5/9/20,italy,218268,30395,103031
5/10/20,italy,219070,30560,105186
5/11/20,italy,219814,30739,106587
5/12/20,italy,221216,30911,109039
5/13/20,italy,222104,31106,112541
5/14/20,italy,223096,31368,115288
5/15/20,italy,223885,31610,120205
5/16/20,italy,224760,31763,122810
5/17/20,italy,225435,31908,125176
5/18/20,italy,225886,32007,127326
5/19/20,italy,226699,32169,129401
5/20/20,italy,227364,32330,132282
5/21/20,italy,228006,32486,134560
5/22/20,italy,228658,32616,136720
5/23/20,italy,229327,32735,138840
5/24/20,italy,229858,32785,140479
5/25/20,italy,230158,32877,141981
