date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,japan,2,0,0
1/23/20,japan,2,0,0
1/24/20,japan,2,0,0
1/25/20,japan,2,0,0
1/26/20,japan,4,0,1
1/27/20,japan,4,0,1
1/28/20,japan,7,0,1
1/29/20,japan,7,0,1
1/30/20,japan,11,0,1
1/31/20,japan,15,0,1
2/1/20,japan,20,0,1
2/2/20,japan,20,0,1
2/3/20,japan,20,0,1
2/4/20,japan,22,0,1
2/5/20,japan,23,0,1
2/6/20,japan,23,0,1
2/7/20,japan,23,0,1
2/8/20,japan,24,0,1
2/9/20,japan,24,0,1
2/10/20,japan,26,0,4
2/11/20,japan,27,0,9
2/12/20,japan,28,0,9
2/13/20,japan,33,1,9
2/14/20,japan,43,1,9
2/15/20,japan,54,1,12
2/16/20,japan,60,1,12
2/17/20,japan,67,1,12
2/18/20,japan,79,2,13
2/19/20,japan,85,2,18
2/20/20,japan,95,2,18
2/21/20,japan,112,2,22
2/22/20,japan,137,2,22
2/23/20,japan,149,2,22
2/24/20,japan,160,2,22
2/25/20,japan,173,3,22
2/26/20,japan,192,3,22
2/27/20,japan,218,4,22
2/28/20,japan,236,5,22
2/29/20,japan,245,6,32
3/1/20,japan,259,6,32
3/2/20,japan,278,6,32
3/3/20,japan,298,6,43
3/4/20,japan,333,7,43
3/5/20,japan,365,7,43
3/6/20,japan,420,7,46
3/7/20,japan,466,7,76
3/8/20,japan,499,8,76
3/9/20,japan,527,10,76
3/10/20,japan,585,13,101
3/11/20,japan,640,15,118
3/12/20,japan,696,19,118
3/13/20,japan,733,21,118
3/14/20,japan,795,22,118
3/15/20,japan,826,24,118
3/16/20,japan,843,30,144
3/17/20,japan,893,30,144
3/18/20,japan,928,32,144
3/19/20,japan,968,33,150
3/20/20,japan,1022,34,191
3/21/20,japan,1059,36,232
3/22/20,japan,1104,40,235
3/23/20,japan,1144,41,235
3/24/20,japan,1217,42,285
3/25/20,japan,1314,45,310
3/26/20,japan,1416,47,359
3/27/20,japan,1530,53,372
3/28/20,japan,1728,56,404
3/29/20,japan,1907,63,424
3/30/20,japan,2001,65,424
3/31/20,japan,2255,67,424
4/1/20,japan,2535,72,472
4/2/20,japan,2818,75,472
4/3/20,japan,3154,81,514
4/4/20,japan,3525,87,514
4/5/20,japan,3876,93,514
4/6/20,japan,4110,96,575
4/7/20,japan,4485,98,592
4/8/20,japan,5020,105,622
4/9/20,japan,5614,113,632
4/10/20,japan,6250,125,685
4/11/20,japan,6951,138,762
4/12/20,japan,7473,147,762
4/13/20,japan,7773,156,784
4/14/20,japan,8277,170,799
4/15/20,japan,8835,186,853
4/16/20,japan,9398,204,901
4/17/20,japan,9958,217,935
4/18/20,japan,10548,236,1069
4/19/20,japan,10914,255,1159
4/20/20,japan,11258,275,1159
4/21/20,japan,11641,303,1239
4/22/20,japan,12037,323,1356
4/23/20,japan,12469,351,1494
4/24/20,japan,12854,360,1530
4/25/20,japan,13186,379,1656
4/26/20,japan,13405,395,1809
4/27/20,japan,13576,417,1899
4/28/20,japan,13860,436,1899
4/29/20,japan,14076,454,2368
4/30/20,japan,14284,481,2460
5/1/20,japan,14558,510,2975
