date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,kenya,0,0,0
1/23/20,kenya,0,0,0
1/24/20,kenya,0,0,0
1/25/20,kenya,0,0,0
1/26/20,kenya,0,0,0
1/27/20,kenya,0,0,0
1/28/20,kenya,0,0,0
1/29/20,kenya,0,0,0
1/30/20,kenya,0,0,0
1/31/20,kenya,0,0,0
2/1/20,kenya,0,0,0
2/2/20,kenya,0,0,0
2/3/20,kenya,0,0,0
2/4/20,kenya,0,0,0
2/5/20,kenya,0,0,0
2/6/20,kenya,0,0,0
2/7/20,kenya,0,0,0
2/8/20,kenya,0,0,0
2/9/20,kenya,0,0,0
2/10/20,kenya,0,0,0
2/11/20,kenya,0,0,0
2/12/20,kenya,0,0,0
2/13/20,kenya,0,0,0
2/14/20,kenya,0,0,0
2/15/20,kenya,0,0,0
2/16/20,kenya,0,0,0
2/17/20,kenya,0,0,0
2/18/20,kenya,0,0,0
2/19/20,kenya,0,0,0
2/20/20,kenya,0,0,0
2/21/20,kenya,0,0,0
2/22/20,kenya,0,0,0
2/23/20,kenya,0,0,0
2/24/20,kenya,0,0,0
2/25/20,kenya,0,0,0
2/26/20,kenya,0,0,0
2/27/20,kenya,0,0,0
2/28/20,kenya,0,0,0
2/29/20,kenya,0,0,0
3/1/20,kenya,0,0,0
3/2/20,kenya,0,0,0
3/3/20,kenya,0,0,0
3/4/20,kenya,0,0,0
3/5/20,kenya,0,0,0
3/6/20,kenya,0,0,0
3/7/20,kenya,0,0,0
3/8/20,kenya,0,0,0
3/9/20,kenya,0,0,0
3/10/20,kenya,0,0,0
3/11/20,kenya,0,0,0
3/12/20,kenya,0,0,0
3/13/20,kenya,1,0,0
3/14/20,kenya,1,0,0
3/15/20,kenya,3,0,0
3/16/20,kenya,3,0,0
3/17/20,kenya,3,0,0
3/18/20,kenya,3,0,0
3/19/20,kenya,7,0,0
3/20/20,kenya,7,0,0
3/21/20,kenya,7,0,0
3/22/20,kenya,15,0,0
3/23/20,kenya,16,0,0
3/24/20,kenya,25,0,0
3/25/20,kenya,28,0,1
3/26/20,kenya,31,1,1
3/27/20,kenya,31,1,1
3/28/20,kenya,38,1,1
3/29/20,kenya,42,1,1
3/30/20,kenya,50,1,1
3/31/20,kenya,59,1,1
4/1/20,kenya,81,1,3
4/2/20,kenya,110,3,4
4/3/20,kenya,122,4,4
4/4/20,kenya,126,4,4
4/5/20,kenya,142,4,4
4/6/20,kenya,158,6,4
4/7/20,kenya,172,6,7
4/8/20,kenya,179,6,9
4/9/20,kenya,184,7,12
4/10/20,kenya,189,7,22
4/11/20,kenya,191,7,24
4/12/20,kenya,197,8,25
4/13/20,kenya,208,9,40
4/14/20,kenya,216,9,41
4/15/20,kenya,225,10,53
4/16/20,kenya,234,11,53
4/17/20,kenya,246,11,53
4/18/20,kenya,262,12,60
4/19/20,kenya,270,14,67
4/20/20,kenya,281,14,69
4/21/20,kenya,296,14,74
4/22/20,kenya,303,14,74
4/23/20,kenya,320,14,89
4/24/20,kenya,336,14,94
4/25/20,kenya,343,14,98
4/26/20,kenya,355,14,106
4/27/20,kenya,363,14,114
4/28/20,kenya,374,14,124
4/29/20,kenya,384,15,129
4/30/20,kenya,396,17,144
5/1/20,kenya,411,21,150
5/2/20,kenya,435,22,152
5/3/20,kenya,465,24,167
5/4/20,kenya,490,24,173
5/5/20,kenya,535,24,182
5/6/20,kenya,582,26,190
5/7/20,kenya,607,29,197
5/8/20,kenya,621,29,202
5/9/20,kenya,649,30,207
5/10/20,kenya,672,32,239
5/11/20,kenya,700,33,251
5/12/20,kenya,715,36,259
5/13/20,kenya,737,40,281
5/14/20,kenya,758,42,284
5/15/20,kenya,781,45,284
5/16/20,kenya,830,50,301
5/17/20,kenya,887,50,313
5/18/20,kenya,912,50,336
5/19/20,kenya,963,50,358
5/20/20,kenya,1029,50,366
5/21/20,kenya,1109,50,375
5/22/20,kenya,1161,50,380
5/23/20,kenya,1192,50,380
5/24/20,kenya,1214,51,383
5/25/20,kenya,1286,52,402
5/26/20,kenya,1348,52,405
5/27/20,kenya,1471,55,408
5/28/20,kenya,1618,58,421
5/29/20,kenya,1745,62,438
5/30/20,kenya,1888,63,464
5/31/20,kenya,1962,64,478
6/1/20,kenya,2021,69,482
6/2/20,kenya,2093,71,499
6/3/20,kenya,2216,74,553
6/4/20,kenya,2340,78,592
6/5/20,kenya,2474,79,643
6/6/20,kenya,2600,83,706
6/7/20,kenya,2767,84,752
6/8/20,kenya,2872,85,849
6/9/20,kenya,2989,88,873
6/10/20,kenya,3094,89,1048
6/11/20,kenya,3215,92,1092
6/12/20,kenya,3305,96,1164
6/13/20,kenya,3457,100,1221
6/14/20,kenya,3594,103,1253
6/15/20,kenya,3727,104,1286
6/16/20,kenya,3860,105,1328
6/17/20,kenya,4044,107,1353
6/18/20,kenya,4257,117,1459
6/19/20,kenya,4374,119,1550
6/20/20,kenya,4478,121,1586
6/21/20,kenya,4738,123,1607
6/22/20,kenya,4797,125,1680
6/23/20,kenya,4952,128,1782
6/24/20,kenya,5206,130,1823
6/25/20,kenya,5384,132,1857
6/26/20,kenya,5533,137,1905
6/27/20,kenya,5811,141,1936
6/28/20,kenya,6070,143,1971
6/29/20,kenya,6190,144,2013
6/30/20,kenya,6366,148,2039
7/1/20,kenya,6673,149,2089
7/2/20,kenya,6941,152,2109
7/3/20,kenya,7188,154,2148
7/4/20,kenya,7577,159,2236
7/5/20,kenya,7886,160,2287
7/6/20,kenya,8067,164,2414
7/7/20,kenya,8250,167,2504
7/8/20,kenya,8528,169,2593
7/9/20,kenya,8975,173,2657
7/10/20,kenya,9448,181,2733
7/11/20,kenya,9726,184,2832
7/12/20,kenya,10105,185,2881
7/13/20,kenya,10294,197,2946
7/14/20,kenya,10791,202,3017
7/15/20,kenya,11252,209,3068
7/16/20,kenya,11673,217,3638
7/17/20,kenya,12062,222,3983
7/18/20,kenya,12750,225,4440
7/19/20,kenya,13353,234,5122
7/20/20,kenya,13771,238,5616
7/21/20,kenya,14168,250,6258
7/22/20,kenya,14805,260,6757
7/23/20,kenya,15601,263,7135
7/24/20,kenya,16268,274,7446
7/25/20,kenya,16643,278,7574
7/26/20,kenya,17603,280,7743
7/27/20,kenya,17975,285,7833
7/28/20,kenya,18581,299,7908
7/29/20,kenya,19125,311,8021
7/30/20,kenya,19913,325,8121
7/31/20,kenya,20636,341,8165
8/1/20,kenya,21363,364,8419
8/2/20,kenya,22053,369,8477
8/3/20,kenya,22597,382,8740
8/4/20,kenya,23202,388,9327
8/5/20,kenya,23873,391,9930
8/6/20,kenya,24411,399,10444
8/7/20,kenya,25138,413,11118
8/8/20,kenya,25837,418,11899
8/9/20,kenya,26436,420,12961
8/10/20,kenya,26928,423,13495
8/11/20,kenya,27425,438,13867
8/12/20,kenya,28104,456,14610
8/13/20,kenya,28754,460,15100
8/14/20,kenya,29334,465,15298
8/15/20,kenya,29849,472,15970
8/16/20,kenya,30120,474,16656
8/17/20,kenya,30365,482,17160
8/18/20,kenya,30636,487,17368
8/19/20,kenya,31015,506,17612
8/20/20,kenya,31441,516,17869
8/21/20,kenya,31763,532,18157
8/22/20,kenya,32118,542,18453
8/23/20,kenya,32364,548,18670
8/24/20,kenya,32557,554,18895
8/25/20,kenya,32803,559,19055
8/26/20,kenya,33016,564,19296
8/27/20,kenya,33389,567,19368
8/28/20,kenya,33630,567,19434
8/29/20,kenya,33794,572,19590
8/30/20,kenya,34057,574,19688
8/31/20,kenya,34201,577,19893
9/1/20,kenya,34315,577,20211
9/2/20,kenya,34493,581,20211
9/3/20,kenya,34705,585,20644
9/4/20,kenya,34884,589,21059
9/5/20,kenya,35020,594,21158
9/6/20,kenya,35103,597,21230
9/7/20,kenya,35205,599,21310
9/8/20,kenya,35356,599,21483
9/9/20,kenya,35460,607,21557
9/10/20,kenya,35603,612,22047
9/11/20,kenya,35793,616,22442
9/12/20,kenya,35969,619,22771
9/13/20,kenya,36157,622,23067
9/14/20,kenya,36205,624,23243
9/15/20,kenya,36301,634,23364
9/16/20,kenya,36301,634,23364
9/17/20,kenya,36576,642,23611
9/18/20,kenya,36724,646,23709
9/19/20,kenya,36829,646,23777
9/20/20,kenya,36981,648,23887
9/21/20,kenya,37079,650,23949
9/22/20,kenya,37218,659,24147
9/23/20,kenya,37348,664,24253
9/24/20,kenya,37489,669,24334
9/25/20,kenya,37707,682,24504
9/26/20,kenya,37871,689,24581
9/27/20,kenya,38115,691,24621
9/28/20,kenya,38168,700,24681
9/29/20,kenya,38378,707,24740
9/30/20,kenya,38529,711,24908
10/1/20,kenya,38713,711,24908
10/2/20,kenya,38923,725,25114
10/3/20,kenya,39184,728,25426
10/4/20,kenya,39427,731,25659
10/5/20,kenya,39449,735,27035
10/6/20,kenya,39586,743,27331
10/7/20,kenya,39907,748,31659
10/8/20,kenya,40178,751,31710
10/9/20,kenya,40620,755,31876
10/10/20,kenya,41158,760,31876
10/11/20,kenya,41546,766,32000
10/12/20,kenya,41619,777,32000
10/13/20,kenya,41937,787,31340
10/14/20,kenya,42541,797,31428
10/15/20,kenya,43143,805,31508
10/16/20,kenya,43580,813,31648
10/17/20,kenya,44196,825,31752
10/18/20,kenya,44881,832,31857
10/19/20,kenya,45076,839,32084
10/20/20,kenya,45647,842,32522
10/21/20,kenya,46144,858,32760
10/22/20,kenya,47212,870,33050
10/23/20,kenya,47843,884,33421
10/24/20,kenya,48790,896,33876
10/25/20,kenya,49721,902,34209
10/26/20,kenya,49997,920,34429
10/27/20,kenya,50833,934,34832
10/28/20,kenya,51851,934,35258
10/29/20,kenya,52612,964,35604
10/30/20,kenya,53797,981,35876
10/31/20,kenya,55192,981,35876
11/1/20,kenya,55877,1013,37194
11/2/20,kenya,56601,1027,37442
11/3/20,kenya,57093,1039,37846
11/4/20,kenya,58587,1051,38381
11/5/20,kenya,59595,1072,39193
11/6/20,kenya,60704,1093,40131
11/7/20,kenya,61769,1103,41019
11/8/20,kenya,62488,1111,41931
11/9/20,kenya,63244,1130,42659
11/10/20,kenya,64588,1154,43095
11/11/20,kenya,65804,1180,43626
11/12/20,kenya,66723,1203,44040
11/13/20,kenya,68193,1228,44872
11/14/20,kenya,69273,1228,44872
11/15/20,kenya,70245,1269,45766
11/16/20,kenya,70804,1287,46244
11/17/20,kenya,71729,1302,47262
11/18/20,kenya,72686,1313,49878
11/19/20,kenya,74145,1330,50658
11/20/20,kenya,75193,1349,50984
11/21/20,kenya,76404,1366,51352
11/22/20,kenya,77372,1380,51507
11/23/20,kenya,77785,1392,51903
11/24/20,kenya,78512,1409,52709
11/25/20,kenya,79322,1417,52974
11/26/20,kenya,80102,1427,53526
11/27/20,kenya,81656,1441,54125
11/28/20,kenya,82605,1445,54399
11/29/20,kenya,83316,1452,54975
11/30/20,kenya,83618,1469,55344
12/1/20,kenya,84169,1474,55610
12/2/20,kenya,85130,1484,56464
12/3/20,kenya,86383,1500,56464
12/4/20,kenya,87249,1506,68110
12/5/20,kenya,87984,1518,68532
12/6/20,kenya,88380,1526,68929
12/7/20,kenya,88579,1531,69414
12/8/20,kenya,89100,1545,69839
12/9/20,kenya,89661,1552,70194
12/10/20,kenya,90305,1568,71254
12/11/20,kenya,90978,1582,71579
12/12/20,kenya,91526,1586,72596
12/13/20,kenya,91892,1587,73028
12/14/20,kenya,92055,1593,73452
12/15/20,kenya,92459,1604,73979
12/16/20,kenya,92853,1614,74403
12/17/20,kenya,93405,1618,74999
12/18/20,kenya,93761,1629,75274
12/19/20,kenya,94151,1633,75559
12/20/20,kenya,94500,1639,75735
12/21/20,kenya,94614,1644,76060
12/22/20,kenya,94768,1647,76222
12/23/20,kenya,95195,1648,76508
12/24/20,kenya,95431,1652,76720
12/25/20,kenya,95713,1653,76811
12/26/20,kenya,95843,1655,76998
12/27/20,kenya,95923,1658,77423
12/28/20,kenya,95992,1664,77521
12/29/20,kenya,96139,1665,77659
12/30/20,kenya,96251,1667,78475
12/31/20,kenya,96458,1670,78737
1/1/21,kenya,96614,1681,78802
1/2/21,kenya,96678,1685,79012
1/3/21,kenya,96802,1685,79073
1/4/21,kenya,96908,1686,79257
1/5/21,kenya,97127,1690,79357
1/6/21,kenya,97398,1694,79966
1/7/21,kenya,97733,1702,80306
1/8/21,kenya,97954,1703,80671
1/9/21,kenya,98184,1704,80808
1/10/21,kenya,98271,1710,80875
1/11/21,kenya,98334,1713,81101
1/12/21,kenya,98432,1716,81255
1/13/21,kenya,98555,1720,81667
1/14/21,kenya,98693,1723,81933
1/15/21,kenya,98859,1726,82195
1/16/21,kenya,99082,1728,83324
1/17/21,kenya,99162,1731,83350
1/18/21,kenya,99227,1734,82427
1/19/21,kenya,99308,1734,82478
1/20/21,kenya,99444,1736,82654
1/21/21,kenya,99630,1739,82729
1/22/21,kenya,99769,1740,82866
1/23/21,kenya,99898,1740,82936
1/24/21,kenya,99983,1744,82969
1/25/21,kenya,100052,1744,83418
1/26/21,kenya,100193,1750,83625
1/27/21,kenya,100323,1751,83691
