date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,mexico,0,0,0
1/23/20,mexico,0,0,0
1/24/20,mexico,0,0,0
1/25/20,mexico,0,0,0
1/26/20,mexico,0,0,0
1/27/20,mexico,0,0,0
1/28/20,mexico,0,0,0
1/29/20,mexico,0,0,0
1/30/20,mexico,0,0,0
1/31/20,mexico,0,0,0
2/1/20,mexico,0,0,0
2/2/20,mexico,0,0,0
2/3/20,mexico,0,0,0
2/4/20,mexico,0,0,0
2/5/20,mexico,0,0,0
2/6/20,mexico,0,0,0
2/7/20,mexico,0,0,0
2/8/20,mexico,0,0,0
2/9/20,mexico,0,0,0
2/10/20,mexico,0,0,0
2/11/20,mexico,0,0,0
2/12/20,mexico,0,0,0
2/13/20,mexico,0,0,0
2/14/20,mexico,0,0,0
2/15/20,mexico,0,0,0
2/16/20,mexico,0,0,0
2/17/20,mexico,0,0,0
2/18/20,mexico,0,0,0
2/19/20,mexico,0,0,0
2/20/20,mexico,0,0,0
2/21/20,mexico,0,0,0
2/22/20,mexico,0,0,0
2/23/20,mexico,0,0,0
2/24/20,mexico,0,0,0
2/25/20,mexico,0,0,0
2/26/20,mexico,0,0,0
2/27/20,mexico,0,0,0
2/28/20,mexico,1,0,0
2/29/20,mexico,4,0,0
3/1/20,mexico,5,0,0
3/2/20,mexico,5,0,0
3/3/20,mexico,5,0,1
3/4/20,mexico,5,0,1
3/5/20,mexico,5,0,1
3/6/20,mexico,6,0,1
3/7/20,mexico,6,0,1
3/8/20,mexico,7,0,1
3/9/20,mexico,7,0,1
3/10/20,mexico,7,0,4
3/11/20,mexico,8,0,4
3/12/20,mexico,12,0,4
3/13/20,mexico,26,0,4
3/14/20,mexico,41,0,4
3/15/20,mexico,53,0,4
3/16/20,mexico,82,0,4
3/17/20,mexico,93,0,4
3/18/20,mexico,118,0,4
3/19/20,mexico,164,1,4
3/20/20,mexico,203,2,4
3/21/20,mexico,251,2,4
3/22/20,mexico,316,3,4
3/23/20,mexico,367,4,4
3/24/20,mexico,405,5,4
3/25/20,mexico,475,6,4
3/26/20,mexico,585,8,4
3/27/20,mexico,717,12,4
3/28/20,mexico,848,16,4
3/29/20,mexico,993,20,4
3/30/20,mexico,1094,28,35
3/31/20,mexico,1215,29,35
4/1/20,mexico,1378,37,35
4/2/20,mexico,1510,50,35
4/3/20,mexico,1688,60,633
4/4/20,mexico,1890,79,633
4/5/20,mexico,2143,94,633
4/6/20,mexico,2439,125,633
4/7/20,mexico,2785,141,633
4/8/20,mexico,3181,174,633
4/9/20,mexico,3441,194,633
4/10/20,mexico,3844,233,633
4/11/20,mexico,4219,273,633
4/12/20,mexico,4661,296,1772
4/13/20,mexico,5014,332,1843
4/14/20,mexico,5399,406,1964
4/15/20,mexico,5847,449,2125
4/16/20,mexico,6297,486,2125
4/17/20,mexico,6875,546,2125
4/18/20,mexico,7497,650,2125
4/19/20,mexico,8261,686,2627
4/20/20,mexico,8772,712,2627
4/21/20,mexico,9501,857,2627
4/22/20,mexico,10544,970,2627
4/23/20,mexico,11633,1069,2627
