date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,nigeria,0,0,0
1/23/20,nigeria,0,0,0
1/24/20,nigeria,0,0,0
1/25/20,nigeria,0,0,0
1/26/20,nigeria,0,0,0
1/27/20,nigeria,0,0,0
1/28/20,nigeria,0,0,0
1/29/20,nigeria,0,0,0
1/30/20,nigeria,0,0,0
1/31/20,nigeria,0,0,0
2/1/20,nigeria,0,0,0
2/2/20,nigeria,0,0,0
2/3/20,nigeria,0,0,0
2/4/20,nigeria,0,0,0
2/5/20,nigeria,0,0,0
2/6/20,nigeria,0,0,0
2/7/20,nigeria,0,0,0
2/8/20,nigeria,0,0,0
2/9/20,nigeria,0,0,0
2/10/20,nigeria,0,0,0
2/11/20,nigeria,0,0,0
2/12/20,nigeria,0,0,0
2/13/20,nigeria,0,0,0
2/14/20,nigeria,0,0,0
2/15/20,nigeria,0,0,0
2/16/20,nigeria,0,0,0
2/17/20,nigeria,0,0,0
2/18/20,nigeria,0,0,0
2/19/20,nigeria,0,0,0
2/20/20,nigeria,0,0,0
2/21/20,nigeria,0,0,0
2/22/20,nigeria,0,0,0
2/23/20,nigeria,0,0,0
2/24/20,nigeria,0,0,0
2/25/20,nigeria,0,0,0
2/26/20,nigeria,0,0,0
2/27/20,nigeria,0,0,0
2/28/20,nigeria,1,0,0
2/29/20,nigeria,1,0,0
3/1/20,nigeria,1,0,0
3/2/20,nigeria,1,0,0
3/3/20,nigeria,1,0,0
3/4/20,nigeria,1,0,0
3/5/20,nigeria,1,0,0
3/6/20,nigeria,1,0,0
3/7/20,nigeria,1,0,0
3/8/20,nigeria,1,0,0
3/9/20,nigeria,2,0,0
3/10/20,nigeria,2,0,0
3/11/20,nigeria,2,0,0
3/12/20,nigeria,2,0,0
3/13/20,nigeria,2,0,0
3/14/20,nigeria,2,0,0
3/15/20,nigeria,2,0,0
3/16/20,nigeria,2,0,0
3/17/20,nigeria,3,0,0
3/18/20,nigeria,8,0,1
3/19/20,nigeria,8,0,1
3/20/20,nigeria,12,0,1
3/21/20,nigeria,22,0,1
3/22/20,nigeria,30,0,2
3/23/20,nigeria,40,1,2
3/24/20,nigeria,44,1,2
3/25/20,nigeria,51,1,2
3/26/20,nigeria,65,1,2
3/27/20,nigeria,70,1,3
3/28/20,nigeria,89,1,3
3/29/20,nigeria,111,1,3
3/30/20,nigeria,131,2,8
3/31/20,nigeria,135,2,8
4/1/20,nigeria,174,2,9
4/2/20,nigeria,184,2,20
4/3/20,nigeria,210,4,25
4/4/20,nigeria,214,4,25
4/5/20,nigeria,232,5,33
4/6/20,nigeria,238,5,35
4/7/20,nigeria,254,6,44
4/8/20,nigeria,276,6,44
4/9/20,nigeria,288,7,51
4/10/20,nigeria,305,7,58
4/11/20,nigeria,318,10,70
4/12/20,nigeria,323,10,85
4/13/20,nigeria,343,10,91
4/14/20,nigeria,373,11,99
4/15/20,nigeria,407,12,128
4/16/20,nigeria,442,13,152
4/17/20,nigeria,493,17,159
4/18/20,nigeria,542,19,166
4/19/20,nigeria,627,21,170
4/20/20,nigeria,665,22,188
4/21/20,nigeria,665,22,188
4/22/20,nigeria,873,28,197
4/23/20,nigeria,981,31,197
4/24/20,nigeria,1095,32,208
4/25/20,nigeria,1182,35,222
4/26/20,nigeria,1273,40,239
4/27/20,nigeria,1337,40,255
4/28/20,nigeria,1532,44,255
4/29/20,nigeria,1728,51,307
4/30/20,nigeria,1932,58,319
5/1/20,nigeria,2170,68,351
5/2/20,nigeria,2388,85,351
5/3/20,nigeria,2558,87,400
5/4/20,nigeria,2802,93,417
5/5/20,nigeria,2950,98,481
5/6/20,nigeria,3145,103,534
5/7/20,nigeria,3526,107,601
5/8/20,nigeria,3912,117,679
5/9/20,nigeria,4151,128,745
5/10/20,nigeria,4399,143,778
5/11/20,nigeria,4641,150,902
5/12/20,nigeria,4787,158,959
5/13/20,nigeria,4971,164,1070
5/14/20,nigeria,5162,167,1180
5/15/20,nigeria,5450,171,1320
5/16/20,nigeria,5621,176,1472
5/17/20,nigeria,5959,182,1594
5/18/20,nigeria,6175,191,1644
5/19/20,nigeria,6401,192,1734
5/20/20,nigeria,6677,200,1840
5/21/20,nigeria,7016,211,1907
5/22/20,nigeria,7261,221,2007
5/23/20,nigeria,7526,221,2174
5/24/20,nigeria,7839,226,2263
5/25/20,nigeria,8068,233,2311
5/26/20,nigeria,8344,249,2385
5/27/20,nigeria,8733,254,2501
5/28/20,nigeria,8915,259,2592
5/29/20,nigeria,9302,261,2697
5/30/20,nigeria,9855,273,2856
5/31/20,nigeria,10162,287,3007
6/1/20,nigeria,10578,299,3122
6/2/20,nigeria,10819,314,3240
6/3/20,nigeria,11166,315,3329
6/4/20,nigeria,11516,323,3535
6/5/20,nigeria,11844,333,3696
6/6/20,nigeria,12233,342,3826
6/7/20,nigeria,12486,354,3959
6/8/20,nigeria,12801,361,4040
6/9/20,nigeria,13464,365,4206
6/10/20,nigeria,13873,382,4351
6/11/20,nigeria,14554,387,4494
6/12/20,nigeria,15181,399,4891
6/13/20,nigeria,15682,407,5101
6/14/20,nigeria,16085,420,5220
6/15/20,nigeria,16658,424,5349
6/16/20,nigeria,17148,455,5623
6/17/20,nigeria,17735,469,5967
6/18/20,nigeria,18480,475,6307
6/19/20,nigeria,19147,487,6581
6/20/20,nigeria,19808,506,6718
6/21/20,nigeria,20244,518,6879
6/22/20,nigeria,20919,525,7109
6/23/20,nigeria,21371,533,7338
6/24/20,nigeria,22020,542,7613
6/25/20,nigeria,22614,549,7822
6/26/20,nigeria,23298,554,8253
6/27/20,nigeria,24077,558,8625
6/28/20,nigeria,24567,565,9007
6/29/20,nigeria,25133,573,9402
6/30/20,nigeria,25694,590,9746
7/1/20,nigeria,26484,603,10152
7/2/20,nigeria,27110,616,10801
7/3/20,nigeria,27564,628,11069
7/4/20,nigeria,28167,634,11462
7/5/20,nigeria,28711,645,11665
7/6/20,nigeria,29286,654,11828
7/7/20,nigeria,29789,669,12108
7/8/20,nigeria,30249,684,12373
7/9/20,nigeria,30748,689,12546
7/10/20,nigeria,31323,709,12795
7/11/20,nigeria,31987,724,13103
7/12/20,nigeria,32558,740,13447
7/13/20,nigeria,33153,744,13671
7/14/20,nigeria,33616,754,13792
7/15/20,nigeria,34259,760,13999
7/16/20,nigeria,34854,769,14292
7/17/20,nigeria,35454,772,14633
7/18/20,nigeria,36107,778,14938
7/19/20,nigeria,36663,789,15105
7/20/20,nigeria,37225,801,15333
7/21/20,nigeria,37801,805,15677
7/22/20,nigeria,38344,813,15815
7/23/20,nigeria,38948,833,16061
7/24/20,nigeria,39539,845,16559
7/25/20,nigeria,39977,856,16948
7/26/20,nigeria,40532,858,17374
7/27/20,nigeria,41180,860,18203
7/28/20,nigeria,41804,868,18764
7/29/20,nigeria,42208,873,19004
7/30/20,nigeria,42689,878,19270
7/31/20,nigeria,43151,879,19565
8/1/20,nigeria,43537,883,20087
8/2/20,nigeria,43841,888,20308
8/3/20,nigeria,44129,896,20663
8/4/20,nigeria,44433,910,31851
8/5/20,nigeria,44890,927,32165
8/6/20,nigeria,45244,930,32430
8/7/20,nigeria,45687,936,32637
8/8/20,nigeria,46140,942,33044
8/9/20,nigeria,46577,945,33186
8/10/20,nigeria,46867,950,33346
8/11/20,nigeria,47290,956,33609
8/12/20,nigeria,47743,956,33943
8/13/20,nigeria,48116,966,34309
8/14/20,nigeria,48445,973,35998
8/15/20,nigeria,48770,974,36290
8/16/20,nigeria,49068,975,36497
8/17/20,nigeria,49485,977,36834
8/18/20,nigeria,49895,981,37051
8/19/20,nigeria,50488,985,37304
8/20/20,nigeria,50964,992,37569
8/21/20,nigeria,51304,996,37885
8/22/20,nigeria,51905,997,38767
8/23/20,nigeria,52227,1002,38945
8/24/20,nigeria,52548,1004,39257
8/25/20,nigeria,52800,1007,39964
8/26/20,nigeria,53021,1010,40281
8/27/20,nigeria,53317,1011,40726
8/28/20,nigeria,53477,1011,41017
8/29/20,nigeria,53727,1011,41314
8/30/20,nigeria,53865,1013,41513
8/31/20,nigeria,54008,1013,41638
9/1/20,nigeria,54247,1023,42010
9/2/20,nigeria,54463,1027,42439
9/3/20,nigeria,54588,1048,42627
9/4/20,nigeria,54743,1051,42816
9/5/20,nigeria,54905,1054,42922
9/6/20,nigeria,55005,1057,43013
9/7/20,nigeria,55160,1061,43231
9/8/20,nigeria,55456,1067,43334
9/9/20,nigeria,55632,1070,43610
9/10/20,nigeria,55829,1075,43810
9/11/20,nigeria,56017,1076,43998
9/12/20,nigeria,56177,1078,44088
9/13/20,nigeria,56256,1082,44152
9/14/20,nigeria,56388,1083,44337
9/15/20,nigeria,56478,1088,44430
9/16/20,nigeria,56604,1091,47872
9/17/20,nigeria,56735,1093,48092
9/18/20,nigeria,56956,1094,48305
9/19/20,nigeria,57145,1095,48431
9/20/20,nigeria,57242,1098,48569
9/21/20,nigeria,57437,1100,48674
9/22/20,nigeria,57613,1100,48836
9/23/20,nigeria,57724,1102,48985
9/24/20,nigeria,57849,1102,49098
9/25/20,nigeria,58062,1103,49606
9/26/20,nigeria,58198,1106,49722
9/27/20,nigeria,58324,1108,49794
9/28/20,nigeria,58460,1111,49895
9/29/20,nigeria,58647,1111,49937
9/30/20,nigeria,58848,1112,50358
10/1/20,nigeria,59001,1112,50452
10/2/20,nigeria,59127,1112,50593
10/3/20,nigeria,59287,1113,50718
10/4/20,nigeria,59345,1113,50768
10/5/20,nigeria,59465,1113,50951
10/6/20,nigeria,59583,1113,51308
10/7/20,nigeria,59738,1113,51403
10/8/20,nigeria,59841,1113,51551
10/9/20,nigeria,59992,1113,51614
10/10/20,nigeria,60103,1115,51711
10/11/20,nigeria,60266,1115,51735
10/12/20,nigeria,60430,1115,51943
10/13/20,nigeria,60655,1116,52006
10/14/20,nigeria,60834,1116,52143
10/15/20,nigeria,60982,1116,52194
10/16/20,nigeria,61194,1119,52304
10/17/20,nigeria,61307,1123,56557
10/18/20,nigeria,61440,1125,56611
10/19/20,nigeria,61558,1125,56697
10/20/20,nigeria,61630,1125,56797
10/21/20,nigeria,61667,1125,56880
10/22/20,nigeria,61805,1127,56985
10/23/20,nigeria,61882,1129,57190
10/24/20,nigeria,61930,1129,57285
10/25/20,nigeria,61992,1130,57465
10/26/20,nigeria,62111,1132,57571
10/27/20,nigeria,62224,1135,57916
10/28/20,nigeria,62371,1139,58095
10/29/20,nigeria,62521,1141,58249
10/30/20,nigeria,62691,1144,58430
10/31/20,nigeria,62853,1144,58675
11/1/20,nigeria,62964,1146,58790
11/2/20,nigeria,63036,1147,59328
11/3/20,nigeria,63173,1151,59634
11/4/20,nigeria,63328,1155,59675
11/5/20,nigeria,63508,1155,59748
11/6/20,nigeria,63731,1155,59844
11/7/20,nigeria,63790,1155,59884
11/8/20,nigeria,64090,1154,59910
11/9/20,nigeria,64184,1158,60069
11/10/20,nigeria,64336,1160,60333
11/11/20,nigeria,64516,1162,60737
11/12/20,nigeria,64728,1162,60790
11/13/20,nigeria,64884,1163,60936
11/14/20,nigeria,64996,1163,61029
11/15/20,nigeria,65148,1163,61073
11/16/20,nigeria,65305,1163,61162
11/17/20,nigeria,65457,1163,61337
11/18/20,nigeria,65693,1163,61457
11/19/20,nigeria,65839,1165,61573
11/20/20,nigeria,65982,1165,61782
11/21/20,nigeria,66228,1166,61884
11/22/20,nigeria,66383,1167,62076
11/23/20,nigeria,66439,1168,62241
11/24/20,nigeria,66607,1169,62311
11/25/20,nigeria,66805,1169,62493
11/26/20,nigeria,66974,1169,62585
11/27/20,nigeria,67220,1171,62686
11/28/20,nigeria,67330,1171,62819
11/29/20,nigeria,67412,1173,63055
11/30/20,nigeria,67557,1173,63282
12/1/20,nigeria,67838,1176,63430
12/2/20,nigeria,67960,1177,63839
12/3/20,nigeria,68303,1179,64291
12/4/20,nigeria,68627,1179,64467
12/5/20,nigeria,68937,1180,64650
12/6/20,nigeria,69255,1180,64774
12/7/20,nigeria,69645,1181,64947
12/8/20,nigeria,70195,1182,65110
12/9/20,nigeria,70669,1184,65242
12/10/20,nigeria,71344,1190,65474
12/11/20,nigeria,72140,1190,65722
12/12/20,nigeria,72757,1194,65850
12/13/20,nigeria,73175,1197,66090
12/14/20,nigeria,73374,1197,66314
12/15/20,nigeria,74132,1200,66494
12/16/20,nigeria,75062,1200,66775
12/17/20,nigeria,76207,1201,67110
12/18/20,nigeria,77013,1212,67484
12/19/20,nigeria,77933,1218,67784
12/20/20,nigeria,78434,1221,68303
12/21/20,nigeria,78790,1227,68493
12/22/20,nigeria,79789,1231,68879
12/23/20,nigeria,80922,1236,69274
12/24/20,nigeria,81963,1242,69651
12/25/20,nigeria,82747,1246,70248
12/26/20,nigeria,83576,1247,70495
12/27/20,nigeria,84414,1254,71034
12/28/20,nigeria,84811,1264,71357
12/29/20,nigeria,85560,1267,71937
12/30/20,nigeria,86576,1278,73322
12/31/20,nigeria,87607,1289,73713
1/1/21,nigeria,88587,1294,74373
1/2/21,nigeria,89163,1302,74789
1/3/21,nigeria,90080,1311,75044
1/4/21,nigeria,91351,1318,75699
1/5/21,nigeria,92705,1319,76396
1/6/21,nigeria,94369,1324,77299
1/7/21,nigeria,95934,1330,77982
1/8/21,nigeria,97478,1342,78552
1/9/21,nigeria,99063,1350,79417
1/10/21,nigeria,100087,1358,80030
1/11/21,nigeria,101331,1361,80491
1/12/21,nigeria,102601,1373,81574
1/13/21,nigeria,103999,1382,82555
1/14/21,nigeria,105478,1405,83830
1/15/21,nigeria,107345,1413,84535
1/16/21,nigeria,108943,1420,85367
1/17/21,nigeria,110387,1435,89317
1/18/21,nigeria,112004,1449,89939
1/19/21,nigeria,113305,1464,91200
1/20/21,nigeria,114691,1478,92336
1/21/21,nigeria,116655,1485,93646
1/22/21,nigeria,118138,1490,94130
1/23/21,nigeria,120602,1502,95901
1/24/21,nigeria,121566,1504,97228
1/25/21,nigeria,122996,1507,98359
1/26/21,nigeria,124299,1522,99276
1/27/21,nigeria,126160,1543,100365
1/28/21,nigeria,127024,1547,100853
1/29/21,nigeria,128674,1577,102780
1/30/21,nigeria,130557,1578,103712
1/31/21,nigeria,131242,1586,104989
2/1/21,nigeria,131918,1607,106275
2/2/21,nigeria,133552,1613,107551
2/3/21,nigeria,134690,1618,108657
2/4/21,nigeria,136030,1632,110449
2/5/21,nigeria,137654,1641,111639
2/6/21,nigeria,139242,1647,112557
2/7/21,nigeria,139748,1667,113525
2/8/21,nigeria,140391,1673,114635
2/9/21,nigeria,141447,1694,115755
2/10/21,nigeria,142578,1702,116947
2/11/21,nigeria,143516,1710,118012
2/12/21,nigeria,144521,1734,118866
2/13/21,nigeria,145664,1747,120399
2/14/21,nigeria,146184,1752,120838
2/15/21,nigeria,146928,1761,123009
2/16/21,nigeria,148296,1777,124483
2/17/21,nigeria,149369,1787,125722
2/18/21,nigeria,150246,1803,126417
2/19/21,nigeria,150908,1813,127524
2/20/21,nigeria,151553,1831,128005
2/21/21,nigeria,152074,1839,128619
2/22/21,nigeria,152616,1862,129300
2/23/21,nigeria,153187,1874,129943
2/24/21,nigeria,153842,1885,130818
2/25/21,nigeria,154476,1891,131699
2/26/21,nigeria,155076,1902,132544
2/27/21,nigeria,155417,1905,133256
2/28/21,nigeria,155657,1907,133768
3/1/21,nigeria,156017,1915,133904
3/2/21,nigeria,156496,1923,134551
3/3/21,nigeria,156960,1939,135812
3/4/21,nigeria,157671,1951,136335
3/5/21,nigeria,158042,1954,137025
3/6/21,nigeria,158237,1964,137645
3/7/21,nigeria,158506,1969,137890
3/8/21,nigeria,158906,1982,138502
3/9/21,nigeria,159252,1988,139056
