date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,philippines,0,0,0
1/23/20,philippines,0,0,0
1/24/20,philippines,0,0,0
1/25/20,philippines,0,0,0
1/26/20,philippines,0,0,0
1/27/20,philippines,0,0,0
1/28/20,philippines,0,0,0
1/29/20,philippines,0,0,0
1/30/20,philippines,1,0,0
1/31/20,philippines,1,0,0
2/1/20,philippines,1,0,0
2/2/20,philippines,2,1,0
2/3/20,philippines,2,1,0
2/4/20,philippines,2,1,0
2/5/20,philippines,2,1,0
2/6/20,philippines,2,1,0
2/7/20,philippines,3,1,0
2/8/20,philippines,3,1,0
2/9/20,philippines,3,1,0
2/10/20,philippines,3,1,0
2/11/20,philippines,3,1,0
2/12/20,philippines,3,1,1
2/13/20,philippines,3,1,1
2/14/20,philippines,3,1,1
2/15/20,philippines,3,1,1
2/16/20,philippines,3,1,1
2/17/20,philippines,3,1,1
2/18/20,philippines,3,1,1
2/19/20,philippines,3,1,1
2/20/20,philippines,3,1,1
2/21/20,philippines,3,1,1
2/22/20,philippines,3,1,1
2/23/20,philippines,3,1,1
2/24/20,philippines,3,1,1
2/25/20,philippines,3,1,1
2/26/20,philippines,3,1,1
2/27/20,philippines,3,1,1
2/28/20,philippines,3,1,1
2/29/20,philippines,3,1,1
3/1/20,philippines,3,1,1
3/2/20,philippines,3,1,1
3/3/20,philippines,3,1,1
3/4/20,philippines,3,1,1
3/5/20,philippines,3,1,1
3/6/20,philippines,5,1,1
3/7/20,philippines,6,1,1
3/8/20,philippines,10,1,1
3/9/20,philippines,20,1,1
3/10/20,philippines,33,1,2
3/11/20,philippines,49,1,2
3/12/20,philippines,52,2,2
3/13/20,philippines,64,5,2
3/14/20,philippines,111,8,2
3/15/20,philippines,140,11,2
3/16/20,philippines,142,12,2
3/17/20,philippines,187,12,5
3/18/20,philippines,202,19,5
3/19/20,philippines,217,17,8
3/20/20,philippines,230,18,8
3/21/20,philippines,307,19,13
3/22/20,philippines,380,25,17
3/23/20,philippines,462,33,17
3/24/20,philippines,552,35,20
3/25/20,philippines,636,38,26
3/26/20,philippines,707,45,28
3/27/20,philippines,803,54,31
3/28/20,philippines,1075,68,35
3/29/20,philippines,1418,71,42
3/30/20,philippines,1546,78,42
3/31/20,philippines,2084,88,49
4/1/20,philippines,2311,96,50
4/2/20,philippines,2633,107,51
4/3/20,philippines,3018,136,52
4/4/20,philippines,3094,144,57
4/5/20,philippines,3246,152,64
4/6/20,philippines,3660,163,73
4/7/20,philippines,3764,177,84
4/8/20,philippines,3870,182,96
4/9/20,philippines,4076,203,124
4/10/20,philippines,4195,221,140
4/11/20,philippines,4428,247,157
4/12/20,philippines,4648,297,197
4/13/20,philippines,4932,315,242
4/14/20,philippines,5223,335,295
4/15/20,philippines,5453,349,353
4/16/20,philippines,5660,362,435
4/17/20,philippines,5878,387,487
4/18/20,philippines,6087,397,516
4/19/20,philippines,6259,409,572
4/20/20,philippines,6459,428,613
4/21/20,philippines,6599,437,654
4/22/20,philippines,6710,446,693
4/23/20,philippines,6981,462,722
4/24/20,philippines,7192,477,762
4/25/20,philippines,7294,494,792
4/26/20,philippines,7579,501,862
4/27/20,philippines,7777,511,932
4/28/20,philippines,7958,530,975
4/29/20,philippines,8212,558,1023
4/30/20,philippines,8488,568,1043
5/1/20,philippines,8772,579,1084
5/2/20,philippines,8928,603,1124
5/3/20,philippines,9223,607,1214
5/4/20,philippines,9485,623,1315
5/5/20,philippines,9684,637,1408
5/6/20,philippines,10004,658,1506
5/7/20,philippines,10343,685,1618
5/8/20,philippines,10463,696,1734
5/9/20,philippines,10610,704,1842
5/10/20,philippines,10794,719,1924
5/11/20,philippines,11086,726,1999
5/12/20,philippines,11350,751,2106
5/13/20,philippines,11618,772,2251
5/14/20,philippines,11876,790,2337
5/15/20,philippines,12091,806,2460
5/16/20,philippines,12305,817,2561
5/17/20,philippines,12513,824,2635
5/18/20,philippines,12718,831,2729
5/19/20,philippines,12942,837,2843
5/20/20,philippines,13221,842,2932
5/21/20,philippines,13434,846,3000
5/22/20,philippines,13597,857,3092
5/23/20,philippines,13777,863,3177
5/24/20,philippines,14035,868,3249
5/25/20,philippines,14319,873,3323
5/26/20,philippines,14669,886,3412
5/27/20,philippines,15049,904,3506
5/28/20,philippines,15588,921,3598
5/29/20,philippines,16634,942,3720
5/30/20,philippines,17224,950,3808
5/31/20,philippines,18086,957,3909
6/1/20,philippines,18638,960,3979
6/2/20,philippines,18997,966,4063
6/3/20,philippines,19748,974,4153
6/4/20,philippines,20382,984,4248
6/5/20,philippines,20626,987,4330
6/6/20,philippines,21340,994,4441
6/7/20,philippines,21895,1003,4530
6/8/20,philippines,22474,1011,4637
6/9/20,philippines,22992,1017,4736
6/10/20,philippines,23732,1027,4895
6/11/20,philippines,24175,1036,5165
6/12/20,philippines,24787,1052,5454
6/13/20,philippines,25392,1074,5706
6/14/20,philippines,25930,1088,5954
6/15/20,philippines,26420,1098,6252
6/16/20,philippines,26781,1103,6552
6/17/20,philippines,27238,1108,6820
6/18/20,philippines,27799,1116,7090
6/19/20,philippines,28459,1130,7378
6/20/20,philippines,29400,1150,7650
6/21/20,philippines,30052,1169,7893
6/22/20,philippines,30682,1177,8143
6/23/20,philippines,31825,1186,8442
6/24/20,philippines,32295,1204,8656
6/25/20,philippines,33069,1212,8910
6/26/20,philippines,34073,1224,9182
6/27/20,philippines,34803,1236,9430
6/28/20,philippines,35455,1244,9686
6/29/20,philippines,36438,1255,9956
6/30/20,philippines,37514,1266,10233
7/1/20,philippines,38511,1270,10438
7/2/20,philippines,38805,1274,10673
7/3/20,philippines,40336,1280,11073
7/4/20,philippines,41830,1290,11453
7/5/20,philippines,44254,1297,11942
7/6/20,philippines,46333,1303,12185
7/7/20,philippines,47873,1309,12386
7/8/20,philippines,50359,1314,12588
7/9/20,philippines,51754,1314,12813
7/10/20,philippines,52914,1360,13230
7/11/20,philippines,54222,1372,14037
7/12/20,philippines,56259,1534,16046
7/13/20,philippines,57006,1599,20371
7/14/20,philippines,57545,1603,20459
7/15/20,philippines,58850,1614,20976
7/16/20,philippines,61266,1643,21440
7/17/20,philippines,63001,1660,21748
7/18/20,philippines,65304,1773,22067
7/19/20,philippines,67456,1831,22465
7/20/20,philippines,68898,1835,23072
7/21/20,philippines,70764,1837,23281
7/22/20,philippines,72269,1843,23623
7/23/20,philippines,74390,1871,24383
7/24/20,philippines,76444,1879,24502
7/25/20,philippines,78412,1897,25752
7/26/20,philippines,80448,1932,26110
7/27/20,philippines,82040,1945,26446
7/28/20,philippines,83673,1947,26617
7/29/20,philippines,85486,1962,26996
7/30/20,philippines,89374,1983,65064
7/31/20,philippines,93354,2023,65178
8/1/20,philippines,98232,2039,65265
8/2/20,philippines,103185,2059,65557
8/3/20,philippines,106330,2104,65821
8/4/20,philippines,112593,2115,66049
8/5/20,philippines,115980,2123,66270
8/6/20,philippines,119460,2150,66837
8/7/20,philippines,122754,2168,66852
8/8/20,philippines,126885,2209,67117
8/9/20,philippines,129913,2270,67673
8/10/20,philippines,136638,2294,68159
8/11/20,philippines,139538,2312,68432
8/12/20,philippines,143749,2404,68997
8/13/20,philippines,147526,2426,70387
8/14/20,philippines,153660,2442,71405
8/15/20,philippines,157918,2600,72209
8/16/20,philippines,161253,2665,112586
8/17/20,philippines,164474,2681,112759
8/18/20,philippines,169213,2687,112861
8/19/20,philippines,173774,2795,113481
8/20/20,philippines,178022,2883,114114
8/21/20,philippines,182365,2940,114519
8/22/20,philippines,187249,2966,114921
8/23/20,philippines,189601,2998,131367
8/24/20,philippines,194252,3010,132042
8/25/20,philippines,197164,3038,132396
8/26/20,philippines,202361,3137,133460
8/27/20,philippines,205581,3234,133990
8/28/20,philippines,209544,3325,134474
8/29/20,philippines,213131,3419,135101
8/30/20,philippines,217396,3520,157403
8/31/20,philippines,220819,3558,157562
9/1/20,philippines,224264,3597,158012
9/2/20,philippines,226440,3623,158610
9/3/20,philippines,228403,3688,159475
9/4/20,philippines,232072,3737,160549
9/5/20,philippines,234570,3790,161668
9/6/20,philippines,237365,3875,184687
9/7/20,philippines,238727,3890,184906
9/8/20,philippines,241987,3916,185178
9/9/20,philippines,245143,3986,185543
9/10/20,philippines,248947,4066,186058
9/11/20,philippines,252964,4108,186606
9/12/20,philippines,257863,4292,187116
9/13/20,philippines,261216,4371,207568
9/14/20,philippines,265888,4630,207504
9/15/20,philippines,269407,4663,207352
9/16/20,philippines,272934,4732,207858
9/17/20,philippines,276289,4785,208096
9/18/20,philippines,279526,4830,208790
9/19/20,philippines,283460,4930,209885
9/20/20,philippines,286743,4984,229865
9/21/20,philippines,290190,4999,230233
9/22/20,philippines,291789,5049,230643
9/23/20,philippines,294591,5091,231373
9/24/20,philippines,296755,5127,231928
9/25/20,philippines,299361,5196,232399
9/26/20,philippines,301256,5284,232906
9/27/20,philippines,304226,5344,252510
9/28/20,philippines,307288,5381,252665
9/29/20,philippines,309303,5448,252930
9/30/20,philippines,311694,5504,253488
10/1/20,philippines,314079,5562,254223
10/2/20,philippines,316678,5616,254617
10/3/20,philippines,319330,5678,255046
10/4/20,philippines,322497,5776,273079
10/5/20,philippines,324762,5840,273123
10/6/20,philippines,326833,5865,273313
10/7/20,philippines,329637,5925,273723
10/8/20,philippines,331869,6069,274318
10/9/20,philippines,334770,6152,275307
10/10/20,philippines,336926,6238,276094
10/11/20,philippines,339341,6321,293075
10/12/20,philippines,342816,6332,293152
10/13/20,philippines,344713,6372,293383
10/14/20,philippines,346536,6449,293860
10/15/20,philippines,348698,6497,294161
10/16/20,philippines,351750,6531,294865
10/17/20,philippines,354338,6603,295312
10/18/20,philippines,356618,6652,310158
10/19/20,philippines,359169,6675,310303
10/20/20,philippines,360775,6690,310642
10/21/20,philippines,362243,6747,311506
10/22/20,philippines,363888,6783,312333
10/23/20,philippines,365799,6915,312691
10/24/20,philippines,367819,6934,313112
10/25/20,philippines,370028,6977,328036
10/26/20,philippines,371630,7039,328258
10/27/20,philippines,373144,7053,328602
10/28/20,philippines,375180,7114,329111
10/29/20,philippines,376935,7147,329848
10/30/20,philippines,378933,7185,330457
10/31/20,philippines,380729,7221,331046
11/1/20,philippines,383113,7238,348760
11/2/20,philippines,385400,7269,348830
11/3/20,philippines,387161,7318,348967
11/4/20,philippines,388137,7367,349091
11/5/20,philippines,389725,7409,349543
11/6/20,philippines,391809,7461,349974
11/7/20,philippines,393961,7485,350216
11/8/20,philippines,396395,7539,361638
11/9/20,philippines,398449,7647,361784
11/10/20,philippines,399749,7661,361919
11/11/20,philippines,401416,7710,362217
11/12/20,philippines,402820,7721,362417
11/13/20,philippines,404713,7752,362903
11/14/20,philippines,406337,7791,363068
11/15/20,philippines,407838,7832,374329
11/16/20,philippines,409574,7839,374366
11/17/20,philippines,410718,7862,374543
11/18/20,philippines,412097,7957,374666
11/19/20,philippines,413430,7998,374939
11/20/20,philippines,415067,8025,375237
11/21/20,philippines,416852,8080,375548
11/22/20,philippines,418818,8123,386486
11/23/20,philippines,420614,8173,386604
11/24/20,philippines,421722,8185,386792
11/25/20,philippines,422915,8215,386955
11/26/20,philippines,424297,8242,387266
11/27/20,philippines,425918,8255,387616
11/28/20,philippines,427797,8333,388062
11/29/20,philippines,429864,8373,398624
11/30/20,philippines,431630,8392,398658
12/1/20,philippines,432925,8418,398782
12/2/20,philippines,434357,8436,399005
12/3/20,philippines,435413,8446,399325
12/4/20,philippines,436345,8509,399345
12/5/20,philippines,438069,8526,399582
12/6/20,philippines,439834,8554,408634
12/7/20,philippines,441399,8572,408702
12/8/20,philippines,442785,8670,408790
12/9/20,philippines,444164,8677,408942
12/10/20,philippines,445540,8701,409058
12/11/20,philippines,447039,8709,409329
12/12/20,philippines,448331,8730,409433
12/13/20,philippines,449400,8733,418687
12/14/20,philippines,450733,8757,418723
12/15/20,philippines,451839,8812,418867
12/16/20,philippines,452988,8833,419282
12/17/20,philippines,454447,8850,419902
12/18/20,philippines,456562,8875,420666
12/19/20,philippines,458044,8911,421086
12/20/20,philippines,459789,8947,429134
12/21/20,philippines,461505,8957,429207
12/22/20,philippines,462815,9021,429419
12/23/20,philippines,464004,9048,429972
12/24/20,philippines,465724,9055,430490
12/25/20,philippines,467601,9062,430791
12/26/20,philippines,469005,9067,431055
12/27/20,philippines,469886,9109,438678
12/28/20,philippines,470650,9124,438780
12/29/20,philippines,471526,9162,439016
12/30/20,philippines,472532,9230,439509
12/31/20,philippines,474064,9244,439796
1/1/21,philippines,475820,9248,439895
1/2/21,philippines,476916,9253,439942
1/3/21,philippines,477807,9257,448258
1/4/21,philippines,478761,9263,448279
1/5/21,philippines,479693,9321,448375
1/6/21,philippines,480737,9347,448700
1/7/21,philippines,482083,9356,449052
1/8/21,philippines,483852,9364,449330
1/9/21,philippines,485797,9398,449615
1/10/21,philippines,487690,9405,458198
1/11/21,philippines,489736,9416,458206
1/12/21,philippines,491258,9554,458172
1/13/21,philippines,492700,9699,458523
1/14/21,philippines,494605,9739,459252
