date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,russia,0,0,0
1/23/20,russia,0,0,0
1/24/20,russia,0,0,0
1/25/20,russia,0,0,0
1/26/20,russia,0,0,0
1/27/20,russia,0,0,0
1/28/20,russia,0,0,0
1/29/20,russia,0,0,0
1/30/20,russia,0,0,0
1/31/20,russia,2,0,0
2/1/20,russia,2,0,0
2/2/20,russia,2,0,0
2/3/20,russia,2,0,0
2/4/20,russia,2,0,0
2/5/20,russia,2,0,0
2/6/20,russia,2,0,0
2/7/20,russia,2,0,0
2/8/20,russia,2,0,0
2/9/20,russia,2,0,0
2/10/20,russia,2,0,0
2/11/20,russia,2,0,0
2/12/20,russia,2,0,2
2/13/20,russia,2,0,2
2/14/20,russia,2,0,2
2/15/20,russia,2,0,2
2/16/20,russia,2,0,2
2/17/20,russia,2,0,2
2/18/20,russia,2,0,2
2/19/20,russia,2,0,2
2/20/20,russia,2,0,2
2/21/20,russia,2,0,2
2/22/20,russia,2,0,2
2/23/20,russia,2,0,2
2/24/20,russia,2,0,2
2/25/20,russia,2,0,2
2/26/20,russia,2,0,2
2/27/20,russia,2,0,2
2/28/20,russia,2,0,2
2/29/20,russia,2,0,2
3/1/20,russia,2,0,2
3/2/20,russia,3,0,2
3/3/20,russia,3,0,2
3/4/20,russia,3,0,2
3/5/20,russia,4,0,2
3/6/20,russia,13,0,2
3/7/20,russia,13,0,2
3/8/20,russia,17,0,3
3/9/20,russia,17,0,3
3/10/20,russia,20,0,3
3/11/20,russia,20,0,3
3/12/20,russia,28,0,3
3/13/20,russia,45,0,3
3/14/20,russia,59,0,8
3/15/20,russia,63,0,8
3/16/20,russia,90,0,8
3/17/20,russia,114,0,8
3/18/20,russia,147,0,8
3/19/20,russia,199,1,9
3/20/20,russia,253,1,9
3/21/20,russia,306,1,12
3/22/20,russia,367,1,16
3/23/20,russia,438,1,16
3/24/20,russia,495,1,22
3/25/20,russia,658,3,29
3/26/20,russia,840,3,38
3/27/20,russia,1036,4,45
3/28/20,russia,1264,4,49
3/29/20,russia,1534,8,64
3/30/20,russia,1836,9,66
3/31/20,russia,2337,17,121
4/1/20,russia,2777,24,190
4/2/20,russia,3548,30,235
4/3/20,russia,4149,34,281
4/4/20,russia,4731,43,333
4/5/20,russia,5389,45,355
4/6/20,russia,6343,47,406
4/7/20,russia,7497,58,494
4/8/20,russia,8672,63,580
4/9/20,russia,10131,76,698
4/10/20,russia,11917,94,795
4/11/20,russia,13584,106,1045
4/12/20,russia,15770,130,1291
4/13/20,russia,18328,148,1470
4/14/20,russia,21102,170,1694
4/15/20,russia,24490,198,1986
4/16/20,russia,27938,232,2304
4/17/20,russia,32008,273,2590
4/18/20,russia,36793,313,3057
4/19/20,russia,42853,361,3291
4/20/20,russia,47121,405,3446
4/21/20,russia,52763,456,3873
4/22/20,russia,57999,513,4420
4/23/20,russia,62773,555,4891
4/24/20,russia,68622,615,5568
4/25/20,russia,74588,681,6250
4/26/20,russia,80949,747,6767
4/27/20,russia,87147,794,7346
4/28/20,russia,93558,867,8456
4/29/20,russia,99399,972,10286
4/30/20,russia,106498,1073,11619
5/1/20,russia,114431,1169,13220
5/2/20,russia,124054,1222,15013
5/3/20,russia,134687,1280,16639
5/4/20,russia,145268,1356,18095
5/5/20,russia,155370,1451,19865
5/6/20,russia,165929,1537,21327
5/7/20,russia,177160,1625,23803
5/8/20,russia,187859,1723,26608
5/9/20,russia,198676,1827,31916
5/10/20,russia,209688,1915,34306
5/11/20,russia,221344,2009,39801
5/12/20,russia,232243,2116,43512
5/13/20,russia,242271,2212,48003
5/14/20,russia,252245,2305,53530
5/15/20,russia,262843,2418,58226
5/16/20,russia,272043,2537,63166
5/17/20,russia,281752,2631,67373
5/18/20,russia,290678,2722,70209
5/19/20,russia,299941,2837,76130
5/20/20,russia,308705,2972,85392
5/21/20,russia,317554,3099,92681
5/22/20,russia,326448,3249,99825
5/23/20,russia,335882,3388,107936
5/24/20,russia,344481,3541,113299
5/25/20,russia,353427,3633,118798
5/26/20,russia,362342,3807,131129
5/27/20,russia,370680,3968,142208
5/28/20,russia,379051,4142,150993
5/29/20,russia,387623,4374,159257
5/30/20,russia,396575,4555,167469
5/31/20,russia,405843,4693,171883
6/1/20,russia,414328,4849,175514
6/2/20,russia,423186,5031,186602
6/3/20,russia,431715,5208,195559
6/4/20,russia,440538,5376,204197
6/5/20,russia,449256,5520,212237
6/6/20,russia,458102,5717,220935
6/7/20,russia,467073,5851,226272
6/8/20,russia,476043,5963,230226
6/9/20,russia,484630,6134,241917
6/10/20,russia,493023,6350,252295
6/11/20,russia,501800,6522,260649
6/12/20,russia,510761,6705,268862
6/13/20,russia,519458,6819,274128
6/14/20,russia,528267,6938,279536
6/15/20,russia,536484,7081,284021
6/16/20,russia,544725,7274,293780
6/17/20,russia,552549,7468,303800
6/18/20,russia,560321,7650,313409
6/19/20,russia,568292,7831,323851
6/20/20,russia,576162,7992,334024
6/21/20,russia,583879,8101,339142
6/22/20,russia,591465,8196,343847
6/23/20,russia,598878,8349,355847
6/24/20,russia,606043,8503,368222
6/25/20,russia,613148,8594,374557
6/26/20,russia,619936,8770,383524
6/27/20,russia,626779,8958,392703
6/28/20,russia,633563,9060,398436
6/29/20,russia,640246,9152,402778
6/30/20,russia,646929,9306,411973
7/1/20,russia,653479,9521,422235
7/2/20,russia,660231,9668,428276
7/3/20,russia,666941,9844,437155
7/4/20,russia,673564,10011,446127
7/5/20,russia,680283,10145,449995
7/6/20,russia,686852,10280,453570
7/7/20,russia,693215,10478,463103
7/8/20,russia,699749,10650,471718
7/9/20,russia,706240,10826,480494
7/10/20,russia,712863,11000,488234
7/11/20,russia,719449,11188,496594
7/12/20,russia,726036,11318,500208
7/13/20,russia,732547,11422,503168
7/14/20,russia,738787,11597,511958
7/15/20,russia,745197,11753,522375
7/16/20,russia,751612,11920,530801
7/17/20,russia,758001,12106,538467
7/18/20,russia,764215,12228,545909
7/19/20,russia,770311,12323,549387
7/20/20,russia,776212,12408,552644
7/21/20,russia,782040,12561,561397
7/22/20,russia,787890,12726,571049
7/23/20,russia,793720,12873,579295
7/24/20,russia,799499,13026,587728
7/25/20,russia,805332,13172,596064
7/26/20,russia,811073,13249,599172
7/27/20,russia,816680,13334,602249
7/28/20,russia,822060,13483,611109
7/29/20,russia,827509,13650,619204
7/30/20,russia,832993,13778,628482
7/31/20,russia,838461,13939,637217
8/1/20,russia,843890,14034,645316
8/2/20,russia,849277,14104,648961
8/3/20,russia,854641,14183,652372
8/4/20,russia,859762,14327,660235
8/5/20,russia,864948,14465,667769
8/6/20,russia,870187,14579,675069
8/7/20,russia,875378,14698,682278
8/8/20,russia,880563,14827,688856
8/9/20,russia,885718,14903,692059
8/10/20,russia,890799,14973,695317
8/11/20,russia,895691,15103,701796
8/12/20,russia,900745,15231,708900
8/13/20,russia,905762,15353,714934
8/14/20,russia,910778,15467,721473
8/15/20,russia,915808,15585,727895
8/16/20,russia,920719,15653,731444
8/17/20,russia,925558,15707,734573
8/18/20,russia,930276,15836,741045
8/19/20,russia,935066,15951,747802
8/20/20,russia,939833,16058,753868
8/21/20,russia,944671,16148,759639
8/22/20,russia,949531,16268,765754
8/23/20,russia,954328,16341,768906
8/24/20,russia,959016,16406,771357
8/25/20,russia,963655,16524,777960
8/26/20,russia,968297,16638,784277
8/27/20,russia,972972,16758,790629
8/28/20,russia,977730,16866,796498
8/29/20,russia,982573,16977,802365
8/30/20,russia,987470,17045,804941
8/31/20,russia,992402,17128,807339
9/1/20,russia,997072,17250,813603
9/2/20,russia,1001965,17365,819043
9/3/20,russia,1006923,17479,824783
9/4/20,russia,1011987,17598,830532
9/5/20,russia,1017131,17707,835884
9/6/20,russia,1022228,17768,838680
9/7/20,russia,1027334,17818,840997
9/8/20,russia,1032354,17939,847746
9/9/20,russia,1037526,18080,854069
9/10/20,russia,1042836,18207,859961
9/11/20,russia,1048257,18309,865646
9/12/20,russia,1053663,18426,871000
