date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,south africa,0,0,0
1/23/20,south africa,0,0,0
1/24/20,south africa,0,0,0
1/25/20,south africa,0,0,0
1/26/20,south africa,0,0,0
1/27/20,south africa,0,0,0
1/28/20,south africa,0,0,0
1/29/20,south africa,0,0,0
1/30/20,south africa,0,0,0
1/31/20,south africa,0,0,0
2/1/20,south africa,0,0,0
2/2/20,south africa,0,0,0
2/3/20,south africa,0,0,0
2/4/20,south africa,0,0,0
2/5/20,south africa,0,0,0
2/6/20,south africa,0,0,0
2/7/20,south africa,0,0,0
2/8/20,south africa,0,0,0
2/9/20,south africa,0,0,0
2/10/20,south africa,0,0,0
2/11/20,south africa,0,0,0
2/12/20,south africa,0,0,0
2/13/20,south africa,0,0,0
2/14/20,south africa,0,0,0
2/15/20,south africa,0,0,0
2/16/20,south africa,0,0,0
2/17/20,south africa,0,0,0
2/18/20,south africa,0,0,0
2/19/20,south africa,0,0,0
2/20/20,south africa,0,0,0
2/21/20,south africa,0,0,0
2/22/20,south africa,0,0,0
2/23/20,south africa,0,0,0
2/24/20,south africa,0,0,0
2/25/20,south africa,0,0,0
2/26/20,south africa,0,0,0
2/27/20,south africa,0,0,0
2/28/20,south africa,0,0,0
2/29/20,south africa,0,0,0
3/1/20,south africa,0,0,0
3/2/20,south africa,0,0,0
3/3/20,south africa,0,0,0
3/4/20,south africa,0,0,0
3/5/20,south africa,1,0,0
3/6/20,south africa,1,0,0
3/7/20,south africa,1,0,0
3/8/20,south africa,3,0,0
3/9/20,south africa,3,0,0
3/10/20,south africa,7,0,0
3/11/20,south africa,13,0,0
3/12/20,south africa,17,0,0
3/13/20,south africa,24,0,0
3/14/20,south africa,38,0,0
3/15/20,south africa,51,0,0
3/16/20,south africa,62,0,0
3/17/20,south africa,62,0,0
3/18/20,south africa,116,0,0
3/19/20,south africa,150,0,0
3/20/20,south africa,202,0,0
3/21/20,south africa,240,0,0
3/22/20,south africa,274,0,0
3/23/20,south africa,402,0,0
3/24/20,south africa,554,0,4
3/25/20,south africa,709,0,12
3/26/20,south africa,927,0,12
3/27/20,south africa,1170,1,31
3/28/20,south africa,1187,1,31
3/29/20,south africa,1280,2,31
3/30/20,south africa,1326,3,31
3/31/20,south africa,1353,5,31
4/1/20,south africa,1380,5,50
4/2/20,south africa,1462,5,50
4/3/20,south africa,1505,9,95
4/4/20,south africa,1585,9,95
4/5/20,south africa,1655,11,95
4/6/20,south africa,1686,12,95
4/7/20,south africa,1749,13,95
4/8/20,south africa,1845,18,95
4/9/20,south africa,1934,18,95
4/10/20,south africa,2003,24,410
4/11/20,south africa,2028,25,410
4/12/20,south africa,2173,25,410
4/13/20,south africa,2272,27,410
4/14/20,south africa,2415,27,410
4/15/20,south africa,2506,34,410
4/16/20,south africa,2605,48,903
4/17/20,south africa,2783,50,903
4/18/20,south africa,3034,52,903
4/19/20,south africa,3158,54,903
4/20/20,south africa,3300,58,1055
4/21/20,south africa,3465,58,1055
4/22/20,south africa,3635,65,1055
4/23/20,south africa,3953,75,1473
4/24/20,south africa,4220,79,1473
4/25/20,south africa,4361,86,1473
4/26/20,south africa,4546,87,1473
4/27/20,south africa,4793,90,1473
4/28/20,south africa,4996,93,2073
4/29/20,south africa,5350,103,2073
4/30/20,south africa,5647,103,2073
5/1/20,south africa,5951,116,2382
5/2/20,south africa,6336,123,2549
5/3/20,south africa,6783,131,2549
5/4/20,south africa,7220,138,2746
5/5/20,south africa,7572,148,2746
5/6/20,south africa,7808,153,3153
5/7/20,south africa,8232,161,3153
5/8/20,south africa,8895,178,3153
5/9/20,south africa,9420,186,3983
5/10/20,south africa,10015,194,4173
5/11/20,south africa,10652,206,4357
5/12/20,south africa,11350,206,4357
5/13/20,south africa,12074,219,4745
5/14/20,south africa,12739,238,5676
5/15/20,south africa,13524,247,6083
5/16/20,south africa,14355,261,6478
5/17/20,south africa,15515,264,7006
5/18/20,south africa,16433,286,7298
5/19/20,south africa,17200,312,7960
5/20/20,south africa,18003,339,8950
5/21/20,south africa,19137,369,8950
5/22/20,south africa,20125,397,10104
5/23/20,south africa,21343,407,10104
5/24/20,south africa,22583,429,11100
5/25/20,south africa,23615,481,11917
5/26/20,south africa,24264,524,12741
5/27/20,south africa,25937,552,13451
5/28/20,south africa,27403,577,14370
5/29/20,south africa,29240,611,15093
5/30/20,south africa,30967,643,16116
5/31/20,south africa,32683,683,16809
6/1/20,south africa,34357,705,17291
6/2/20,south africa,35812,755,18313
6/3/20,south africa,37525,792,19682
6/4/20,south africa,40792,848,21311
6/5/20,south africa,43434,908,23088
6/6/20,south africa,45973,952,24258
6/7/20,south africa,48285,998,24364
6/8/20,south africa,50879,1080,26099
6/9/20,south africa,52991,1162,29006
6/10/20,south africa,55421,1210,31505
6/11/20,south africa,58568,1284,33252
6/12/20,south africa,61927,1354,35006
6/13/20,south africa,65736,1423,36850
6/14/20,south africa,70038,1480,38531
6/15/20,south africa,73533,1568,39867
6/16/20,south africa,76334,1625,42063
6/17/20,south africa,80412,1674,44331
6/18/20,south africa,83890,1737,44920
6/19/20,south africa,87715,1831,47825
6/20/20,south africa,92681,1877,50326
6/21/20,south africa,97302,1930,51608
6/22/20,south africa,101590,1991,53444
6/23/20,south africa,106108,2102,55045
6/24/20,south africa,111796,2205,56874
6/25/20,south africa,118375,2292,59974
6/26/20,south africa,124590,2340,64111
6/27/20,south africa,131800,2413,67094
6/28/20,south africa,138134,2456,68925
6/29/20,south africa,144264,2529,70614
6/30/20,south africa,151209,2657,73543
7/1/20,south africa,159333,2749,76025
7/2/20,south africa,168061,2844,81999
7/3/20,south africa,177124,2952,86298
7/4/20,south africa,187977,3026,91227
7/5/20,south africa,196750,3199,93315
7/6/20,south africa,205721,3310,97848
7/7/20,south africa,215855,3502,102299
7/8/20,south africa,224665,3602,106842
7/9/20,south africa,238339,3720,113061
7/10/20,south africa,250687,3860,118232
7/11/20,south africa,264184,3971,127715
7/12/20,south africa,276242,4079,134874
7/13/20,south africa,287796,4172,138241
7/14/20,south africa,298292,4346,146279
7/15/20,south africa,311049,4453,160693
7/16/20,south africa,324221,4669,165591
7/17/20,south africa,337594,4804,178183
