date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,south korea,1,0,0
1/23/20,south korea,1,0,0
1/24/20,south korea,2,0,0
1/25/20,south korea,2,0,0
1/26/20,south korea,3,0,0
1/27/20,south korea,4,0,0
1/28/20,south korea,4,0,0
1/29/20,south korea,4,0,0
1/30/20,south korea,4,0,0
1/31/20,south korea,11,0,0
2/1/20,south korea,12,0,0
2/2/20,south korea,15,0,0
2/3/20,south korea,15,0,0
2/4/20,south korea,16,0,0
2/5/20,south korea,19,0,0
2/6/20,south korea,23,0,0
2/7/20,south korea,24,0,1
2/8/20,south korea,24,0,1
2/9/20,south korea,25,0,3
2/10/20,south korea,27,0,3
2/11/20,south korea,28,0,3
2/12/20,south korea,28,0,7
2/13/20,south korea,28,0,7
2/14/20,south korea,28,0,7
2/15/20,south korea,28,0,9
2/16/20,south korea,29,0,9
2/17/20,south korea,30,0,10
2/18/20,south korea,31,0,12
2/19/20,south korea,31,0,12
2/20/20,south korea,104,1,16
2/21/20,south korea,204,2,16
2/22/20,south korea,433,2,16
2/23/20,south korea,602,6,18
2/24/20,south korea,833,8,18
2/25/20,south korea,977,10,22
2/26/20,south korea,1261,12,22
2/27/20,south korea,1766,13,22
2/28/20,south korea,2337,13,22
2/29/20,south korea,3150,16,27
3/1/20,south korea,3736,17,30
3/2/20,south korea,4335,28,30
3/3/20,south korea,5186,28,30
3/4/20,south korea,5621,35,41
3/5/20,south korea,6088,35,41
3/6/20,south korea,6593,42,135
3/7/20,south korea,7041,44,135
3/8/20,south korea,7314,50,118
3/9/20,south korea,7478,53,118
3/10/20,south korea,7513,54,247
3/11/20,south korea,7755,60,288
3/12/20,south korea,7869,66,333
3/13/20,south korea,7979,66,510
3/14/20,south korea,8086,72,510
3/15/20,south korea,8162,75,510
3/16/20,south korea,8236,75,1137
3/17/20,south korea,8320,81,1407
3/18/20,south korea,8413,84,1540
3/19/20,south korea,8565,91,1540
3/20/20,south korea,8652,94,1540
3/21/20,south korea,8799,102,1540
3/22/20,south korea,8961,111,2909
3/23/20,south korea,8961,111,2909
3/24/20,south korea,9037,120,3507
3/25/20,south korea,9137,126,3730
3/26/20,south korea,9241,131,4144
3/27/20,south korea,9332,139,4528
3/28/20,south korea,9478,144,4811
3/29/20,south korea,9583,152,5033
3/30/20,south korea,9661,158,5228
3/31/20,south korea,9786,162,5408
4/1/20,south korea,9887,165,5567
4/2/20,south korea,9976,169,5828
4/3/20,south korea,10062,174,6021
4/4/20,south korea,10156,177,6325
4/5/20,south korea,10237,183,6463
4/6/20,south korea,10284,186,6598
4/7/20,south korea,10331,192,6694
4/8/20,south korea,10384,200,6776
4/9/20,south korea,10423,204,6973
4/10/20,south korea,10450,208,7117
4/11/20,south korea,10480,211,7243
4/12/20,south korea,10512,214,7368
4/13/20,south korea,10537,217,7447
4/14/20,south korea,10564,222,7534
4/15/20,south korea,10591,225,7616
4/16/20,south korea,10613,229,7757
4/17/20,south korea,10635,230,7829
4/18/20,south korea,10653,232,7937
4/19/20,south korea,10661,234,8042
4/20/20,south korea,10674,236,8114
4/21/20,south korea,10683,237,8213
4/22/20,south korea,10694,238,8277
4/23/20,south korea,10708,240,8501
4/24/20,south korea,10718,240,8635
4/25/20,south korea,10728,242,8717
4/26/20,south korea,10738,243,8764
4/27/20,south korea,10752,244,8854
4/28/20,south korea,10761,246,8922
4/29/20,south korea,10765,247,9059
4/30/20,south korea,10774,248,9072
5/1/20,south korea,10780,250,9123
5/2/20,south korea,10793,250,9183
5/3/20,south korea,10801,252,9217
5/4/20,south korea,10804,254,9283
5/5/20,south korea,10806,255,9333
5/6/20,south korea,10810,256,9419
5/7/20,south korea,10822,256,9484
5/8/20,south korea,10840,256,9568
5/9/20,south korea,10874,256,9610
5/10/20,south korea,10909,256,9632
5/11/20,south korea,10936,258,9670
5/12/20,south korea,10962,259,9695
5/13/20,south korea,10991,260,9762
5/14/20,south korea,11018,260,9821
5/15/20,south korea,11037,262,9851
5/16/20,south korea,11050,262,9888
5/17/20,south korea,11065,263,9904
5/18/20,south korea,11078,263,9938
5/19/20,south korea,11110,263,10066
5/20/20,south korea,11122,264,10135
5/21/20,south korea,11142,264,10162
5/22/20,south korea,11165,266,10194
5/23/20,south korea,11190,266,10213
5/24/20,south korea,11206,267,10226
5/25/20,south korea,11225,269,10275
5/26/20,south korea,11265,269,10295
5/27/20,south korea,11344,269,10340
5/28/20,south korea,11402,269,10363
5/29/20,south korea,11441,269,10398
5/30/20,south korea,11468,270,10405
5/31/20,south korea,11503,271,10422
6/1/20,south korea,11541,272,10446
6/2/20,south korea,11590,273,10467
6/3/20,south korea,11629,273,10499
6/4/20,south korea,11668,273,10506
6/5/20,south korea,11719,273,10531
6/6/20,south korea,11776,273,10552
6/7/20,south korea,11814,273,10563
6/8/20,south korea,11852,274,10589
6/9/20,south korea,11902,276,10611
6/10/20,south korea,11947,276,10654
6/11/20,south korea,12003,277,10669
6/12/20,south korea,12051,277,10691
6/13/20,south korea,12085,277,10718
6/14/20,south korea,12121,277,10730
6/15/20,south korea,12155,278,10760
6/16/20,south korea,12198,279,10774
6/17/20,south korea,12257,280,10800
6/18/20,south korea,12306,280,10835
6/19/20,south korea,12373,280,10856
6/20/20,south korea,12421,280,10868
6/21/20,south korea,12438,280,10881
6/22/20,south korea,12484,281,10908
6/23/20,south korea,12535,281,10930
6/24/20,south korea,12563,282,10974
6/25/20,south korea,12602,282,11172
6/26/20,south korea,12653,282,11317
6/27/20,south korea,12715,282,11364
6/28/20,south korea,12757,282,11429
6/29/20,south korea,12800,282,11537
6/30/20,south korea,12850,282,11613
7/1/20,south korea,12904,282,11684
7/2/20,south korea,12967,282,11759
7/3/20,south korea,13030,283,11811
7/4/20,south korea,13091,283,11832
7/5/20,south korea,13137,284,11848
7/6/20,south korea,13181,285,11914
7/7/20,south korea,13244,285,11970
7/8/20,south korea,13293,287,12019
7/9/20,south korea,13338,288,12065
7/10/20,south korea,13373,288,12144
7/11/20,south korea,13417,289,12178
7/12/20,south korea,13479,289,12204
7/13/20,south korea,13512,289,12282
7/14/20,south korea,13551,289,12348
7/15/20,south korea,13612,291,12396
7/16/20,south korea,13672,293,12460
7/17/20,south korea,13711,294,12519
7/18/20,south korea,13745,295,12556
7/19/20,south korea,13771,296,12572
7/20/20,south korea,13816,296,12643
7/21/20,south korea,13879,297,12698
7/22/20,south korea,13938,297,12758
7/23/20,south korea,13979,298,12817
7/24/20,south korea,14092,298,12866
7/25/20,south korea,14150,298,12890
7/26/20,south korea,14175,299,12905
7/27/20,south korea,14203,300,13007
7/28/20,south korea,14251,300,13069
7/29/20,south korea,14269,300,13132
7/30/20,south korea,14305,301,13183
7/31/20,south korea,14336,301,13233
8/1/20,south korea,14366,301,13259
8/2/20,south korea,14389,301,13280
8/3/20,south korea,14423,301,13352
8/4/20,south korea,14456,302,13406
8/5/20,south korea,14499,302,13501
8/6/20,south korea,14519,303,13543
8/7/20,south korea,14562,304,13629
8/8/20,south korea,14598,305,13642
