date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,spain,0,0,0
1/23/20,spain,0,0,0
1/24/20,spain,0,0,0
1/25/20,spain,0,0,0
1/26/20,spain,0,0,0
1/27/20,spain,0,0,0
1/28/20,spain,0,0,0
1/29/20,spain,0,0,0
1/30/20,spain,0,0,0
1/31/20,spain,0,0,0
2/1/20,spain,1,0,0
2/2/20,spain,1,0,0
2/3/20,spain,1,0,0
2/4/20,spain,1,0,0
2/5/20,spain,1,0,0
2/6/20,spain,1,0,0
2/7/20,spain,1,0,0
2/8/20,spain,1,0,0
2/9/20,spain,2,0,0
2/10/20,spain,2,0,0
2/11/20,spain,2,0,0
2/12/20,spain,2,0,0
2/13/20,spain,2,0,0
2/14/20,spain,2,0,0
2/15/20,spain,2,0,2
2/16/20,spain,2,0,2
2/17/20,spain,2,0,2
2/18/20,spain,2,0,2
2/19/20,spain,2,0,2
2/20/20,spain,2,0,2
2/21/20,spain,2,0,2
2/22/20,spain,2,0,2
2/23/20,spain,2,0,2
2/24/20,spain,2,0,2
2/25/20,spain,6,0,2
2/26/20,spain,13,0,2
2/27/20,spain,15,0,2
2/28/20,spain,32,0,2
2/29/20,spain,45,0,2
3/1/20,spain,84,0,2
3/2/20,spain,120,0,2
3/3/20,spain,165,1,2
3/4/20,spain,222,2,2
3/5/20,spain,259,3,2
3/6/20,spain,400,5,2
3/7/20,spain,500,10,30
3/8/20,spain,673,17,30
3/9/20,spain,1073,28,32
3/10/20,spain,1695,35,32
3/11/20,spain,2277,54,183
3/12/20,spain,2277,55,183
3/13/20,spain,5232,133,193
3/14/20,spain,6391,195,517
3/15/20,spain,7798,289,517
3/16/20,spain,9942,342,530
3/17/20,spain,11748,533,1028
3/18/20,spain,13910,623,1081
3/19/20,spain,17963,830,1107
3/20/20,spain,20410,1043,1588
3/21/20,spain,25374,1375,2125
3/22/20,spain,28768,1772,2575
3/23/20,spain,35136,2311,2575
3/24/20,spain,39885,2808,3794
3/25/20,spain,49515,3647,5367
3/26/20,spain,57786,4365,7015
3/27/20,spain,65719,5138,9357
3/28/20,spain,73235,5982,12285
3/29/20,spain,80110,6803,14709
3/30/20,spain,87956,7716,16780
3/31/20,spain,95923,8464,19259
4/1/20,spain,104118,9387,22647
4/2/20,spain,112065,10348,26743
4/3/20,spain,119199,11198,30513
4/4/20,spain,126168,11947,34219
4/5/20,spain,131646,12641,38080
4/6/20,spain,136675,13341,40437
4/7/20,spain,141942,14045,43208
4/8/20,spain,148220,14792,48021
4/9/20,spain,153222,15447,52165
4/10/20,spain,158273,16081,55668
4/11/20,spain,163027,16606,59109
4/12/20,spain,166831,17209,62391
4/13/20,spain,170099,17756,64727
4/14/20,spain,172541,18056,67504
4/15/20,spain,177644,18708,70853
4/16/20,spain,184948,19315,74797
4/17/20,spain,190839,20002,74797
4/18/20,spain,191726,20043,74797
4/19/20,spain,198674,20453,77357
4/20/20,spain,200210,20852,80587
4/21/20,spain,204178,21282,82514
4/22/20,spain,208389,21717,85915
4/23/20,spain,213024,22157,89250
4/24/20,spain,202990,22524,92355
4/25/20,spain,205905,22902,95708
4/26/20,spain,207634,23190,98372
4/27/20,spain,209465,23521,100875
4/28/20,spain,210773,23822,102548
4/29/20,spain,212917,24275,108947
4/30/20,spain,213435,24543,112050
5/1/20,spain,215216,24543,112050
5/2/20,spain,216582,25100,117248
5/3/20,spain,217466,25264,118902
5/4/20,spain,218011,25428,121343
5/5/20,spain,219329,25613,123486
5/6/20,spain,220325,25857,126002
5/7/20,spain,221447,26070,128511
5/8/20,spain,222857,26299,131148
5/9/20,spain,223578,26478,133952
5/10/20,spain,224350,26621,136166
5/11/20,spain,227436,26744,137139
5/12/20,spain,228030,26920,138980
5/13/20,spain,228691,27104,140823
5/14/20,spain,229540,27321,143374
5/15/20,spain,230183,27459,144783
5/16/20,spain,230698,27563,146446
5/17/20,spain,230698,27563,146446
5/18/20,spain,231606,27709,150376
5/19/20,spain,232037,27778,150376
5/20/20,spain,232555,27888,150376
5/21/20,spain,233037,27940,150376
5/22/20,spain,234824,28628,150376
5/23/20,spain,235290,28678,150376
5/24/20,spain,235772,28752,150376
5/25/20,spain,235400,26834,150376
5/26/20,spain,236259,27117,150376
5/27/20,spain,236259,27117,150376
5/28/20,spain,237906,27119,150376
5/29/20,spain,238564,27121,150376
5/30/20,spain,239228,27125,150376
5/31/20,spain,239479,27127,150376
6/1/20,spain,239638,27127,150376
6/2/20,spain,239932,27127,150376
6/3/20,spain,240326,27128,150376
6/4/20,spain,240660,27133,150376
6/5/20,spain,240978,27134,150376
6/6/20,spain,241310,27135,150376
6/7/20,spain,241550,27136,150376
6/8/20,spain,241717,27136,150376
6/9/20,spain,241966,27136,150376
6/10/20,spain,242280,27136,150376
6/11/20,spain,242707,27136,150376
6/12/20,spain,243209,27136,150376
6/13/20,spain,243605,27136,150376
6/14/20,spain,243928,27136,150376
6/15/20,spain,244109,27136,150376
6/16/20,spain,244328,27136,150376
6/17/20,spain,244683,27136,150376
6/18/20,spain,245268,27136,150376
6/19/20,spain,245575,28315,150376
6/20/20,spain,245938,28322,150376
6/21/20,spain,246272,28323,150376
6/22/20,spain,246504,28324,150376
6/23/20,spain,246752,28325,150376
6/24/20,spain,247086,28327,150376
6/25/20,spain,247486,28330,150376
6/26/20,spain,247905,28338,150376
6/27/20,spain,248469,28341,150376
6/28/20,spain,248770,28343,150376
6/29/20,spain,248970,28346,150376
6/30/20,spain,249271,28355,150376
7/1/20,spain,249659,28364,150376
7/2/20,spain,250103,28368,150376
7/3/20,spain,250545,28385,150376
7/4/20,spain,250545,28385,150376
7/5/20,spain,250545,28385,150376
7/6/20,spain,251789,28388,150376
7/7/20,spain,252130,28392,150376
7/8/20,spain,252513,28396,150376
7/9/20,spain,253056,28401,150376
7/10/20,spain,253908,28403,150376
7/11/20,spain,253908,28403,150376
7/12/20,spain,253908,28403,150376
7/13/20,spain,255953,28406,150376
7/14/20,spain,256619,28409,150376
7/15/20,spain,257494,28413,150376
7/16/20,spain,258855,28416,150376
7/17/20,spain,260255,28420,150376
7/18/20,spain,260255,28420,150376
7/19/20,spain,260255,28420,150376
7/20/20,spain,264836,28422,150376
7/21/20,spain,266194,28424,150376
7/22/20,spain,267551,28426,150376
7/23/20,spain,270166,28429,150376
7/24/20,spain,272421,28432,150376
7/25/20,spain,272421,28432,150376
7/26/20,spain,272421,28432,150376
7/27/20,spain,278782,28434,150376
7/28/20,spain,280610,28436,150376
7/29/20,spain,282641,28441,150376
7/30/20,spain,285430,28443,150376
7/31/20,spain,288522,28445,150376
8/1/20,spain,288522,28445,150376
8/2/20,spain,288522,28445,150376
8/3/20,spain,297054,28472,150376
8/4/20,spain,302814,28498,150376
8/5/20,spain,305767,28499,150376
8/6/20,spain,309855,28500,150376
8/7/20,spain,314362,28503,150376
8/8/20,spain,314362,28503,150376
8/9/20,spain,314362,28503,150376
8/10/20,spain,322980,28576,150376
8/11/20,spain,326612,28581,150376
8/12/20,spain,329784,28579,150376
8/13/20,spain,337334,28605,150376
8/14/20,spain,342813,28617,150376
8/15/20,spain,342813,28617,150376
8/16/20,spain,342813,28617,150376
8/17/20,spain,359082,28646,150376
8/18/20,spain,364196,28670,150376
8/19/20,spain,370867,28797,150376
8/20/20,spain,377906,28813,150376
8/21/20,spain,386054,28838,150376
8/22/20,spain,386054,28838,150376
8/23/20,spain,386054,28838,150376
8/24/20,spain,405436,28872,150376
8/25/20,spain,412553,28924,150376
8/26/20,spain,419849,28971,150376
8/27/20,spain,429507,28996,150376
8/28/20,spain,439286,29011,150376
8/29/20,spain,439286,29011,150376
8/30/20,spain,439286,29011,150376
8/31/20,spain,462858,29094,150376
9/1/20,spain,470973,29152,150376
9/2/20,spain,479554,29194,150376
9/3/20,spain,488513,29234,150376
9/4/20,spain,498989,29418,150376
9/5/20,spain,498989,29418,150376
9/6/20,spain,498989,29418,150376
9/7/20,spain,525549,29516,150376
9/8/20,spain,534513,29594,150376
9/9/20,spain,543379,29628,150376
9/10/20,spain,554143,29699,150376
9/11/20,spain,566326,29747,150376
9/12/20,spain,566326,29747,150376
9/13/20,spain,566326,29747,150376
9/14/20,spain,593730,29848,150376
