date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,uk,0,0,0
1/23/20,uk,0,0,0
1/24/20,uk,0,0,0
1/25/20,uk,0,0,0
1/26/20,uk,0,0,0
1/27/20,uk,0,0,0
1/28/20,uk,0,0,0
1/29/20,uk,0,0,0
1/30/20,uk,0,1,0
1/31/20,uk,2,1,0
2/1/20,uk,2,1,0
2/2/20,uk,2,2,0
2/3/20,uk,8,2,0
2/4/20,uk,8,2,0
2/5/20,uk,9,2,0
2/6/20,uk,9,2,0
2/7/20,uk,9,2,0
2/8/20,uk,13,2,0
2/9/20,uk,14,2,0
2/10/20,uk,14,2,0
2/11/20,uk,15,2,0
2/12/20,uk,16,2,1
2/13/20,uk,17,2,1
2/14/20,uk,18,2,1
2/15/20,uk,18,2,1
2/16/20,uk,18,2,8
2/17/20,uk,19,2,8
2/18/20,uk,19,2,8
2/19/20,uk,20,2,8
2/20/20,uk,22,2,8
2/21/20,uk,23,2,8
2/22/20,uk,23,3,8
2/23/20,uk,28,3,8
2/24/20,uk,30,3,8
2/25/20,uk,34,3,8
2/26/20,uk,37,3,8
2/27/20,uk,44,3,8
2/28/20,uk,56,3,8
2/29/20,uk,61,3,8
3/1/20,uk,94,3,8
3/2/20,uk,134,4,8
3/3/20,uk,189,4,8
3/4/20,uk,246,5,8
3/5/20,uk,295,7,8
3/6/20,uk,374,9,8
3/7/20,uk,429,9,18
3/8/20,uk,483,11,18
3/9/20,uk,630,16,18
3/10/20,uk,888,19,19
3/11/20,uk,1299,26,19
3/12/20,uk,1788,39,19
3/13/20,uk,2268,55,19
3/14/20,uk,2632,76,19
3/15/20,uk,3074,107,19
3/16/20,uk,3686,159,21
3/17/20,uk,4456,217,53
3/18/20,uk,5462,291,68
3/19/20,uk,6523,370,68
3/20/20,uk,7778,488,68
3/21/20,uk,8975,632,68
3/22/20,uk,10398,814,67
3/23/20,uk,12747,1022,67
3/24/20,uk,15139,1285,140
3/25/20,uk,17847,1622,140
3/26/20,uk,20958,2035,150
3/27/20,uk,24203,2499,151
3/28/20,uk,27055,3015,151
3/29/20,uk,29949,3601,151
3/30/20,uk,34251,4314,171
3/31/20,uk,38788,5145,179
4/1/20,uk,43755,6070,179
4/2/20,uk,48694,7077,192
4/3/20,uk,53645,8139,208
4/4/20,uk,57739,9287,215
4/5/20,uk,61359,10510,229
4/6/20,uk,66715,11682,287
4/7/20,uk,72199,12977,325
4/8/20,uk,77369,14439,345
4/9/20,uk,82281,15817,359
4/10/20,uk,86620,17137,588
4/11/20,uk,90248,18504,622
4/12/20,uk,93784,19882,626
4/13/20,uk,97993,21116,304
4/14/20,uk,102352,22371,323
4/15/20,uk,107454,23649,368
4/16/20,uk,112792,24975,375
4/17/20,uk,117777,26248,394
4/18/20,uk,122508,27442,414
4/19/20,uk,126375,28566,436
4/20/20,uk,131252,29730,446
4/21/20,uk,136023,30815,638
4/22/20,uk,141529,31926,683
4/23/20,uk,146682,32965,712
4/24/20,uk,151662,33978,724
4/25/20,uk,155445,34899,774
4/26/20,uk,158920,35793,778
4/27/20,uk,163627,36662,807
4/28/20,uk,168351,37464,813
4/29/20,uk,173796,38281,857
4/30/20,uk,178765,39062,859
5/1/20,uk,183500,39849,892
5/2/20,uk,186726,40557,896
5/3/20,uk,189702,41220,901
5/4/20,uk,193086,41898,910
5/5/20,uk,196775,42540,926
5/6/20,uk,200612,43167,934
5/7/20,uk,204383,43798,970
5/8/20,uk,207435,44368,997
5/9/20,uk,209585,44907,1001
5/10/20,uk,211907,45401,1002
5/11/20,uk,215495,45830,1015
5/12/20,uk,218892,46272,1023
5/13/20,uk,222191,46726,1032
5/14/20,uk,224809,47193,1043
5/15/20,uk,227330,47615,1047
5/16/20,uk,229397,48034,1058
5/17/20,uk,231223,48411,1058
5/18/20,uk,233799,48818,1090
5/19/20,uk,236862,49190,1099
5/20/20,uk,239572,49543,1116
5/21/20,uk,242126,49886,1134
5/22/20,uk,244170,50187,1142
5/23/20,uk,245678,50471,1149
5/24/20,uk,247033,50752,1151
5/25/20,uk,248645,51031,1161
5/26/20,uk,250304,51331,1161
5/27/20,uk,252113,51613,1166
5/28/20,uk,253849,51901,1167
5/29/20,uk,255358,52155,1172
5/30/20,uk,256465,52374,1187
5/31/20,uk,257535,52569,1190
