date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,usa,1,0,0
1/23/20,usa,1,0,0
1/24/20,usa,2,0,0
1/25/20,usa,2,0,0
1/26/20,usa,5,0,0
1/27/20,usa,5,0,0
1/28/20,usa,5,0,0
1/29/20,usa,6,0,0
1/30/20,usa,6,0,0
1/31/20,usa,8,0,0
2/1/20,usa,8,0,0
2/2/20,usa,8,0,0
2/3/20,usa,11,0,0
2/4/20,usa,11,0,0
2/5/20,usa,11,0,0
2/6/20,usa,12,0,0
2/7/20,usa,12,0,0
2/8/20,usa,12,0,0
2/9/20,usa,12,0,3
2/10/20,usa,12,0,3
2/11/20,usa,13,0,3
2/12/20,usa,13,0,3
2/13/20,usa,14,0,3
2/14/20,usa,14,0,3
2/15/20,usa,14,0,3
2/16/20,usa,14,0,3
2/17/20,usa,14,0,3
2/18/20,usa,14,0,3
2/19/20,usa,14,0,3
2/20/20,usa,14,0,3
2/21/20,usa,16,0,5
2/22/20,usa,16,0,5
2/23/20,usa,16,0,5
2/24/20,usa,16,0,5
2/25/20,usa,16,0,6
2/26/20,usa,16,0,6
2/27/20,usa,17,0,6
2/28/20,usa,17,0,7
2/29/20,usa,25,1,7
3/1/20,usa,32,1,7
3/2/20,usa,55,6,7
3/3/20,usa,74,7,7
3/4/20,usa,107,11,7
3/5/20,usa,184,12,7
3/6/20,usa,237,14,7
3/7/20,usa,403,17,7
3/8/20,usa,519,21,7
3/9/20,usa,594,22,7
3/10/20,usa,782,28,8
3/11/20,usa,1147,33,8
3/12/20,usa,1586,43,12
3/13/20,usa,2219,51,12
3/14/20,usa,2978,58,12
3/15/20,usa,3212,70,12
3/16/20,usa,4679,97,17
3/17/20,usa,6512,134,17
3/18/20,usa,9169,194,105
3/19/20,usa,13663,266,121
3/20/20,usa,20030,372,147
3/21/20,usa,26025,475,176
3/22/20,usa,34944,603,178
3/23/20,usa,46096,790,178
3/24/20,usa,56714,1033,348
3/25/20,usa,68841,1366,361
3/26/20,usa,86662,1783,681
3/27/20,usa,105253,2305,869
3/28/20,usa,127417,3018,1072
3/29/20,usa,143544,3573,2665
3/30/20,usa,165698,4280,5644
3/31/20,usa,192079,5359,7024
4/1/20,usa,227903,6996,8474
4/2/20,usa,260183,8556,9001
4/3/20,usa,292630,9985,9707
4/4/20,usa,324340,11605,14652
4/5/20,usa,353117,13227,17448
4/6/20,usa,385110,14989,19581
4/7/20,usa,415256,17595,21763
4/8/20,usa,446500,19747,23559
4/9/20,usa,482526,22003,25410
