date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,5,0,0,71,5,False
2025-02-16,5,0,0,73,5,False
2025-02-23,6,0,1,75,5,False
2025-03-02,7,0,1,76,6,False
2025-03-09,6,0,1,67,6,False
2025-03-16,6,0,1,68,5,False
2025-03-23,5,0,0,59,4,False
2025-03-30,5,0,0,58,4,False
2025-04-06,5,0,0,77,4,False
2025-04-13,6,0,0,76,4,False
2025-04-20,6,0,0,82,5,False
2025-04-27,6,0,0,81,5,False
2025-05-04,6,0,1,79,5,False
2025-05-11,7,0,0,77,5,False
2025-05-18,7,0,0,72,5,False
2025-05-25,6,0,1,69,6,False
2025-06-01,6,0,0,59,4,False
2025-06-08,6,0,0,71,5,False
2025-06-15,7,0,0,81,5,False
2025-06-22,9,0,0,85,5,False
2025-06-29,9,0,1,86,5,False
2025-07-06,10,0,1,81,5,False
2025-07-13,11,0,0,92,5,False
2025-07-20,11,0,0,93,6,False
2025-07-27,10,0,0,86,6,False
2025-08-03,10,0,0,100,6,False
2025-08-10,9,0,0,97,6,False
2025-08-17,8,0,0,96,5,False
2025-08-24,8,0,1,95,5,False
2025-08-31,7,0,0,89,5,False
2025-09-07,6,0,0,85,5,False
2025-09-14,5,0,0,79,5,False
2025-09-21,6,0,0,78,4,False
2025-09-28,5,0,0,77,4,False
2025-10-05,5,0,0,86,5,False
2025-10-12,6,0,0,88,5,False
2025-10-19,6,0,0,84,4,False
2025-10-26,6,0,1,83,5,False
2025-11-02,7,0,1,93,6,False
2025-11-09,7,1,0,87,6,False
2025-11-16,7,1,1,81,6,False
2025-11-23,7,1,1,84,6,False
2025-11-30,6,1,1,90,6,False
2025-12-07,5,1,1,82,6,False
2025-12-14,6,0,1,80,5,False
2025-12-21,5,0,1,69,4,False
2025-12-28,4,0,1,62,5,False
2026-01-04,6,0,1,64,4,False
2026-01-11,8,1,0,70,5,False
2026-01-18,8,1,1,82,6,False
2026-01-25,9,12,0,79,6,False
2026-02-01,9,1,0,78,5,False
2026-02-08,8,1,1,68,6,True
