date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,1,0,0,6,3,False
2025-02-16,2,0,0,6,2,False
2025-02-23,2,0,0,6,3,False
2025-03-02,2,0,0,7,2,False
2025-03-09,2,1,0,6,2,False
2025-03-16,2,0,0,7,2,False
2025-03-23,2,0,0,6,3,False
2025-03-30,2,0,0,5,2,False
2025-04-06,2,1,0,5,2,False
2025-04-13,2,0,0,5,3,False
2025-04-20,2,0,0,7,3,False
2025-04-27,3,0,0,6,2,False
2025-05-04,2,0,0,6,2,False
2025-05-11,1,0,0,8,2,False
2025-05-18,3,0,0,7,3,False
2025-05-25,2,0,0,7,2,False
2025-06-01,3,0,0,7,2,False
2025-06-08,3,0,0,7,2,False
2025-06-15,3,0,0,7,2,False
2025-06-22,2,0,0,7,2,False
2025-06-29,2,0,0,6,2,False
2025-07-06,2,0,0,6,1,False
2025-07-13,2,0,0,7,2,False
2025-07-20,3,0,0,7,3,False
2025-07-27,1,0,0,7,2,False
2025-08-03,2,0,0,6,2,False
2025-08-10,2,0,0,6,2,False
2025-08-17,2,0,0,6,2,False
2025-08-24,2,0,0,8,2,False
2025-08-31,2,0,0,7,2,False
2025-09-07,2,0,0,7,2,False
2025-09-14,2,0,0,6,2,False
2025-09-21,5,1,1,17,6,False
2025-09-28,9,0,0,31,14,False
2025-10-05,11,0,0,39,15,False
2025-10-12,9,0,0,37,11,False
2025-10-19,9,0,0,30,14,False
2025-10-26,13,1,1,49,19,False
2025-11-02,18,1,1,88,24,False
2025-11-09,22,1,2,92,27,False
2025-11-16,25,1,3,94,27,False
2025-11-23,34,0,2,100,34,False
2025-11-30,30,1,2,89,28,False
2025-12-07,20,1,2,63,19,False
2025-12-14,12,1,2,55,13,False
2025-12-21,7,1,1,42,9,False
2025-12-28,3,1,0,23,5,False
2026-01-04,2,1,1,26,5,False
2026-01-11,3,2,1,30,4,False
2026-01-18,2,1,1,20,3,False
2026-01-25,2,2,0,22,3,False
2026-02-01,2,2,1,26,4,False
2026-02-08,3,1,1,22,4,False
2026-02-15,4,3,0,21,4,True
