date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,0,0,0,18,81,False
2025-02-16,0,0,0,0,69,False
2025-02-23,0,0,0,17,77,False
2025-03-02,0,0,0,21,79,False
2025-03-09,0,0,0,24,85,False
2025-03-16,0,0,0,23,90,False
2025-03-23,0,0,0,23,81,False
2025-03-30,0,0,0,20,91,False
2025-04-06,0,0,0,21,77,False
2025-04-13,0,0,0,28,62,False
2025-04-20,0,0,0,32,90,False
2025-04-27,0,0,0,22,84,False
2025-05-04,0,0,0,23,75,False
2025-05-11,0,0,0,29,88,False
2025-05-18,0,0,0,17,95,False
2025-05-25,0,0,0,30,96,False
2025-06-01,0,0,0,26,96,False
2025-06-08,0,0,0,29,73,False
2025-06-15,0,0,0,27,85,False
2025-06-22,0,0,0,30,91,False
2025-06-29,0,0,0,28,75,False
2025-07-06,0,0,0,34,88,False
2025-07-13,0,0,0,17,100,False
2025-07-20,0,0,0,21,64,False
2025-07-27,0,0,0,35,90,False
2025-08-03,13,0,0,29,79,False
2025-08-10,0,0,0,24,71,False
2025-08-17,0,0,0,18,71,False
2025-08-24,0,0,0,44,64,False
2025-08-31,0,0,0,24,87,False
2025-09-07,0,0,0,25,70,False
2025-09-14,0,0,0,20,60,False
2025-09-21,0,0,0,24,77,False
2025-09-28,0,0,0,13,59,False
2025-10-05,0,0,0,24,56,False
2025-10-12,0,0,0,15,79,False
2025-10-19,0,0,0,22,54,False
2025-10-26,0,0,0,23,77,False
2025-11-02,0,0,0,25,66,False
2025-11-09,0,0,0,30,71,False
2025-11-16,0,0,0,37,70,False
2025-11-23,0,0,0,31,79,False
2025-11-30,0,0,0,35,63,False
2025-12-07,0,0,0,27,68,False
2025-12-14,0,0,0,30,51,False
2025-12-21,0,0,0,17,53,False
2025-12-28,0,0,0,20,58,False
2026-01-04,0,0,0,16,54,False
2026-01-11,0,0,0,20,59,False
2026-01-18,0,0,0,31,59,False
2026-01-25,0,0,0,30,78,False
2026-02-01,6,1,0,21,65,False
2026-02-08,6,1,0,21,63,True
