date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,11,0,0,65,28,False
2025-02-16,8,0,0,61,27,False
2025-02-23,10,0,0,68,30,False
2025-03-02,14,0,0,61,27,False
2025-03-09,14,0,0,59,29,False
2025-03-16,13,3,0,63,27,False
2025-03-23,13,0,0,60,23,False
2025-03-30,14,0,0,63,26,False
2025-04-06,14,3,0,62,32,False
2025-04-13,10,0,0,59,26,False
2025-04-20,14,0,0,61,21,False
2025-04-27,15,0,0,58,28,False
2025-05-04,12,0,0,60,22,False
2025-05-11,11,0,0,65,27,False
2025-05-18,12,0,0,66,24,False
2025-05-25,12,0,0,63,29,False
2025-06-01,16,0,0,63,24,False
2025-06-08,17,0,0,67,29,False
2025-06-15,12,0,0,60,24,False
2025-06-22,12,0,0,70,26,False
2025-06-29,15,0,0,64,26,False
2025-07-06,12,0,0,63,23,False
2025-07-13,11,0,0,57,23,False
2025-07-20,15,0,0,63,26,False
2025-07-27,13,0,0,66,28,False
2025-08-03,10,0,0,53,22,False
2025-08-10,11,3,0,65,26,False
2025-08-17,9,0,0,53,22,False
2025-08-24,9,0,0,62,22,False
2025-08-31,11,0,0,55,22,False
2025-09-07,8,0,0,50,22,False
2025-09-14,10,0,0,58,18,False
2025-09-21,9,3,0,55,18,False
2025-09-28,9,0,0,53,24,False
2025-10-05,10,0,0,60,23,False
2025-10-12,11,0,0,58,26,False
2025-10-19,11,0,0,51,23,False
2025-10-26,10,0,0,61,23,False
2025-11-02,12,0,0,60,21,False
2025-11-09,100,8,0,61,26,False
2025-11-16,28,15,0,67,24,False
2025-11-23,12,4,3,59,25,False
2025-11-30,12,2,0,53,22,False
2025-12-07,11,3,0,59,22,False
2025-12-14,11,3,0,57,22,False
2025-12-21,15,0,0,65,25,False
2025-12-28,12,0,0,57,22,False
2026-01-04,10,0,0,48,19,False
2026-01-11,13,0,0,65,22,False
2026-01-18,12,0,0,58,22,False
2026-01-25,9,8,0,64,24,False
2026-02-01,12,2,1,63,22,False
2026-02-08,11,1,1,57,21,False
2026-02-15,0,0,0,25,0,True
