date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,10,1,0,90,10,False
2025-02-16,10,1,0,85,10,False
2025-02-23,9,0,0,86,9,False
2025-03-02,9,0,0,86,10,False
2025-03-09,9,0,0,87,11,False
2025-03-16,9,0,0,100,10,False
2025-03-23,8,0,0,82,9,False
2025-03-30,7,0,0,81,8,False
2025-04-06,8,0,0,84,8,False
2025-04-13,7,0,0,87,9,False
2025-04-20,7,0,0,83,9,False
2025-04-27,8,0,0,84,8,False
2025-05-04,7,0,0,79,8,False
2025-05-11,8,0,0,89,9,False
2025-05-18,8,0,0,87,9,False
2025-05-25,9,0,0,86,8,False
2025-06-01,9,0,0,87,9,False
2025-06-08,10,0,0,95,9,False
2025-06-15,9,0,0,91,9,False
2025-06-22,9,0,0,89,9,False
2025-06-29,9,0,0,89,9,False
2025-07-06,10,0,0,91,9,False
2025-07-13,11,0,0,95,10,False
2025-07-20,12,0,0,91,10,False
2025-07-27,11,0,0,93,10,False
2025-08-03,12,0,0,93,10,False
2025-08-10,13,0,0,96,10,False
2025-08-17,15,0,0,100,10,False
2025-08-24,14,0,0,91,10,False
2025-08-31,13,0,0,96,10,False
2025-09-07,12,0,0,93,9,False
2025-09-14,11,0,0,91,10,False
2025-09-21,11,0,0,88,9,False
2025-09-28,9,0,0,85,9,False
2025-10-05,10,0,0,86,9,False
2025-10-12,10,0,0,85,9,False
2025-10-19,9,0,0,88,9,False
2025-10-26,9,0,0,92,9,False
2025-11-02,9,0,0,96,10,False
2025-11-09,9,0,0,100,10,False
2025-11-16,9,0,0,95,9,False
2025-11-23,9,0,0,94,10,False
2025-11-30,8,0,0,92,9,False
2025-12-07,8,0,0,97,10,False
2025-12-14,9,0,0,94,9,False
2025-12-21,8,0,0,94,9,False
2025-12-28,8,0,0,93,9,False
2026-01-04,10,0,0,95,9,False
2026-01-11,10,0,0,88,8,False
2026-01-18,10,2,0,95,9,False
2026-01-25,10,4,0,91,9,False
2026-02-01,9,1,0,94,9,False
2026-02-08,10,0,0,96,10,True
