date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,26,2,1,79,12,False
2025-02-16,27,2,2,81,12,False
2025-02-23,27,2,1,75,12,False
2025-03-02,28,1,2,70,14,False
2025-03-09,26,2,3,72,12,False
2025-03-16,25,2,2,66,12,False
2025-03-23,25,1,2,64,10,False
2025-03-30,23,1,1,58,9,False
2025-04-06,27,1,2,73,11,False
2025-04-13,25,1,2,98,11,False
2025-04-20,28,2,2,96,13,False
2025-04-27,26,1,1,88,10,False
2025-05-04,26,1,2,77,12,False
2025-05-11,28,1,1,88,11,False
2025-05-18,27,1,2,90,13,False
2025-05-25,25,3,2,81,10,False
2025-06-01,26,3,1,75,11,False
2025-06-08,28,3,2,82,13,False
2025-06-15,28,3,2,75,14,False
2025-06-22,28,2,2,84,12,False
2025-06-29,27,2,1,75,13,False
2025-07-06,27,1,2,74,11,False
2025-07-13,27,1,1,72,11,False
2025-07-20,26,1,2,75,11,False
2025-07-27,25,1,1,68,11,False
2025-08-03,26,2,1,77,11,False
2025-08-10,28,3,2,79,12,False
2025-08-17,29,2,2,74,12,False
2025-08-24,28,2,1,70,13,False
2025-08-31,28,1,1,67,11,False
2025-09-07,27,1,2,75,11,False
2025-09-14,28,1,2,72,11,False
2025-09-21,31,1,2,73,11,False
2025-09-28,32,1,2,67,12,False
2025-10-05,34,1,1,74,12,False
2025-10-12,31,1,1,70,13,False
2025-10-19,34,1,2,67,11,False
2025-10-26,30,2,2,73,14,False
2025-11-02,31,4,2,81,15,False
2025-11-09,32,3,2,84,16,False
2025-11-16,32,4,1,93,16,False
2025-11-23,33,3,2,99,16,False
2025-11-30,32,3,2,94,16,False
2025-12-07,35,4,2,91,16,False
2025-12-14,32,2,2,87,16,False
2025-12-21,27,2,2,76,13,False
2025-12-28,25,2,2,76,13,False
2026-01-04,60,2,2,92,14,False
2026-01-11,50,2,2,85,12,False
2026-01-18,45,3,2,84,15,False
2026-01-25,47,11,2,100,17,False
2026-02-01,46,3,2,90,14,False
2026-02-08,46,3,3,96,18,True
