date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,12,1,0,79,27,False
2025-02-16,13,1,1,85,29,False
2025-02-23,13,2,0,79,25,False
2025-03-02,12,2,1,78,29,False
2025-03-09,13,1,0,83,27,False
2025-03-16,14,2,1,81,27,False
2025-03-23,14,1,0,91,27,False
2025-03-30,13,2,1,79,26,False
2025-04-06,11,2,0,77,24,False
2025-04-13,10,1,0,76,24,False
2025-04-20,10,1,0,79,24,False
2025-04-27,12,1,0,81,27,False
2025-05-04,11,1,1,82,25,False
2025-05-11,13,1,0,100,26,False
2025-05-18,15,1,1,84,27,False
2025-05-25,15,2,0,89,27,False
2025-06-01,16,2,1,84,31,False
2025-06-08,15,2,1,84,25,False
2025-06-15,14,1,1,79,26,False
2025-06-22,13,1,1,73,23,False
2025-06-29,12,1,0,80,24,False
2025-07-06,13,2,1,84,24,False
2025-07-13,12,2,1,89,27,False
2025-07-20,12,1,0,89,26,False
2025-07-27,12,1,0,82,24,False
2025-08-03,11,1,1,84,22,False
2025-08-10,10,1,0,91,23,False
2025-08-17,9,1,0,73,20,False
2025-08-24,10,1,1,80,22,False
2025-08-31,11,1,1,81,24,False
2025-09-07,10,1,0,80,23,False
2025-09-14,11,1,1,75,23,False
2025-09-21,10,1,0,79,24,False
2025-09-28,11,1,0,78,24,False
2025-10-05,10,2,0,81,26,False
2025-10-12,12,1,0,89,22,False
2025-10-19,11,1,1,69,24,False
2025-10-26,11,1,0,78,24,False
2025-11-02,10,1,0,79,23,False
2025-11-09,12,1,0,86,24,False
2025-11-16,12,1,1,83,26,False
2025-11-23,9,1,0,79,25,False
2025-11-30,10,1,1,79,24,False
2025-12-07,10,1,1,74,23,False
2025-12-14,9,1,1,77,22,False
2025-12-21,8,1,0,62,21,False
2025-12-28,9,0,0,66,20,False
2026-01-04,9,1,0,75,20,False
2026-01-11,9,1,0,78,22,False
2026-01-18,11,1,1,92,25,False
2026-01-25,11,11,0,89,25,False
2026-02-01,11,2,0,82,24,False
2026-02-08,11,1,1,79,24,True
