date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,13,2,1,71,53,False
2025-02-16,14,2,1,71,55,False
2025-02-23,13,2,1,70,58,False
2025-03-02,14,1,1,70,60,False
2025-03-09,14,4,2,70,67,False
2025-03-16,15,4,1,75,62,False
2025-03-23,14,3,1,68,59,False
2025-03-30,13,2,1,67,57,False
2025-04-06,13,2,1,70,58,False
2025-04-13,12,1,1,63,55,False
2025-04-20,13,1,1,65,54,False
2025-04-27,13,2,1,73,62,False
2025-05-04,13,2,1,80,55,False
2025-05-11,14,2,1,69,57,False
2025-05-18,17,2,2,74,58,False
2025-05-25,16,2,1,69,59,False
2025-06-01,16,2,1,73,60,False
2025-06-08,16,2,1,71,61,False
2025-06-15,20,3,1,77,61,False
2025-06-22,18,2,1,77,67,False
2025-06-29,18,2,1,72,59,False
2025-07-06,18,2,1,75,63,False
2025-07-13,18,1,1,69,62,False
2025-07-20,17,1,1,72,59,False
2025-07-27,18,1,1,70,61,False
2025-08-03,17,2,1,72,60,False
2025-08-10,18,2,1,69,61,False
2025-08-17,16,1,1,66,67,False
2025-08-24,17,1,1,71,63,False
2025-08-31,14,2,1,69,62,False
2025-09-07,15,2,1,70,64,False
2025-09-14,15,7,1,68,57,False
2025-09-21,15,3,1,66,57,False
2025-09-28,14,1,1,64,56,False
2025-10-05,14,2,2,68,59,False
2025-10-12,14,1,1,68,59,False
2025-10-19,13,1,1,68,56,False
2025-10-26,13,1,1,71,58,False
2025-11-02,12,2,1,76,57,False
2025-11-09,13,2,1,80,59,False
2025-11-16,15,1,2,72,59,False
2025-11-23,13,2,1,100,58,False
2025-11-30,13,2,1,70,54,False
2025-12-07,13,2,1,71,58,False
2025-12-14,12,2,1,74,55,False
2025-12-21,12,2,1,61,46,False
2025-12-28,10,2,1,66,49,False
2026-01-04,14,1,0,70,48,False
2026-01-11,14,2,1,73,54,False
2026-01-18,14,2,1,73,51,False
2026-01-25,14,11,1,74,51,False
2026-02-01,18,3,1,78,56,False
2026-02-08,23,2,1,75,52,True
