date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,11,0,0,88,13,False
2025-02-16,11,0,0,86,12,False
2025-02-23,9,0,0,84,11,False
2025-03-02,10,0,0,82,13,False
2025-03-09,9,0,0,81,13,False
2025-03-16,9,0,0,77,12,False
2025-03-23,9,0,0,73,13,False
2025-03-30,7,0,0,73,11,False
2025-04-06,9,0,1,96,12,False
2025-04-13,8,0,0,94,11,False
2025-04-20,9,0,0,95,12,False
2025-04-27,9,0,0,92,12,False
2025-05-04,9,0,0,83,11,False
2025-05-11,10,0,1,90,13,False
2025-05-18,10,0,0,86,12,False
2025-05-25,9,0,0,88,12,False
2025-06-01,10,0,0,77,12,False
2025-06-08,8,2,0,85,11,False
2025-06-15,7,0,0,94,10,False
2025-06-22,7,0,0,89,10,False
2025-06-29,6,0,0,93,11,False
2025-07-06,8,0,1,98,11,False
2025-07-13,8,0,0,97,11,False
2025-07-20,8,0,0,90,11,False
2025-07-27,8,0,0,95,12,False
2025-08-03,8,0,0,97,13,False
2025-08-10,8,0,0,91,12,False
2025-08-17,8,0,0,92,12,False
2025-08-24,9,0,0,99,13,False
2025-08-31,9,0,0,93,13,False
2025-09-07,10,0,0,93,13,False
2025-09-14,10,0,0,98,15,False
2025-09-21,11,0,0,94,13,False
2025-09-28,10,0,0,100,12,False
2025-10-05,11,0,1,95,13,False
2025-10-12,11,0,0,97,13,False
2025-10-19,12,0,0,94,13,False
2025-10-26,13,0,0,96,14,False
2025-11-02,13,0,1,93,13,False
2025-11-09,15,1,1,99,14,False
2025-11-16,14,1,1,95,13,False
2025-11-23,13,0,0,96,14,False
2025-11-30,12,0,0,95,14,False
2025-12-07,12,1,1,100,14,False
2025-12-14,10,0,1,90,13,False
2025-12-21,10,0,1,95,12,False
2025-12-28,8,0,0,96,11,False
2026-01-04,11,0,0,90,10,False
2026-01-11,10,0,0,92,11,False
2026-01-18,9,1,0,93,10,False
2026-01-25,9,7,0,93,11,False
2026-02-01,11,1,0,92,11,False
2026-02-08,10,0,0,94,11,True
