date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,36,2,1,85,28,False
2025-02-16,36,4,1,86,31,False
2025-02-23,36,2,1,79,33,False
2025-03-02,35,2,1,81,26,False
2025-03-09,32,2,2,82,27,False
2025-03-16,30,1,1,81,28,False
2025-03-23,34,2,1,81,27,False
2025-03-30,33,1,1,81,27,False
2025-04-06,30,1,1,79,26,False
2025-04-13,28,1,1,73,25,False
2025-04-20,29,1,1,86,26,False
2025-04-27,30,1,1,85,25,False
2025-05-04,30,1,1,80,25,False
2025-05-11,28,1,1,77,23,False
2025-05-18,36,1,1,91,26,False
2025-05-25,34,2,1,88,26,False
2025-06-01,33,2,1,88,24,False
2025-06-08,34,2,1,80,23,False
2025-06-15,37,1,1,84,25,False
2025-06-22,44,1,1,83,24,False
2025-06-29,40,1,1,80,25,False
2025-07-06,40,1,1,85,25,False
2025-07-13,37,1,1,85,24,False
2025-07-20,37,1,1,76,24,False
2025-07-27,40,1,1,88,26,False
2025-08-03,37,2,1,90,26,False
2025-08-10,46,2,1,86,24,False
2025-08-17,42,2,1,85,25,False
2025-08-24,45,1,1,86,26,False
2025-08-31,39,2,1,94,25,False
2025-09-07,40,1,1,100,27,False
2025-09-14,47,1,1,89,26,False
2025-09-21,46,2,1,86,26,False
2025-09-28,49,1,1,89,26,False
2025-10-05,49,2,1,88,28,False
2025-10-12,47,5,2,84,26,False
2025-10-19,43,2,1,84,27,False
2025-10-26,43,2,1,85,26,False
2025-11-02,41,2,1,87,27,False
2025-11-09,38,2,1,86,25,False
2025-11-16,37,2,1,86,25,False
2025-11-23,36,2,1,86,25,False
2025-11-30,35,1,1,88,25,False
2025-12-07,36,2,1,77,24,False
2025-12-14,32,1,1,79,24,False
2025-12-21,33,1,1,65,22,False
2025-12-28,38,1,1,70,21,False
2026-01-04,36,1,1,93,25,False
2026-01-11,35,1,1,93,23,False
2026-01-18,37,3,1,97,24,False
2026-01-25,37,16,1,98,25,False
2026-02-01,38,3,1,88,24,False
2026-02-08,33,2,1,92,24,True
