date,fever,outbreak,epidemic,hospital,infection,isPartial
2025-02-09,24,4,1,76,29,False
2025-02-16,22,5,1,80,32,False
2025-02-23,21,9,1,84,30,False
2025-03-02,19,7,1,78,29,False
2025-03-09,19,6,1,79,29,False
2025-03-16,18,4,1,80,29,False
2025-03-23,18,3,1,78,29,False
2025-03-30,18,3,1,79,27,False
2025-04-06,17,4,1,76,28,False
2025-04-13,18,4,1,76,28,False
2025-04-20,17,3,1,77,27,False
2025-04-27,19,3,1,77,28,False
2025-05-04,22,2,1,82,28,False
2025-05-11,24,3,1,78,27,False
2025-05-18,39,3,1,78,27,False
2025-05-25,26,2,1,76,28,False
2025-06-01,22,3,1,78,27,False
2025-06-08,29,3,1,81,27,False
2025-06-15,35,2,1,83,27,False
2025-06-22,36,2,1,86,29,False
2025-06-29,31,2,1,76,27,False
2025-07-06,30,2,1,100,29,False
2025-07-13,33,2,1,97,31,False
2025-07-20,25,2,1,100,31,False
2025-07-27,29,2,1,98,31,False
2025-08-03,29,4,1,91,27,False
2025-08-10,27,2,1,87,27,False
2025-08-17,24,2,1,82,26,False
2025-08-24,26,2,1,86,27,False
2025-08-31,23,2,1,83,26,False
2025-09-07,19,2,1,82,26,False
2025-09-14,26,2,1,83,27,False
2025-09-21,29,2,1,79,26,False
2025-09-28,28,3,1,84,27,False
2025-10-05,16,2,1,84,27,False
2025-10-12,14,2,1,82,28,False
2025-10-19,15,2,1,87,28,False
2025-10-26,15,2,1,84,28,False
2025-11-02,16,3,1,85,29,False
2025-11-09,17,2,1,90,28,False
2025-11-16,19,3,1,87,30,False
2025-11-23,17,2,1,76,27,False
2025-11-30,17,2,1,91,30,False
2025-12-07,19,3,1,88,28,False
2025-12-14,24,3,1,88,29,False
2025-12-21,29,2,1,74,31,False
2025-12-28,26,2,1,82,32,False
2026-01-04,22,2,1,98,32,False
2026-01-11,21,3,1,93,29,False
2026-01-18,22,3,1,95,28,False
2026-01-25,21,6,1,93,29,False
2026-02-01,22,5,1,91,30,False
2026-02-08,22,4,1,85,27,False
2026-02-15,24,4,1,55,25,True
