date,bird flu,mpox,cholera,dengue,measles,isPartial
2025-11-14,9,5,26,83,47,False
2025-11-15,12,3,26,79,35,False
2025-11-16,14,4,27,74,33,False
2025-11-17,11,5,26,84,41,False
2025-11-18,11,4,24,87,45,False
2025-11-19,13,6,23,95,56,False
2025-11-20,9,7,24,87,48,False
2025-11-21,11,6,22,96,44,False
2025-11-22,19,4,21,86,39,False
2025-11-23,20,4,20,90,39,False
2025-11-24,16,5,17,83,40,False
2025-11-25,10,5,20,84,43,False
2025-11-26,9,5,17,100,42,False
2025-11-27,9,5,20,92,34,False
2025-11-28,8,5,16,89,32,False
2025-11-29,10,8,17,78,40,False
2025-11-30,9,4,17,79,40,False
2025-12-01,9,5,17,82,42,False
2025-12-02,7,6,18,84,46,False
2025-12-03,8,5,18,91,43,False
2025-12-04,7,4,18,87,37,False
2025-12-05,8,4,17,83,37,False
2025-12-06,7,3,16,71,30,False
2025-12-07,7,4,16,68,30,False
2025-12-08,6,11,17,74,35,False
2025-12-09,7,13,17,75,37,False
2025-12-10,6,8,17,75,39,False
2025-12-11,7,8,21,75,73,False
2025-12-12,6,6,16,69,85,False
2025-12-13,6,3,15,66,61,False
2025-12-14,6,4,15,64,58,False
2025-12-15,6,5,16,73,52,False
2025-12-16,7,4,17,73,49,False
2025-12-17,6,5,16,74,52,False
2025-12-18,7,5,14,76,53,False
2025-12-19,6,4,14,68,37,False
2025-12-20,6,3,12,57,32,False
2025-12-21,6,3,12,57,31,False
2025-12-22,5,3,11,63,32,False
2025-12-23,6,4,12,59,32,False
2025-12-24,6,3,11,54,34,False
2025-12-25,6,2,13,48,28,False
2025-12-26,6,2,11,59,32,False
2025-12-27,6,3,12,60,34,False
2025-12-28,6,3,15,58,43,False
2025-12-29,6,3,12,63,41,False
2025-12-30,6,5,12,60,50,False
2025-12-31,6,5,12,55,67,False
2026-01-01,5,3,11,47,54,False
2026-01-02,6,3,12,58,50,False
2026-01-03,6,4,13,59,40,False
2026-01-04,5,3,12,54,38,False
2026-01-05,5,5,13,65,37,False
2026-01-06,5,6,14,69,39,False
2026-01-07,6,6,15,79,42,False
2026-01-08,5,6,15,67,37,False
2026-01-09,5,8,15,70,41,False
2026-01-10,5,7,14,63,39,False
2026-01-11,5,4,12,57,34,False
2026-01-12,5,6,15,69,46,False
2026-01-13,5,7,16,69,50,False
2026-01-14,6,8,17,70,54,False
2026-01-15,5,7,18,74,53,False
2026-01-16,5,6,16,67,55,False
2026-01-17,4,6,15,69,62,False
2026-01-18,4,6,15,72,64,False
2026-01-19,4,5,14,79,62,False
2026-01-20,4,5,15,75,71,False
2026-01-21,4,5,17,70,68,False
2026-01-22,5,7,18,74,62,False
2026-01-23,4,6,16,74,57,False
2026-01-24,5,13,17,65,58,False
2026-01-25,3,13,18,66,45,False
2026-01-26,4,8,18,76,54,False
2026-01-27,4,8,18,73,64,False
2026-01-28,5,7,17,75,65,False
2026-01-29,5,7,21,80,76,False
2026-01-30,5,7,21,90,64,False
2026-01-31,4,4,13,60,52,False
2026-02-01,4,3,16,55,50,False
2026-02-02,5,4,16,66,70,False
2026-02-03,6,4,16,69,90,False
2026-02-04,7,4,17,73,88,False
2026-02-05,8,5,19,68,87,False
2026-02-06,8,4,16,66,92,False
2026-02-07,8,4,13,57,74,False
2026-02-08,11,3,14,54,58,False
2026-02-09,10,4,15,69,77,False
2026-02-10,9,5,15,73,87,False
2026-02-11,9,4,20,72,97,False
2026-02-12,7,4,19,69,77,False
2026-02-13,6,3,23,62,75,False
2026-02-14,6,2,20,53,66,True
