date,bird flu,mpox,cholera,dengue,measles,isPartial
2021-02-14,2,0,2,8,2,False
2021-02-21,2,0,2,10,2,False
2021-02-28,1,0,2,9,2,False
2021-03-07,1,0,2,9,2,False
2021-03-14,1,0,2,10,2,False
2021-03-21,1,0,2,11,2,False
2021-03-28,1,0,2,11,2,False
2021-04-04,0,0,2,11,2,False
2021-04-11,0,0,2,12,2,False
2021-04-18,0,0,2,12,2,False
2021-04-25,0,0,2,11,2,False
2021-05-02,0,0,2,11,2,False
2021-05-09,0,0,2,10,2,False
2021-05-16,0,0,2,10,2,False
2021-05-23,0,0,2,10,2,False
2021-05-30,17,0,2,10,2,False
2021-06-06,1,0,2,10,2,False
2021-06-13,1,0,2,9,2,False
2021-06-20,0,0,2,8,2,False
2021-06-27,0,0,1,7,2,False
2021-07-04,0,0,2,8,2,False
2021-07-11,0,0,2,8,2,False
2021-07-18,1,0,2,8,2,False
2021-07-25,0,0,2,8,2,False
2021-08-01,0,0,2,9,2,False
2021-08-08,0,0,2,10,3,False
2021-08-15,0,0,2,10,2,False
2021-08-22,0,0,2,11,2,False
2021-08-29,0,0,2,11,2,False
2021-09-05,0,0,2,11,3,False
2021-09-12,0,0,2,12,4,False
2021-09-19,0,0,2,12,3,False
2021-09-26,0,0,2,13,3,False
2021-10-03,0,0,2,14,2,False
2021-10-10,0,0,2,15,5,False
2021-10-17,0,0,2,18,9,False
2021-10-24,0,0,2,18,5,False
2021-10-31,1,0,2,15,3,False
2021-11-07,1,0,2,15,4,False
2021-11-14,1,0,2,13,5,False
2021-11-21,1,0,2,11,3,False
2021-11-28,1,0,2,9,3,False
2021-12-05,1,0,2,8,2,False
2021-12-12,1,0,2,8,2,False
2021-12-19,1,0,2,7,3,False
2021-12-26,4,0,2,7,2,False
2022-01-02,2,0,2,11,3,False
2022-01-09,1,0,2,11,3,False
2022-01-16,1,0,2,10,2,False
2022-01-23,1,0,2,10,3,False
2022-01-30,0,0,2,9,3,False
2022-02-06,1,0,2,9,3,False
2022-02-13,1,0,3,11,3,False
2022-02-20,2,0,2,10,3,False
2022-02-27,1,0,2,10,3,False
2022-03-06,1,0,2,12,3,False
2022-03-13,1,0,2,13,3,False
2022-03-20,2,0,2,15,3,False
2022-03-27,1,0,2,16,3,False
2022-04-03,2,0,2,17,3,False
2022-04-10,2,0,2,19,3,False
2022-04-17,3,0,2,22,3,False
2022-04-24,5,0,3,24,3,False
2022-05-01,2,0,3,21,3,False
2022-05-08,2,0,2,24,3,False
2022-05-15,1,0,3,20,3,False
2022-05-22,1,0,2,20,3,False
2022-05-29,1,0,2,17,2,False
2022-06-05,1,0,5,17,3,False
2022-06-12,1,0,2,15,3,False
2022-06-19,1,0,2,16,3,False
2022-06-26,1,0,2,15,2,False
2022-07-03,1,0,2,15,2,False
2022-07-10,1,0,2,15,2,False
2022-07-17,1,0,2,15,3,False
2022-07-24,1,0,2,14,3,False
2022-07-31,1,0,2,15,2,False
2022-08-07,0,0,2,14,2,False
2022-08-14,0,0,2,15,3,False
2022-08-21,1,0,2,17,2,False
2022-08-28,1,0,2,18,2,False
2022-09-04,1,0,2,18,2,False
2022-09-11,1,0,3,21,3,False
2022-09-18,1,0,3,23,3,False
2022-09-25,1,0,2,21,3,False
2022-10-02,1,0,3,19,2,False
2022-10-09,1,0,3,22,3,False
2022-10-16,1,0,3,23,3,False
2022-10-23,1,0,3,21,3,False
2022-10-30,1,0,3,22,3,False
2022-11-06,1,0,3,21,3,False
2022-11-13,1,0,3,18,4,False
2022-11-20,1,0,2,16,5,False
2022-11-27,1,1,2,13,4,False
2022-12-04,1,0,2,12,4,False
2022-12-11,1,0,2,11,3,False
2022-12-18,1,0,2,9,3,False
2022-12-25,1,0,2,10,3,False
2023-01-01,1,0,2,9,4,False
2023-01-08,1,0,2,10,3,False
2023-01-15,1,0,2,10,3,False
2023-01-22,1,0,2,12,3,False
2023-01-29,2,0,2,11,3,False
2023-02-05,2,0,3,13,3,False
2023-02-12,2,0,3,14,4,False
2023-02-19,2,0,3,15,4,False
2023-02-26,2,0,4,18,4,False
2023-03-05,1,1,3,18,4,False
2023-03-12,1,1,2,20,3,False
2023-03-19,2,1,2,24,3,False
2023-03-26,1,0,2,32,3,False
2023-04-02,1,1,2,31,3,False
2023-04-09,1,0,2,34,3,False
2023-04-16,1,0,2,31,3,False
2023-04-23,1,0,2,31,3,False
2023-04-30,1,0,2,25,3,False
2023-05-07,0,1,2,28,3,False
2023-05-14,1,1,2,27,3,False
2023-05-21,1,0,4,27,3,False
2023-05-28,1,0,3,24,3,False
2023-06-04,0,0,3,21,3,False
2023-06-11,0,0,2,22,3,False
2023-06-18,0,0,2,18,3,False
2023-06-25,0,0,2,18,3,False
2023-07-02,0,0,2,19,3,False
2023-07-09,1,0,2,19,3,False
2023-07-16,1,0,2,17,3,False
2023-07-23,1,0,2,18,3,False
2023-07-30,0,0,2,19,2,False
2023-08-06,0,0,2,21,2,False
2023-08-13,0,0,2,23,2,False
2023-08-20,0,0,2,26,2,False
2023-08-27,0,0,2,27,2,False
2023-09-03,0,0,2,30,2,False
2023-09-10,0,0,2,32,3,False
2023-09-17,0,0,2,32,3,False
2023-09-24,0,0,2,32,3,False
2023-10-01,1,0,2,32,3,False
2023-10-08,1,0,2,32,3,False
2023-10-15,0,0,2,30,3,False
2023-10-22,0,0,2,28,3,False
2023-10-29,0,0,2,24,3,False
2023-11-05,0,0,2,24,3,False
2023-11-12,0,0,2,22,3,False
2023-11-19,0,0,2,21,3,False
2023-11-26,0,0,2,20,3,False
2023-12-03,0,0,2,18,3,False
2023-12-10,0,1,2,18,3,False
2023-12-17,0,2,2,16,3,False
2023-12-24,0,0,2,18,2,False
2023-12-31,0,0,2,20,2,False
2024-01-07,0,0,2,23,4,False
2024-01-14,0,0,3,24,6,False
2024-01-21,0,0,2,31,8,False
2024-01-28,0,0,2,39,7,False
2024-02-04,0,0,3,52,7,False
2024-02-11,0,0,2,59,6,False
2024-02-18,1,0,2,78,10,False
2024-02-25,0,0,6,90,10,False
2024-03-03,0,0,2,78,10,False
2024-03-10,0,0,2,85,10,False
2024-03-17,0,0,2,90,9,False
2024-03-24,1,0,2,90,7,False
2024-03-31,6,0,2,93,5,False
2024-04-07,3,0,3,88,5,False
2024-04-14,3,0,2,76,5,False
2024-04-21,5,0,3,67,5,False
2024-04-28,5,0,2,57,4,False
2024-05-05,3,0,3,52,4,False
2024-05-12,2,0,2,48,4,False
2024-05-19,4,0,2,43,4,False
2024-05-26,2,0,2,33,4,False
2024-06-02,4,0,2,30,4,False
2024-06-09,4,1,3,31,3,False
2024-06-16,4,1,4,29,3,False
2024-06-23,2,2,3,29,3,False
2024-06-30,2,1,2,28,3,False
2024-07-07,2,1,2,30,3,False
2024-07-14,2,1,2,27,3,False
2024-07-21,1,0,2,26,3,False
2024-07-28,1,1,2,25,3,False
2024-08-04,1,7,2,27,3,False
2024-08-11,1,100,2,27,3,False
2024-08-18,1,98,2,31,3,False
2024-08-25,2,32,2,28,3,False
2024-09-01,1,18,2,29,3,False
2024-09-08,2,12,2,31,3,False
2024-09-15,1,7,2,29,3,False
2024-09-22,1,7,2,29,3,False
2024-09-29,1,3,2,28,3,False
2024-10-06,1,2,2,28,3,False
2024-10-13,1,2,2,28,3,False
2024-10-20,1,5,2,29,3,False
2024-10-27,1,3,2,25,3,False
2024-11-03,1,3,2,25,3,False
2024-11-10,4,2,2,24,4,False
2024-11-17,2,5,2,21,4,False
2024-11-24,2,2,2,19,3,False
2024-12-01,2,1,2,17,3,False
2024-12-08,2,1,2,15,3,False
2024-12-15,14,3,2,14,3,False
2024-12-22,12,1,2,13,2,False
2024-12-29,17,1,2,14,2,False
2025-01-05,13,4,2,16,3,False
2025-01-12,6,1,2,16,3,False
2025-01-19,8,2,2,17,3,False
2025-01-26,14,1,2,17,4,False
2025-02-02,13,1,2,17,4,False
2025-02-09,14,1,2,18,8,False
2025-02-16,12,1,2,21,16,False
2025-02-23,9,1,2,20,48,False
2025-03-02,7,2,2,18,35,False
2025-03-09,5,3,2,19,29,False
2025-03-16,4,1,2,21,21,False
2025-03-23,3,1,2,20,19,False
2025-03-30,2,1,2,20,16,False
2025-04-06,2,1,2,19,26,False
2025-04-13,2,1,2,19,15,False
2025-04-20,2,1,2,19,14,False
2025-04-27,2,4,2,19,13,False
2025-05-04,1,2,2,18,12,False
2025-05-11,1,1,2,17,10,False
2025-05-18,1,1,2,16,10,False
