date,tuberculosis,malaria,ebola,zika,plague,isPartial
2025-11-15,58,67,13,19,49,False
2025-11-16,53,65,12,17,46,False
2025-11-17,62,74,14,20,51,False
2025-11-18,75,87,15,20,49,False
2025-11-19,75,82,16,21,50,False
2025-11-20,77,98,16,23,54,False
2025-11-21,71,100,15,29,50,False
2025-11-22,64,79,13,25,47,False
2025-11-23,66,74,13,29,50,False
2025-11-24,74,81,21,23,46,False
2025-11-25,77,84,17,24,49,False
2025-11-26,72,75,12,22,42,False
2025-11-27,72,69,12,20,43,False
2025-11-28,65,70,11,17,45,False
2025-11-29,60,68,10,18,48,False
2025-11-30,61,71,12,19,48,False
2025-12-01,70,73,15,21,49,False
2025-12-02,72,78,14,27,50,False
2025-12-03,73,77,15,27,50,False
2025-12-04,73,80,14,17,53,False
2025-12-05,65,71,14,13,53,False
2025-12-06,56,66,13,12,48,False
2025-12-07,58,67,11,14,53,False
2025-12-08,64,69,14,16,51,False
2025-12-09,63,68,12,21,53,False
2025-12-10,64,73,13,19,52,False
2025-12-11,76,67,12,20,60,False
2025-12-12,67,67,12,36,60,False
2025-12-13,55,56,11,31,54,False
2025-12-14,50,56,10,21,52,False
2025-12-15,59,64,12,30,51,False
2025-12-16,64,64,10,25,54,False
2025-12-17,65,63,12,29,52,False
2025-12-18,69,68,13,53,54,False
2025-12-19,52,51,13,29,50,False
2025-12-20,46,44,11,19,48,False
2025-12-21,46,47,10,16,50,False
2025-12-22,54,49,10,11,46,False
2025-12-23,52,48,9,11,45,False
2025-12-24,40,43,7,8,51,False
2025-12-25,38,40,9,8,57,False
2025-12-26,45,46,8,9,57,False
2025-12-27,46,48,10,10,62,False
2025-12-28,44,46,9,11,61,False
2025-12-29,49,51,8,11,55,False
2025-12-30,53,48,10,9,55,False
2025-12-31,50,46,11,10,62,False
2026-01-01,43,45,12,12,65,False
2026-01-02,51,51,9,11,77,False
2026-01-03,42,45,8,10,76,False
2026-01-04,40,46,10,10,69,False
2026-01-05,51,52,9,10,56,False
2026-01-06,61,57,10,13,59,False
2026-01-07,54,57,11,11,58,False
2026-01-08,53,55,12,11,57,False
2026-01-09,61,59,13,11,61,False
2026-01-10,60,52,11,11,61,False
2026-01-11,44,49,11,10,59,False
2026-01-12,58,58,13,13,53,False
2026-01-13,62,68,14,16,59,False
2026-01-14,63,65,14,20,58,False
2026-01-15,66,67,16,24,62,False
2026-01-16,63,59,14,28,58,False
2026-01-17,54,59,12,34,60,False
2026-01-18,54,56,12,37,64,False
2026-01-19,63,63,12,34,52,False
2026-01-20,69,73,12,66,57,False
2026-01-21,75,70,14,44,60,False
2026-01-22,68,68,16,49,59,False
2026-01-23,62,62,13,50,61,False
2026-01-24,60,58,16,34,62,False
2026-01-25,62,64,15,49,67,False
2026-01-26,73,69,16,55,60,False
2026-01-27,70,69,18,27,56,False
2026-01-28,75,65,18,30,58,False
2026-01-29,75,69,20,40,66,False
2026-01-30,79,73,18,46,69,False
2026-01-31,70,67,17,61,87,False
2026-02-01,49,55,12,19,62,False
2026-02-02,60,62,12,16,55,False
2026-02-03,60,57,14,14,64,False
2026-02-04,62,59,15,18,70,False
2026-02-05,66,66,18,19,71,False
2026-02-06,65,57,15,17,70,False
2026-02-07,60,53,13,14,69,False
2026-02-08,51,52,11,14,67,False
2026-02-09,60,58,12,13,61,False
2026-02-10,62,60,12,16,58,False
2026-02-11,68,58,12,12,57,False
2026-02-12,71,61,12,11,60,False
2026-02-13,67,58,13,12,67,False
2026-02-14,58,55,11,10,75,False
2026-02-15,75,47,15,11,98,True
