date,tuberculosis,malaria,ebola,zika,plague,isPartial
2021-02-14,29,23,79,5,29,False
2021-02-21,28,25,21,6,32,False
2021-02-28,28,27,16,6,30,False
2021-03-07,26,27,15,6,29,False
2021-03-14,27,27,16,7,41,False
2021-03-21,36,27,17,7,53,False
2021-03-28,24,24,15,6,34,False
2021-04-04,27,25,13,7,30,False
2021-04-11,26,41,12,6,29,False
2021-04-18,27,35,11,6,33,False
2021-04-25,25,32,10,7,33,False
2021-05-02,26,27,10,7,31,False
2021-05-09,25,26,10,7,34,False
2021-05-16,24,26,9,7,36,False
2021-05-23,27,26,9,7,39,False
2021-05-30,29,27,9,6,36,False
2021-06-06,29,26,8,6,29,False
2021-06-13,26,26,8,6,34,False
2021-06-20,27,26,9,6,30,False
2021-06-27,26,26,7,6,32,False
2021-07-04,24,26,8,31,47,False
2021-07-11,24,27,8,16,46,False
2021-07-18,25,25,9,8,42,False
2021-07-25,24,28,8,7,39,False
2021-08-01,24,27,9,11,44,False
2021-08-08,27,28,17,7,41,False
2021-08-15,27,27,25,6,34,False
2021-08-22,27,28,10,6,33,False
2021-08-29,27,28,8,6,31,False
2021-09-05,28,28,8,6,31,False
2021-09-12,26,32,8,6,30,False
2021-09-19,27,30,8,6,31,False
2021-09-26,26,29,7,6,29,False
2021-10-03,25,51,8,6,31,False
2021-10-10,25,32,8,6,29,False
2021-10-17,26,35,8,6,32,False
2021-10-24,26,33,7,8,36,False
2021-10-31,24,27,8,9,30,False
2021-11-07,26,29,8,12,26,False
2021-11-14,26,30,8,7,26,False
2021-11-21,26,25,12,6,23,False
2021-11-28,25,26,12,7,26,False
2021-12-05,24,28,9,5,27,False
2021-12-12,24,28,9,5,26,False
2021-12-19,21,23,8,4,27,False
2021-12-26,19,21,8,5,30,False
2022-01-02,27,28,11,6,36,False
2022-01-09,29,30,12,6,35,False
2022-01-16,28,26,9,6,31,False
2022-01-23,30,31,11,6,32,False
2022-01-30,30,29,8,6,32,False
2022-02-06,34,32,13,6,31,False
2022-02-13,37,35,10,6,30,False
2022-02-20,36,35,8,7,29,False
2022-02-27,36,35,8,6,30,False
2022-03-06,39,37,8,7,30,False
2022-03-13,41,37,8,7,30,False
2022-03-20,56,35,8,8,31,False
2022-03-27,41,37,9,8,32,False
2022-04-03,39,37,9,7,31,False
2022-04-10,34,32,7,14,29,False
2022-04-17,36,37,9,8,29,False
2022-04-24,38,45,15,9,31,False
2022-05-01,36,34,9,8,31,False
2022-05-08,37,37,9,8,31,False
2022-05-15,35,37,9,8,29,False
2022-05-22,37,33,10,7,30,False
2022-05-29,33,32,7,7,26,False
2022-06-05,35,33,7,7,25,False
2022-06-12,39,34,6,7,33,False
2022-06-19,37,35,6,7,30,False
2022-06-26,33,32,5,6,26,False
2022-07-03,32,33,7,7,28,False
2022-07-10,31,37,6,8,24,False
2022-07-17,32,34,8,6,25,False
2022-07-24,30,35,7,6,27,False
2022-07-31,30,37,7,7,27,False
2022-08-07,31,34,6,6,24,False
2022-08-14,31,34,6,7,27,False
2022-08-21,32,34,6,7,27,False
2022-08-28,31,34,6,6,28,False
2022-09-04,31,36,6,6,31,False
2022-09-11,33,38,6,6,32,False
2022-09-18,36,45,16,6,29,False
2022-09-25,35,36,18,6,31,False
2022-10-02,33,35,18,6,35,False
