date,meningitis,typhoid,hepatitis,rabies,anthrax,isPartial
2025-11-14,25,13,52,31,5,False
2025-11-15,22,13,43,34,4,False
2025-11-16,22,12,48,32,4,False
2025-11-17,23,13,58,33,4,False
2025-11-18,29,14,68,33,5,False
2025-11-19,31,14,68,33,4,False
2025-11-20,28,15,68,36,4,False
2025-11-21,27,14,60,40,4,False
2025-11-22,23,14,48,38,4,False
2025-11-23,23,13,48,36,4,False
2025-11-24,24,15,60,35,5,False
2025-11-25,27,14,61,36,5,False
2025-11-26,24,13,57,34,5,False
2025-11-27,22,13,53,33,5,False
2025-11-28,22,12,49,31,5,False
2025-11-29,23,12,46,35,5,False
2025-11-30,21,11,46,31,4,False
2025-12-01,24,13,55,34,5,False
2025-12-02,29,14,57,33,5,False
2025-12-03,30,13,62,35,5,False
2025-12-04,27,14,66,34,4,False
2025-12-05,24,12,91,32,4,False
2025-12-06,21,10,100,34,4,False
2025-12-07,22,10,71,35,4,False
2025-12-08,25,13,71,35,5,False
2025-12-09,23,13,67,36,5,False
2025-12-10,23,13,62,37,4,False
2025-12-11,24,13,57,34,4,False
2025-12-12,27,13,57,34,4,False
2025-12-13,21,11,44,33,4,False
2025-12-14,22,11,43,33,4,False
2025-12-15,23,12,52,33,4,False
2025-12-16,27,12,51,35,4,False
2025-12-17,23,13,53,33,4,False
2025-12-18,25,13,57,33,4,False
2025-12-19,21,12,51,35,4,False
2025-12-20,19,9,40,32,3,False
2025-12-21,17,10,34,32,3,False
2025-12-22,19,11,45,31,4,False
2025-12-23,18,11,46,35,3,False
2025-12-24,17,10,40,34,3,False
2025-12-25,15,9,32,32,3,False
2025-12-26,18,10,35,34,3,False
2025-12-27,17,10,34,34,3,False
2025-12-28,18,10,32,37,3,False
2025-12-29,19,11,44,43,4,False
2025-12-30,23,11,43,39,3,False
2025-12-31,52,10,42,40,3,False
2026-01-01,26,9,35,33,4,False
2026-01-02,22,10,42,38,4,False
2026-01-03,19,10,37,34,4,False
2026-01-04,20,10,35,34,3,False
2026-01-05,21,12,44,36,3,False
2026-01-06,27,12,53,35,3,False
2026-01-07,24,13,50,31,4,False
2026-01-08,24,13,46,32,4,False
2026-01-09,25,13,49,34,4,False
2026-01-10,21,13,43,38,4,False
2026-01-11,20,12,34,39,3,False
2026-01-12,23,13,47,34,4,False
2026-01-13,23,12,52,37,4,False
2026-01-14,24,11,51,34,4,False
2026-01-15,25,14,54,37,4,False
2026-01-16,24,11,48,34,4,False
2026-01-17,23,12,42,35,4,False
2026-01-18,21,10,38,44,4,False
2026-01-19,23,13,48,37,5,False
2026-01-20,22,14,51,34,4,False
2026-01-21,24,13,53,36,5,False
2026-01-22,24,13,54,36,5,False
2026-01-23,23,12,51,34,4,False
2026-01-24,20,12,43,38,5,False
2026-01-25,22,12,40,36,5,False
2026-01-26,24,12,50,35,5,False
2026-01-27,22,14,53,36,5,False
2026-01-28,22,13,51,32,5,False
2026-01-29,25,14,51,34,5,False
2026-01-30,27,13,54,35,5,False
2026-01-31,17,10,37,29,3,False
2026-02-01,19,12,34,29,4,False
2026-02-02,21,14,46,31,4,False
2026-02-03,22,13,48,30,4,False
2026-02-04,21,13,49,28,5,False
2026-02-05,21,12,49,30,5,False
2026-02-06,21,12,47,30,4,False
2026-02-07,23,11,38,29,4,False
2026-02-08,18,11,33,28,4,False
2026-02-09,20,12,44,31,4,False
2026-02-10,21,13,50,29,5,False
2026-02-11,22,14,49,30,4,False
2026-02-12,20,14,52,31,5,False
2026-02-13,20,14,47,31,6,False
2026-02-14,18,16,40,32,5,True
