date,meningitis,typhoid,hepatitis,rabies,anthrax,isPartial
2021-02-14,11,6,24,9,3,False
2021-02-21,11,7,27,10,3,False
2021-02-28,11,7,26,9,3,False
2021-03-07,11,7,27,9,3,False
2021-03-14,12,8,26,10,3,False
2021-03-21,11,7,26,11,2,False
2021-03-28,11,8,23,10,3,False
2021-04-04,11,10,25,10,3,False
2021-04-11,14,12,26,11,3,False
2021-04-18,13,15,26,12,3,False
2021-04-25,12,15,25,11,3,False
2021-05-02,12,14,26,10,3,False
2021-05-09,12,11,23,11,3,False
2021-05-16,11,10,26,10,3,False
2021-05-23,12,8,25,11,3,False
2021-05-30,12,7,25,11,3,False
2021-06-06,12,7,25,12,3,False
2021-06-13,12,6,26,12,2,False
2021-06-20,12,7,26,11,3,False
2021-06-27,12,6,25,11,2,False
2021-07-04,12,7,25,11,3,False
2021-07-11,13,7,26,11,3,False
2021-07-18,14,8,25,11,3,False
2021-07-25,13,8,31,11,3,False
2021-08-01,13,8,26,11,3,False
2021-08-08,13,9,25,11,3,False
2021-08-15,14,9,26,11,3,False
2021-08-22,12,10,25,11,3,False
2021-08-29,12,9,26,11,3,False
2021-09-05,12,9,24,10,3,False
2021-09-12,12,9,26,10,3,False
2021-09-19,12,10,25,11,3,False
2021-09-26,13,9,25,13,3,False
2021-10-03,13,9,25,10,3,False
2021-10-10,13,9,24,10,2,False
2021-10-17,12,9,25,10,2,False
2021-10-24,12,9,25,11,2,False
2021-10-31,12,7,26,11,2,False
2021-11-07,13,8,28,10,3,False
2021-11-14,12,7,28,10,3,False
2021-11-21,11,6,32,9,4,False
2021-11-28,12,6,25,10,11,False
2021-12-05,12,7,24,10,7,False
2021-12-12,11,6,25,10,4,False
2021-12-19,10,6,21,9,4,False
2021-12-26,13,6,19,10,5,False
2022-01-02,13,8,26,12,4,False
2022-01-09,13,8,28,11,4,False
2022-01-16,13,8,25,10,3,False
2022-01-23,14,8,27,11,4,False
2022-01-30,12,7,26,12,3,False
2022-02-06,13,9,28,11,4,False
2022-02-13,13,11,30,12,4,False
2022-02-20,15,15,30,12,4,False
2022-02-27,13,9,30,12,4,False
2022-03-06,15,8,31,12,4,False
2022-03-13,15,8,30,14,4,False
2022-03-20,15,8,31,14,4,False
2022-03-27,15,8,31,13,4,False
2022-04-03,15,8,32,15,3,False
2022-04-10,16,8,35,14,3,False
2022-04-17,16,8,48,14,4,False
2022-04-24,17,8,69,14,3,False
2022-05-01,14,8,94,13,3,False
2022-05-08,17,8,100,13,3,False
2022-05-15,16,11,69,13,3,False
2022-05-22,16,9,47,13,3,False
2022-05-29,15,9,68,14,3,False
2022-06-05,15,9,38,14,3,False
2022-06-12,16,10,35,14,3,False
2022-06-19,17,11,33,15,3,False
2022-06-26,16,10,31,15,3,False
2022-07-03,17,11,30,15,3,False
2022-07-10,16,11,30,14,3,False
2022-07-17,15,11,31,15,3,False
2022-07-24,15,12,40,16,3,False
2022-07-31,16,12,31,14,3,False
2022-08-07,16,12,29,14,3,False
2022-08-14,17,12,29,14,3,False
2022-08-21,16,13,32,16,3,False
2022-08-28,15,12,30,15,3,False
2022-09-04,16,12,30,13,4,False
2022-09-11,17,13,30,13,9,False
2022-09-18,17,13,31,14,4,False
2022-09-25,17,12,30,16,3,False
2022-10-02,17,11,29,13,3,False
2022-10-09,16,12,29,12,3,False
2022-10-16,16,12,31,12,3,False
2022-10-23,17,11,29,12,3,False
2022-10-30,19,12,29,13,3,False
2022-11-06,20,12,30,13,3,False
2022-11-13,22,11,30,12,3,False
2022-11-20,19,9,27,11,3,False
2022-11-27,31,9,28,12,3,False
2022-12-04,36,9,27,16,3,False
2022-12-11,20,9,28,14,3,False
2022-12-18,16,8,23,13,4,False
2022-12-25,17,8,23,14,3,False
2023-01-01,15,8,25,14,3,False
2023-01-08,31,9,29,12,3,False
2023-01-15,17,9,28,12,3,False
2023-01-22,16,9,31,12,3,False
2023-01-29,15,9,30,12,3,False
2023-02-05,18,10,30,13,3,False
2023-02-12,17,11,30,13,3,False
2023-02-19,16,12,30,13,3,False
2023-02-26,15,12,31,13,3,False
2023-03-05,16,11,31,13,3,False
2023-03-12,15,11,32,13,3,False
2023-03-19,15,10,36,16,3,False
2023-03-26,15,10,32,14,3,False
2023-04-02,14,10,29,15,3,False
2023-04-09,17,11,32,16,3,False
2023-04-16,16,9,31,15,3,False
2023-04-23,16,10,31,14,3,False
2023-04-30,16,10,31,14,3,False
2023-05-07,17,9,33,18,3,False
2023-05-14,21,9,34,16,3,False
2023-05-21,19,9,32,15,2,False
2023-05-28,18,9,30,17,2,False
2023-06-04,16,9,33,17,3,False
2023-06-11,17,9,37,29,3,False
2023-06-18,17,9,35,31,3,False
2023-06-25,16,9,33,22,3,False
2023-07-02,17,10,31,21,4,False
2023-07-09,16,10,31,23,3,False
2023-07-16,15,10,32,19,4,False
2023-07-23,15,11,40,19,3,False
2023-07-30,16,12,32,19,3,False
2023-08-06,16,12,32,19,3,False
2023-08-13,18,13,32,20,3,False
2023-08-20,16,14,31,17,3,False
2023-08-27,15,13,31,18,2,False
2023-09-03,16,14,31,22,3,False
2023-09-10,16,15,31,18,3,False
2023-09-17,15,14,31,17,3,False
2023-09-24,16,15,30,19,3,False
2023-10-01,14,15,31,18,3,False
2023-10-08,15,15,32,15,3,False
2023-10-15,15,13,31,15,3,False
2023-10-22,16,12,31,16,3,False
2023-10-29,16,12,30,15,4,False
2023-11-05,17,10,31,17,3,False
2023-11-12,15,10,30,15,3,False
2023-11-19,14,10,30,15,3,False
2023-11-26,15,9,30,16,3,False
2023-12-03,16,10,29,16,3,False
