date,covid,influenza,pneumonia,sepsis,MRSA,isPartial
2025-11-14,85,25,32,14,5,False
2025-11-15,77,22,25,13,5,False
2025-11-16,77,23,24,13,4,False
2025-11-17,83,26,33,16,6,False
2025-11-18,90,33,34,18,6,False
2025-11-19,96,30,35,18,7,False
2025-11-20,100,29,36,19,6,False
2025-11-21,94,31,30,17,6,False
2025-11-22,84,27,28,16,5,False
2025-11-23,81,25,28,15,5,False
2025-11-24,90,35,33,17,6,False
2025-11-25,88,36,32,17,6,False
2025-11-26,94,36,32,16,6,False
2025-11-27,81,33,27,15,5,False
2025-11-28,76,29,26,15,5,False
2025-11-29,76,28,28,14,4,False
2025-11-30,78,29,28,15,4,False
2025-12-01,93,36,34,17,6,False
2025-12-02,89,37,34,16,6,False
2025-12-03,95,38,35,18,6,False
2025-12-04,90,38,34,17,6,False
2025-12-05,82,35,34,14,5,False
2025-12-06,75,32,29,14,4,False
2025-12-07,76,34,29,14,4,False
2025-12-08,90,40,33,15,6,False
2025-12-09,93,41,34,14,5,False
2025-12-10,90,43,32,14,5,False
2025-12-11,91,49,33,14,5,False
2025-12-12,91,50,34,15,6,False
2025-12-13,84,48,30,13,4,False
2025-12-14,77,43,30,14,4,False
2025-12-15,88,55,33,14,5,False
2025-12-16,92,60,36,15,5,False
2025-12-17,96,64,33,16,6,False
2025-12-18,96,67,34,15,5,False
2025-12-19,85,58,28,13,5,False
2025-12-20,81,56,28,12,4,False
2025-12-21,75,56,27,12,4,False
2025-12-22,83,62,35,14,4,False
2025-12-23,82,62,31,13,4,False
2025-12-24,79,53,28,12,4,False
2025-12-25,67,47,25,10,3,False
2025-12-26,74,52,27,12,4,False
2025-12-27,76,54,34,14,4,False
2025-12-28,80,59,29,15,4,False
2025-12-29,84,60,34,15,4,False
2025-12-30,82,55,34,15,5,False
2025-12-31,79,54,30,13,4,False
2026-01-01,70,41,29,11,3,False
2026-01-02,74,46,32,14,4,False
2026-01-03,70,46,30,14,4,False
2026-01-04,74,47,29,13,4,False
2026-01-05,74,49,32,13,5,False
2026-01-06,78,47,35,14,5,False
2026-01-07,78,43,34,14,5,False
2026-01-08,75,42,32,16,5,False
2026-01-09,74,43,31,14,5,False
2026-01-10,67,37,24,13,4,False
2026-01-11,68,36,24,12,4,False
2026-01-12,75,40,30,14,5,False
2026-01-13,81,44,30,15,6,False
2026-01-14,80,41,30,16,5,False
2026-01-15,77,40,30,15,6,False
2026-01-16,73,36,27,15,5,False
2026-01-17,71,36,24,13,4,False
2026-01-18,68,32,24,13,5,False
2026-01-19,69,40,27,15,5,False
2026-01-20,78,43,31,15,6,False
2026-01-21,80,38,30,14,6,False
2026-01-22,80,41,30,16,6,False
2026-01-23,73,40,27,14,6,False
2026-01-24,69,34,26,14,4,False
2026-01-25,70,33,26,14,4,False
2026-01-26,80,40,30,15,6,False
2026-01-27,81,42,33,15,6,False
2026-01-28,76,38,31,15,6,False
2026-01-29,83,41,32,15,6,False
2026-01-30,78,38,31,16,21,False
2026-01-31,57,25,24,11,15,False
2026-02-01,60,25,27,12,10,False
2026-02-02,65,31,28,13,9,False
2026-02-03,70,30,29,14,8,False
2026-02-04,70,30,28,13,7,False
2026-02-05,71,31,28,13,6,False
2026-02-06,70,29,26,14,9,False
2026-02-07,66,26,28,16,7,False
2026-02-08,69,23,23,12,6,False
2026-02-09,71,29,26,12,6,False
2026-02-10,79,31,27,17,6,False
2026-02-11,79,31,27,14,6,False
2026-02-12,76,29,26,13,6,False
2026-02-13,71,27,26,13,6,False
2026-02-14,66,22,23,11,4,True
