date,covid,influenza,pneumonia,sepsis,MRSA,isPartial
2021-02-14,46,0,0,0,0,False
2021-02-21,53,0,0,0,0,False
2021-02-28,53,0,0,0,0,False
2021-03-07,56,0,0,0,0,False
2021-03-14,58,0,0,0,0,False
2021-03-21,58,0,0,0,0,False
2021-03-28,63,0,0,0,0,False
2021-04-04,66,0,0,0,0,False
2021-04-11,59,0,0,0,0,False
2021-04-18,63,0,1,0,0,False
2021-04-25,69,0,1,0,0,False
2021-05-02,63,0,1,0,0,False
2021-05-09,59,0,0,0,0,False
2021-05-16,57,0,0,0,0,False
2021-05-23,52,0,0,0,0,False
2021-05-30,54,0,0,0,0,False
2021-06-06,51,0,0,0,0,False
2021-06-13,47,0,0,0,0,False
2021-06-20,58,0,0,0,0,False
2021-06-27,51,0,0,0,0,False
2021-07-04,52,0,0,0,0,False
2021-07-11,58,0,0,0,0,False
2021-07-18,65,0,0,0,0,False
2021-07-25,64,0,0,0,0,False
2021-08-01,68,0,0,0,0,False
2021-08-08,64,0,0,0,0,False
2021-08-15,66,0,0,0,0,False
2021-08-22,60,0,1,0,0,False
2021-08-29,57,0,1,0,0,False
2021-09-05,51,0,0,0,0,False
2021-09-12,49,0,1,0,0,False
2021-09-19,44,0,0,0,0,False
2021-09-26,42,0,0,0,0,False
2021-10-03,40,0,0,0,0,False
2021-10-10,39,0,0,0,0,False
2021-10-17,37,0,0,0,0,False
2021-10-24,36,0,0,0,0,False
2021-10-31,37,0,0,0,0,False
2021-11-07,38,0,0,0,0,False
2021-11-14,41,0,0,0,0,False
2021-11-21,46,0,0,0,0,False
2021-11-28,52,0,1,0,0,False
2021-12-05,48,0,1,0,0,False
2021-12-12,64,0,1,0,0,False
2021-12-19,72,0,0,0,0,False
2021-12-26,91,1,1,0,0,False
2022-01-02,100,1,1,0,0,False
2022-01-09,83,1,1,0,0,False
2022-01-16,87,0,1,0,0,False
2022-01-23,55,0,1,0,0,False
2022-01-30,44,0,1,0,0,False
2022-02-06,37,0,0,0,0,False
2022-02-13,33,0,0,0,0,False
2022-02-20,28,0,0,0,0,False
2022-02-27,26,0,0,0,0,False
2022-03-06,24,0,0,0,0,False
2022-03-13,26,0,0,0,0,False
2022-03-20,24,0,0,0,0,False
2022-03-27,23,0,0,0,0,False
2022-04-03,22,0,0,0,0,False
2022-04-10,20,0,0,0,0,False
2022-04-17,19,0,0,0,0,False
2022-04-24,18,0,0,0,0,False
2022-05-01,17,0,0,0,0,False
2022-05-08,18,0,0,0,0,False
2022-05-15,18,0,0,0,0,False
