query,value
nipah virus in india 2026,25050
virus nipah inde,16350
nipah virus 2026,15850
nipah virus outbreak 2026,15450
nipah virus outbreak,8350
nipah virus indien,8000
virus inde,7850
virus nipah india,7150
virus gripe h3n2,6750
virus nipah pandemia,6650
deadly nipah virus outbreak,6500
nipah virus outbreak australia,6000
nipah virus in india,5650
nipah virus symptoms,5400
virus nipah doença,5300
doenca nipah virus nipah,5250
nipah virus,5250
virus nipah ấn độ,5100
nipah,4950
india nipah virus outbreak,4950
nipah virus cases in india 2026,4750
super flu virus,4600
brote virus nipah india,4500
x32-7 virus,4100
nipa virus,3600
