date,diarrhea vomiting,food poisoning,stomach flu,dehydration symptoms,cholera symptoms,isPartial
2025-11-15,8,37,9,4,1,False
2025-11-16,9,42,9,6,1,False
2025-11-17,9,42,11,5,1,False
2025-11-18,8,38,10,6,1,False
2025-11-19,8,36,11,6,1,False
2025-11-20,8,36,10,7,1,False
2025-11-21,9,35,9,7,0,False
2025-11-22,9,36,9,7,1,False
2025-11-23,9,43,10,6,1,False
2025-11-24,9,40,11,6,1,False
2025-11-25,9,39,10,6,1,False
2025-11-26,9,37,10,6,1,False
2025-11-27,8,37,9,5,1,False
2025-11-28,8,38,10,5,1,False
2025-11-29,10,41,10,7,1,False
2025-11-30,9,43,12,6,1,False
2025-12-01,9,40,13,7,1,False
2025-12-02,9,40,13,6,1,False
2025-12-03,9,36,13,9,1,False
2025-12-04,6,37,12,6,1,False
2025-12-05,8,36,11,6,1,False
2025-12-06,7,36,11,7,0,False
2025-12-07,9,40,13,7,0,False
2025-12-08,9,44,14,7,1,False
2025-12-09,8,38,14,6,1,False
2025-12-10,7,35,15,7,1,False
2025-12-11,8,35,15,7,1,False
2025-12-12,8,37,14,7,1,False
2025-12-13,9,40,15,8,1,False
2025-12-14,10,39,14,8,1,False
2025-12-15,9,41,15,7,1,False
2025-12-16,9,41,16,7,0,False
2025-12-17,9,37,16,7,0,False
2025-12-18,10,38,17,8,1,False
2025-12-19,9,37,18,7,1,False
2025-12-20,9,40,19,6,1,False
2025-12-21,11,42,20,6,1,False
2025-12-22,9,45,20,6,0,False
2025-12-23,10,44,20,6,0,False
2025-12-24,9,43,20,7,0,False
2025-12-25,9,41,18,6,1,False
2025-12-26,11,49,20,6,1,False
2025-12-27,11,51,24,7,0,False
2025-12-28,12,51,24,7,1,False
2025-12-29,11,47,22,7,0,False
2025-12-30,10,46,22,7,1,False
2025-12-31,10,45,21,7,1,False
2026-01-01,11,44,18,7,0,False
2026-01-02,10,46,18,7,0,False
2026-01-03,10,48,17,8,0,False
2026-01-04,10,47,17,8,0,False
2026-01-05,9,40,18,7,0,False
2026-01-06,8,42,18,7,1,False
2026-01-07,8,38,17,7,1,False
2026-01-08,7,36,16,7,1,False
2026-01-09,8,37,16,8,0,False
2026-01-10,8,36,14,7,1,False
2026-01-11,9,38,15,7,0,False
2026-01-12,9,41,16,7,1,False
2026-01-13,8,42,15,8,0,False
2026-01-14,8,38,14,10,0,False
2026-01-15,9,39,13,10,0,False
2026-01-16,8,37,13,7,1,False
2026-01-17,10,39,15,7,1,False
2026-01-18,10,43,14,6,0,False
2026-01-19,10,43,14,7,0,False
2026-01-20,9,46,15,6,1,False
2026-01-21,9,39,14,9,1,False
2026-01-22,9,40,14,9,0,False
2026-01-23,8,36,13,8,1,False
2026-01-24,9,38,12,9,1,False
2026-01-25,10,45,13,11,1,False
2026-01-26,10,44,13,9,1,False
2026-01-27,11,43,14,10,1,False
2026-01-28,9,40,13,9,1,False
2026-01-29,10,42,13,10,1,False
2026-01-30,10,41,11,11,0,False
2026-01-31,10,43,12,9,0,False
2026-02-01,7,46,12,9,0,False
2026-02-02,8,46,14,9,1,False
2026-02-03,8,42,14,7,0,False
2026-02-04,7,43,14,12,0,False
2026-02-05,7,47,14,17,0,False
2026-02-06,6,45,13,12,0,False
2026-02-07,9,45,13,13,0,False
2026-02-08,7,55,13,17,0,False
2026-02-09,8,60,13,22,1,False
2026-02-10,9,59,15,23,1,False
2026-02-11,8,50,15,18,1,False
2026-02-12,7,50,14,17,1,False
2026-02-13,7,65,12,35,0,False
2026-02-14,7,69,12,36,0,False
2026-02-15,11,100,20,49,1,True
