date,diarrhea vomiting,food poisoning,stomach flu,dehydration symptoms,cholera symptoms,isPartial
2021-02-14,8,43,10,8,1,False
2021-02-21,8,46,11,8,1,False
2021-02-28,8,43,11,8,1,False
2021-03-07,8,45,11,8,1,False
2021-03-14,8,46,12,8,1,False
2021-03-21,8,48,12,8,1,False
2021-03-28,9,47,13,10,1,False
2021-04-04,9,49,13,10,1,False
2021-04-11,9,47,14,10,1,False
2021-04-18,9,49,14,10,1,False
2021-04-25,9,50,14,10,1,False
2021-05-02,10,50,13,10,1,False
2021-05-09,9,51,14,9,1,False
2021-05-16,9,49,12,9,1,False
2021-05-23,9,47,12,10,1,False
2021-05-30,9,49,12,10,1,False
2021-06-06,9,49,11,11,1,False
2021-06-13,8,52,11,12,1,False
2021-06-20,9,52,12,11,1,False
2021-06-27,9,51,11,12,1,False
2021-07-04,10,53,11,12,1,False
2021-07-11,9,50,11,12,1,False
2021-07-18,10,54,11,14,1,False
2021-07-25,10,50,11,12,1,False
2021-08-01,10,52,11,10,1,False
2021-08-08,10,52,11,12,1,False
2021-08-15,9,50,10,11,1,False
2021-08-22,9,52,11,12,1,False
2021-08-29,9,49,10,10,1,False
2021-09-05,9,50,10,10,1,False
2021-09-12,9,50,11,10,2,False
2021-09-19,9,50,11,9,1,False
2021-09-26,9,49,11,8,1,False
2021-10-03,9,48,12,9,1,False
2021-10-10,9,48,12,9,1,False
2021-10-17,9,51,12,8,1,False
2021-10-24,9,49,13,8,1,False
2021-10-31,9,51,14,8,1,False
2021-11-07,9,50,14,8,1,False
2021-11-14,10,53,16,8,2,False
2021-11-21,9,52,16,8,1,False
2021-11-28,10,57,19,9,1,False
2021-12-05,10,53,19,9,1,False
2021-12-12,10,56,20,9,1,False
2021-12-19,12,62,24,9,1,False
2021-12-26,14,66,26,11,1,False
2022-01-02,12,55,21,11,1,False
2022-01-09,11,51,18,10,1,False
2022-01-16,9,48,15,9,1,False
2022-01-23,10,52,16,9,1,False
2022-01-30,10,57,18,9,2,False
2022-02-06,11,61,20,10,2,False
2022-02-13,12,65,20,9,2,False
2022-02-20,11,67,20,9,2,False
2022-02-27,12,69,23,9,2,False
2022-03-06,12,65,23,9,2,False
2022-03-13,12,70,26,10,2,False
2022-03-20,12,69,27,10,2,False
2022-03-27,12,67,26,10,2,False
2022-04-03,13,66,27,10,2,False
2022-04-10,12,67,25,11,1,False
2022-04-17,11,66,24,10,2,False
2022-04-24,11,63,20,11,2,False
2022-05-01,11,68,19,11,2,False
2022-05-08,11,67,20,11,2,False
2022-05-15,11,64,18,12,2,False
2022-05-22,10,64,16,11,1,False
2022-05-29,10,61,16,12,1,False
2022-06-05,10,60,15,12,2,False
2022-06-12,10,64,13,14,1,False
2022-06-19,10,64,14,14,2,False
2022-06-26,10,64,13,13,3,False
2022-07-03,10,64,14,14,2,False
2022-07-10,10,60,12,14,2,False
2022-07-17,10,63,12,16,1,False
2022-07-24,10,59,11,14,1,False
2022-07-31,9,59,12,13,1,False
2022-08-07,10,60,11,13,1,False
2022-08-14,9,59,11,12,1,False
2022-08-21,9,54,11,10,1,False
2022-08-28,9,57,11,10,2,False
2022-09-04,9,53,11,10,2,False
2022-09-11,9,55,13,9,2,False
2022-09-18,9,54,12,9,2,False
2022-09-25,9,54,12,8,2,False
2022-10-02,9,55,13,8,2,False
2022-10-09,9,56,15,9,3,False
2022-10-16,9,54,16,9,3,False
