date,bleeding gums,blood in urine,internal bleeding,ebola symptoms,dengue symptoms,isPartial
2025-11-15,10,53,13,1,11,False
2025-11-16,11,47,13,0,12,False
2025-11-17,11,62,13,1,14,False
2025-11-18,12,62,17,1,11,False
2025-11-19,14,61,16,1,13,False
2025-11-20,13,60,15,2,11,False
2025-11-21,12,62,14,1,11,False
2025-11-22,12,50,13,0,11,False
2025-11-23,11,48,13,0,11,False
2025-11-24,12,56,14,1,11,False
2025-11-25,11,60,15,1,10,False
2025-11-26,11,60,12,0,12,False
2025-11-27,9,50,12,0,11,False
2025-11-28,10,46,13,1,10,False
2025-11-29,13,44,14,0,11,False
2025-11-30,10,45,14,0,10,False
2025-12-01,12,59,14,1,8,False
2025-12-02,11,62,13,2,11,False
2025-12-03,11,64,11,2,10,False
2025-12-04,12,62,13,1,10,False
2025-12-05,11,60,12,1,8,False
2025-12-06,11,50,11,1,7,False
2025-12-07,10,46,11,0,9,False
2025-12-08,13,60,13,1,8,False
2025-12-09,10,59,13,1,10,False
2025-12-10,11,57,13,1,9,False
2025-12-11,11,62,13,1,9,False
2025-12-12,10,61,12,0,9,False
2025-12-13,11,45,12,0,8,False
2025-12-14,11,46,13,0,7,False
2025-12-15,10,56,12,1,8,False
2025-12-16,11,60,13,1,7,False
2025-12-17,11,57,11,1,9,False
2025-12-18,10,58,11,0,8,False
2025-12-19,12,54,12,0,8,False
2025-12-20,10,44,11,0,9,False
2025-12-21,12,45,12,0,7,False
2025-12-22,10,49,11,0,8,False
2025-12-23,9,48,11,0,7,False
2025-12-24,11,47,10,0,5,False
2025-12-25,9,38,8,0,7,False
2025-12-26,11,44,11,0,7,False
2025-12-27,12,43,12,1,6,False
2025-12-28,13,47,13,0,7,False
2025-12-29,9,48,10,0,7,False
2025-12-30,11,56,12,0,7,False
2025-12-31,12,51,11,0,7,False
2026-01-01,9,42,10,0,7,False
2026-01-02,11,49,12,0,7,False
2026-01-03,10,47,14,0,8,False
2026-01-04,12,44,11,0,7,False
2026-01-05,11,53,11,1,8,False
2026-01-06,12,60,13,0,9,False
2026-01-07,12,56,11,0,9,False
2026-01-08,11,58,11,0,8,False
2026-01-09,12,57,12,0,7,False
2026-01-10,11,50,12,0,6,False
2026-01-11,10,44,13,2,7,False
2026-01-12,12,54,12,1,6,False
2026-01-13,12,62,13,1,7,False
2026-01-14,10,55,88,0,6,False
2026-01-15,11,57,100,0,7,False
2026-01-16,11,58,40,1,7,False
2026-01-17,12,50,28,0,8,False
2026-01-18,12,47,22,0,7,False
2026-01-19,13,51,21,0,8,False
2026-01-20,12,58,18,1,6,False
2026-01-21,12,57,19,0,8,False
2026-01-22,12,58,17,1,8,False
2026-01-23,11,60,17,1,6,False
2026-01-24,11,45,15,0,7,False
2026-01-25,10,46,22,0,7,False
2026-01-26,13,56,16,1,7,False
2026-01-27,13,60,17,1,6,False
2026-01-28,12,60,16,1,7,False
2026-01-29,13,59,13,1,6,False
2026-01-30,11,60,13,0,7,False
2026-01-31,12,51,14,1,5,False
2026-02-01,10,43,11,1,5,False
2026-02-02,11,51,11,1,6,False
2026-02-03,11,56,12,1,6,False
2026-02-04,10,54,12,1,6,False
2026-02-05,11,56,12,1,6,False
2026-02-06,10,52,11,1,5,False
2026-02-07,10,46,11,1,5,False
2026-02-08,10,43,11,1,5,False
2026-02-09,10,49,11,1,5,False
2026-02-10,11,53,11,1,5,False
2026-02-11,10,54,12,1,5,False
2026-02-12,12,55,11,1,5,False
2026-02-13,10,51,12,1,5,False
2026-02-14,9,43,11,1,5,False
2026-02-15,14,51,16,1,6,True
