date,bleeding gums,blood in urine,internal bleeding,ebola symptoms,dengue symptoms,isPartial
2021-02-14,16,72,13,6,7,False
2021-02-21,18,72,14,2,8,False
2021-02-28,17,72,12,2,7,False
2021-03-07,14,70,13,2,7,False
2021-03-14,15,67,13,2,8,False
2021-03-21,14,72,14,2,9,False
2021-03-28,14,69,13,2,9,False
2021-04-04,14,70,13,2,9,False
2021-04-11,14,72,14,1,11,False
2021-04-18,15,78,13,2,12,False
2021-04-25,15,69,14,1,9,False
2021-05-02,14,72,13,2,8,False
2021-05-09,15,73,14,1,8,False
2021-05-16,15,75,13,2,7,False
2021-05-23,15,70,13,1,8,False
2021-05-30,15,69,13,1,8,False
2021-06-06,15,70,13,1,8,False
2021-06-13,14,82,14,1,9,False
2021-06-20,14,70,14,1,10,False
2021-06-27,14,65,13,1,10,False
2021-07-04,15,70,13,1,13,False
2021-07-11,14,73,14,1,15,False
2021-07-18,15,72,14,1,17,False
2021-07-25,16,73,13,1,22,False
2021-08-01,14,68,13,1,24,False
2021-08-08,15,73,15,2,26,False
2021-08-15,14,70,14,2,28,False
2021-08-22,14,70,13,1,32,False
2021-08-29,14,67,13,1,31,False
2021-09-05,13,65,14,1,35,False
2021-09-12,15,71,14,1,41,False
2021-09-19,14,75,13,1,39,False
2021-09-26,14,69,13,1,42,False
2021-10-03,14,72,14,1,43,False
2021-10-10,12,71,14,1,51,False
2021-10-17,15,67,14,1,58,False
2021-10-24,14,74,13,1,57,False
2021-10-31,13,72,13,1,47,False
2021-11-07,13,76,13,1,47,False
2021-11-14,14,75,14,2,35,False
2021-11-21,13,64,13,1,28,False
2021-11-28,14,70,13,2,21,False
2021-12-05,13,81,14,1,17,False
2021-12-12,13,69,13,1,14,False
2021-12-19,14,61,12,1,12,False
2021-12-26,14,64,13,1,14,False
2022-01-02,15,69,13,2,22,False
2022-01-09,15,70,13,2,20,False
2022-01-16,13,64,13,2,17,False
2022-01-23,13,76,13,2,14,False
2022-01-30,14,77,13,2,11,False
2022-02-06,14,82,14,2,9,False
2022-02-13,14,77,15,2,10,False
2022-02-20,13,80,14,2,9,False
2022-02-27,14,83,15,2,9,False
2022-03-06,13,80,15,2,9,False
2022-03-13,13,79,15,2,9,False
2022-03-20,13,84,14,2,9,False
2022-03-27,13,84,15,2,10,False
2022-04-03,14,83,14,2,10,False
2022-04-10,15,82,15,2,9,False
2022-04-17,13,86,15,2,11,False
2022-04-24,14,85,15,3,11,False
2022-05-01,14,80,14,2,11,False
2022-05-08,13,76,15,2,12,False
2022-05-15,14,79,14,2,16,False
2022-05-22,14,75,13,2,16,False
2022-05-29,13,70,14,1,18,False
2022-06-05,14,71,14,1,19,False
2022-06-12,13,78,14,1,21,False
2022-06-19,15,76,14,1,25,False
2022-06-26,14,75,13,1,28,False
