date,severe headache,neck stiffness,confusion fever,seizure,meningitis symptoms,isPartial
2025-02-09,5,2,0,67,7,False
2025-02-16,5,2,0,67,7,False
2025-02-23,5,2,0,70,7,False
2025-03-02,5,2,0,68,8,False
2025-03-09,4,2,0,68,7,False
2025-03-16,5,2,0,68,7,False
2025-03-23,4,2,0,68,8,False
2025-03-30,4,2,0,71,6,False
2025-04-06,4,2,0,66,7,False
2025-04-13,4,2,0,63,6,False
2025-04-20,4,2,0,68,8,False
2025-04-27,4,2,0,67,7,False
2025-05-04,4,2,0,61,6,False
2025-05-11,4,2,0,64,6,False
2025-05-18,4,2,0,61,6,False
2025-05-25,4,2,0,58,6,False
2025-06-01,4,2,0,64,6,False
2025-06-08,4,2,0,63,6,False
2025-06-15,4,2,0,63,7,False
2025-06-22,5,2,0,66,7,False
2025-06-29,4,2,0,63,7,False
2025-07-06,4,2,0,66,7,False
2025-07-13,4,2,0,65,7,False
2025-07-20,5,2,0,70,7,False
2025-07-27,5,3,0,75,7,False
2025-08-03,5,3,0,76,7,False
2025-08-10,5,3,0,85,7,False
2025-08-17,5,3,0,84,7,False
2025-08-24,5,2,0,77,7,False
2025-08-31,5,3,0,81,6,False
2025-09-07,6,3,0,80,7,False
2025-09-14,9,3,1,100,8,False
2025-09-21,8,3,1,95,9,False
2025-09-28,5,3,1,96,7,False
2025-10-05,7,4,1,90,8,False
2025-10-12,7,4,1,85,8,False
2025-10-19,6,3,1,90,7,False
2025-10-26,5,3,0,85,7,False
2025-11-02,6,3,0,86,7,False
2025-11-09,7,3,1,91,7,False
2025-11-16,7,4,1,90,8,False
2025-11-23,7,4,1,84,7,False
2025-11-30,6,3,1,87,8,False
2025-12-07,6,3,1,91,8,False
2025-12-14,7,3,1,84,7,False
2025-12-21,6,3,1,72,6,False
2025-12-28,6,3,1,72,8,False
2026-01-04,6,3,0,87,7,False
2026-01-11,7,3,1,83,7,False
2026-01-18,8,4,1,85,7,False
2026-01-25,7,4,1,91,7,False
2026-02-01,5,3,1,75,6,False
2026-02-08,6,3,1,79,5,True
