date,fever cough,difficulty breathing,shortness of breath,chest pain cough,pneumonia symptoms,isPartial
2025-11-15,42,28,84,10,60,False
2025-11-16,45,35,86,9,58,False
2025-11-17,41,31,83,9,64,False
2025-11-18,44,31,98,9,58,False
2025-11-19,40,31,93,10,65,False
2025-11-20,44,35,93,10,65,False
2025-11-21,42,34,87,12,58,False
2025-11-22,45,31,84,11,56,False
2025-11-23,47,29,94,10,67,False
2025-11-24,50,29,97,14,64,False
2025-11-25,47,34,96,12,64,False
2025-11-26,50,34,84,13,60,False
2025-11-27,45,24,76,10,57,False
2025-11-28,42,25,86,10,52,False
2025-11-29,45,25,80,10,57,False
2025-11-30,51,30,81,12,66,False
2025-12-01,44,31,95,10,69,False
2025-12-02,48,30,95,11,65,False
2025-12-03,48,36,93,12,71,False
2025-12-04,47,23,71,12,74,False
2025-12-05,45,20,75,10,71,False
2025-12-06,51,16,69,11,66,False
2025-12-07,53,19,80,12,65,False
2025-12-08,57,23,90,13,73,False
2025-12-09,56,25,78,10,70,False
2025-12-10,50,26,79,12,68,False
2025-12-11,55,24,77,12,67,False
2025-12-12,55,23,78,13,65,False
2025-12-13,63,27,81,15,71,False
2025-12-14,64,24,77,12,69,False
2025-12-15,62,28,88,11,75,False
2025-12-16,65,27,83,13,76,False
2025-12-17,66,27,94,15,74,False
2025-12-18,72,31,96,15,76,False
2025-12-19,58,22,83,14,69,False
2025-12-20,71,21,76,15,78,False
2025-12-21,71,21,82,12,77,False
2025-12-22,73,21,83,15,80,False
2025-12-23,72,21,76,12,79,False
2025-12-24,69,23,76,14,82,False
2025-12-25,64,21,67,14,67,False
2025-12-26,70,20,80,13,86,False
2025-12-27,75,27,88,17,87,False
2025-12-28,74,27,84,16,88,False
2025-12-29,69,24,79,15,89,False
2025-12-30,60,21,82,13,98,False
2025-12-31,52,19,74,13,85,False
2026-01-01,51,21,76,13,85,False
2026-01-02,58,20,88,15,89,False
2026-01-03,52,23,80,14,89,False
2026-01-04,50,21,84,12,82,False
2026-01-05,48,18,75,13,82,False
2026-01-06,46,20,83,11,83,False
2026-01-07,47,24,83,11,74,False
2026-01-08,42,20,79,11,73,False
2026-01-09,43,18,83,12,70,False
2026-01-10,40,18,72,11,66,False
2026-01-11,47,23,76,11,62,False
2026-01-12,44,22,78,11,63,False
2026-01-13,45,23,81,12,65,False
2026-01-14,44,23,89,11,59,False
2026-01-15,45,26,100,13,55,False
2026-01-16,44,24,84,11,60,False
2026-01-17,49,26,88,14,56,False
2026-01-18,49,23,88,11,58,False
2026-01-19,44,28,87,12,57,False
2026-01-20,51,25,87,12,63,False
2026-01-21,48,30,96,14,56,False
2026-01-22,47,31,94,13,57,False
2026-01-23,45,23,92,13,55,False
2026-01-24,49,29,82,11,62,False
2026-01-25,50,33,97,11,66,False
2026-01-26,51,29,99,13,64,False
2026-01-27,55,27,91,13,67,False
2026-01-28,51,26,89,12,62,False
2026-01-29,48,27,98,14,62,False
2026-01-30,47,30,95,13,60,False
2026-01-31,48,33,98,14,56,False
2026-02-01,38,18,65,9,55,False
2026-02-02,40,17,73,8,59,False
2026-02-03,41,19,83,10,57,False
2026-02-04,42,17,80,9,56,False
2026-02-05,40,18,75,10,57,False
2026-02-06,38,18,72,8,53,False
2026-02-07,43,16,72,10,54,False
2026-02-08,42,17,68,8,51,False
2026-02-09,41,19,73,9,52,False
2026-02-10,45,20,85,10,55,False
2026-02-11,41,20,74,9,57,False
2026-02-12,44,21,73,9,54,False
2026-02-13,42,20,73,8,50,False
2026-02-14,41,22,65,8,47,False
2026-02-15,52,21,93,11,69,True
