date,fever cough,difficulty breathing,shortness of breath,chest pain cough,pneumonia symptoms,isPartial
2021-02-14,9,10,42,3,17,False
2021-02-21,8,11,45,3,17,False
2021-02-28,8,10,40,3,17,False
2021-03-07,10,10,41,3,17,False
2021-03-14,9,10,38,3,18,False
2021-03-21,11,11,40,3,20,False
2021-03-28,12,11,39,3,23,False
2021-04-04,15,12,44,3,25,False
2021-04-11,17,12,50,4,28,False
2021-04-18,21,15,54,4,33,False
2021-04-25,20,14,55,4,34,False
2021-05-02,19,15,55,5,29,False
2021-05-09,16,14,51,4,30,False
2021-05-16,14,13,50,4,28,False
2021-05-23,13,12,43,4,23,False
2021-05-30,14,12,40,4,22,False
2021-06-06,14,11,40,3,21,False
2021-06-13,14,11,39,3,20,False
2021-06-20,15,11,38,3,20,False
2021-06-27,14,10,37,3,19,False
2021-07-04,15,11,40,4,20,False
2021-07-11,16,10,40,4,21,False
2021-07-18,17,11,39,4,22,False
2021-07-25,17,11,42,3,24,False
2021-08-01,17,10,42,4,25,False
2021-08-08,19,11,47,4,27,False
2021-08-15,19,11,49,4,30,False
2021-08-22,21,11,49,4,32,False
2021-08-29,19,12,46,4,29,False
2021-09-05,18,12,43,4,29,False
2021-09-12,19,12,47,4,30,False
2021-09-19,18,11,42,4,28,False
2021-09-26,18,12,38,4,29,False
2021-10-03,18,12,42,4,33,False
2021-10-10,18,11,39,4,30,False
2021-10-17,17,11,37,4,29,False
2021-10-24,16,11,38,4,28,False
2021-10-31,16,10,38,4,29,False
2021-11-07,18,10,37,5,30,False
2021-11-14,18,10,39,5,31,False
2021-11-21,18,10,32,4,30,False
2021-11-28,18,9,37,5,33,False
2021-12-05,17,9,37,5,33,False
2021-12-12,19,9,38,5,33,False
2021-12-19,24,8,41,6,36,False
2021-12-26,27,11,52,7,46,False
2022-01-02,28,11,54,6,52,False
2022-01-09,26,11,50,6,48,False
2022-01-16,21,10,47,5,39,False
2022-01-23,17,11,41,5,36,False
2022-01-30,13,10,41,4,31,False
2022-02-06,11,11,39,4,28,False
2022-02-13,11,11,42,3,25,False
2022-02-20,11,11,41,3,25,False
2022-02-27,10,11,42,4,24,False
2022-03-06,12,10,39,3,22,False
2022-03-13,12,10,37,3,24,False
2022-03-20,13,11,40,4,25,False
2022-03-27,14,11,40,4,24,False
2022-04-03,13,11,39,4,24,False
2022-04-10,15,10,40,4,25,False
2022-04-17,15,10,39,4,24,False
2022-04-24,15,10,40,4,26,False
2022-05-01,16,9,35,4,24,False
2022-05-08,16,9,35,4,23,False
2022-05-15,16,10,36,4,28,False
2022-05-22,17,10,34,3,26,False
2022-05-29,17,9,33,4,27,False
2022-06-05,17,10,35,4,27,False
