date,loss of smell,body aches fever,rash fever,swollen lymph nodes,fatigue fever,isPartial
2025-11-15,11,11,32,85,8,False
2025-11-16,15,11,37,87,7,False
2025-11-17,15,13,35,90,9,False
2025-11-18,15,16,31,89,10,False
2025-11-19,15,15,36,92,11,False
2025-11-20,19,15,36,92,11,False
2025-11-21,16,15,37,85,10,False
2025-11-22,12,14,36,85,12,False
2025-11-23,15,16,39,88,11,False
2025-11-24,15,13,43,82,8,False
2025-11-25,14,13,42,88,10,False
2025-11-26,17,15,37,86,10,False
2025-11-27,17,11,33,76,8,False
2025-11-28,16,14,31,72,8,False
2025-11-29,15,14,40,80,12,False
2025-11-30,13,17,34,87,11,False
2025-12-01,16,16,41,79,12,False
2025-12-02,14,12,43,91,12,False
2025-12-03,18,15,33,88,8,False
2025-12-04,17,15,37,88,10,False
2025-12-05,16,11,32,87,10,False
2025-12-06,17,16,37,78,9,False
2025-12-07,20,14,45,76,11,False
2025-12-08,17,14,40,86,13,False
2025-12-09,15,17,36,85,12,False
2025-12-10,15,16,33,75,11,False
2025-12-11,15,15,33,82,10,False
2025-12-12,16,16,39,84,11,False
2025-12-13,15,17,35,71,12,False
2025-12-14,16,17,33,72,13,False
2025-12-15,16,20,39,76,12,False
2025-12-16,17,22,38,84,16,False
2025-12-17,20,25,34,90,14,False
2025-12-18,19,25,39,87,14,False
2025-12-19,16,21,41,84,12,False
2025-12-20,19,22,34,87,13,False
2025-12-21,17,24,38,84,11,False
2025-12-22,15,23,41,85,12,False
2025-12-23,15,24,38,87,12,False
2025-12-24,17,23,30,80,7,False
2025-12-25,16,22,30,74,8,False
2025-12-26,17,24,33,91,11,False
2025-12-27,22,30,39,83,13,False
2025-12-28,20,32,33,95,15,False
2025-12-29,20,23,33,87,9,False
2025-12-30,19,25,33,91,8,False
2025-12-31,18,21,33,100,9,False
2026-01-01,16,23,29,81,9,False
2026-01-02,17,20,33,90,12,False
2026-01-03,14,23,34,97,13,False
2026-01-04,19,23,35,84,11,False
2026-01-05,17,20,26,91,8,False
2026-01-06,18,18,32,85,9,False
2026-01-07,18,18,27,88,12,False
2026-01-08,15,19,29,80,10,False
2026-01-09,17,12,29,90,9,False
2026-01-10,12,15,26,79,9,False
2026-01-11,19,13,32,83,10,False
2026-01-12,15,15,31,87,12,False
2026-01-13,12,16,35,87,9,False
2026-01-14,16,16,36,83,11,False
2026-01-15,17,12,38,85,10,False
2026-01-16,14,16,33,81,12,False
2026-01-17,14,12,32,85,9,False
2026-01-18,18,15,39,84,12,False
2026-01-19,15,15,41,81,11,False
2026-01-20,17,17,36,84,9,False
2026-01-21,16,19,41,84,13,False
2026-01-22,14,13,42,79,11,False
2026-01-23,16,15,33,79,11,False
2026-01-24,15,17,36,85,9,False
2026-01-25,15,14,38,81,12,False
2026-01-26,16,14,40,76,10,False
2026-01-27,15,17,42,85,11,False
2026-01-28,18,10,34,82,11,False
2026-01-29,16,19,32,79,12,False
2026-01-30,20,14,34,82,13,False
2026-01-31,19,17,44,75,12,False
2026-02-01,12,13,32,75,7,False
2026-02-02,11,14,31,77,8,False
2026-02-03,11,15,35,78,9,False
2026-02-04,11,15,31,79,9,False
2026-02-05,11,14,31,78,8,False
2026-02-06,12,13,30,78,7,False
2026-02-07,11,13,38,71,8,False
2026-02-08,11,13,29,74,8,False
2026-02-09,11,14,32,73,8,False
2026-02-10,11,16,34,82,10,False
2026-02-11,11,15,30,81,9,False
2026-02-12,11,14,28,77,8,False
2026-02-13,11,12,31,72,10,False
2026-02-14,12,13,28,65,8,False
2026-02-15,17,20,39,96,12,True
