date,loss of smell,body aches fever,rash fever,swollen lymph nodes,fatigue fever,isPartial
2021-02-14,33,7,14,70,4,False
2021-02-21,34,6,13,72,4,False
2021-02-28,31,7,13,72,5,False
2021-03-07,31,7,13,71,5,False
2021-03-14,36,7,13,71,5,False
2021-03-21,41,8,14,73,5,False
2021-03-28,48,8,15,81,5,False
2021-04-04,56,10,16,77,7,False
2021-04-11,65,10,14,78,6,False
2021-04-18,78,10,17,83,6,False
2021-04-25,72,9,16,89,7,False
2021-05-02,61,9,16,84,6,False
2021-05-09,50,9,16,83,6,False
2021-05-16,42,8,14,76,5,False
2021-05-23,35,8,16,78,5,False
2021-05-30,31,7,17,72,5,False
2021-06-06,28,7,17,81,5,False
2021-06-13,28,7,18,72,6,False
2021-06-20,31,9,17,69,6,False
2021-06-27,29,7,17,72,5,False
2021-07-04,37,9,18,74,5,False
2021-07-11,40,10,17,72,6,False
2021-07-18,49,9,18,72,6,False
2021-07-25,51,11,19,76,6,False
2021-08-01,56,11,18,77,6,False
2021-08-08,61,10,17,78,6,False
2021-08-15,61,10,17,77,5,False
2021-08-22,64,12,19,81,6,False
2021-08-29,61,11,18,76,5,False
2021-09-05,60,10,19,75,6,False
2021-09-12,55,10,18,79,6,False
2021-09-19,50,9,17,73,5,False
2021-09-26,49,9,19,72,5,False
2021-10-03,48,9,17,77,5,False
2021-10-10,42,9,19,78,5,False
2021-10-17,41,9,18,74,5,False
2021-10-24,39,9,18,75,5,False
2021-10-31,39,9,18,74,5,False
2021-11-07,40,9,18,77,5,False
2021-11-14,43,10,18,78,5,False
2021-11-21,43,10,16,72,5,False
2021-11-28,47,11,19,79,5,False
2021-12-05,48,11,17,81,5,False
2021-12-12,50,13,16,83,6,False
2021-12-19,65,21,17,97,7,False
2021-12-26,81,33,19,96,10,False
2022-01-02,85,29,20,94,10,False
2022-01-09,76,23,19,95,9,False
2022-01-16,53,18,16,85,7,False
2022-01-23,43,13,16,78,6,False
2022-01-30,32,11,18,80,6,False
2022-02-06,26,9,16,78,5,False
2022-02-13,21,8,17,78,5,False
2022-02-20,17,8,17,75,5,False
2022-02-27,15,8,17,70,5,False
2022-03-06,17,8,18,74,5,False
2022-03-13,17,9,19,76,5,False
2022-03-20,18,8,20,81,6,False
2022-03-27,17,8,19,78,6,False
2022-04-03,17,9,19,82,5,False
2022-04-10,19,10,20,75,5,False
2022-04-17,19,9,19,78,6,False
2022-04-24,16,9,20,81,6,False
2022-05-01,17,10,20,74,5,False
2022-05-08,19,10,22,74,6,False
2022-05-15,18,11,24,73,5,False
2022-05-22,18,11,22,75,6,False
2022-05-29,17,11,21,72,5,False
2022-06-05,19,11,22,79,5,False
2022-06-12,20,11,24,76,6,False
2022-06-19,22,13,25,81,6,False
2022-06-26,23,13,23,75,6,False
2022-07-03,24,14,23,79,6,False
2022-07-10,25,14,23,82,6,False
2022-07-17,25,12,22,78,6,False
2022-07-24,23,12,23,97,7,False
2022-07-31,23,13,24,100,6,False
2022-08-07,21,13,23,85,6,False
2022-08-14,18,12,22,79,7,False
2022-08-21,16,12,22,75,6,False
2022-08-28,16,10,22,70,5,False
2022-09-04,16,10,22,69,6,False
2022-09-11,15,10,23,70,6,False
2022-09-18,16,10,22,66,5,False
2022-09-25,15,10,23,64,6,False
2022-10-02,16,10,23,66,5,False
2022-10-09,16,10,24,72,5,False
2022-10-16,15,11,23,69,5,False
2022-10-23,16,12,25,70,5,False
2022-10-30,16,14,25,74,6,False
2022-11-06,15,14,26,67,5,False
2022-11-13,15,14,29,73,6,False
2022-11-20,16,17,30,68,6,False
2022-11-27,19,18,36,82,7,False
2022-12-04,17,17,80,70,6,False
2022-12-11,19,16,66,75,6,False
2022-12-18,25,16,52,75,6,False
2022-12-25,24,18,38,73,7,False
2023-01-01,20,15,28,76,5,False
2023-01-08,16,12,26,73,5,False
2023-01-15,13,12,27,74,5,False
2023-01-22,14,11,29,73,5,False
2023-01-29,14,11,29,71,5,False
2023-02-05,13,11,29,72,5,False
2023-02-12,13,11,29,75,5,False
2023-02-19,13,12,30,73,6,False
2023-02-26,13,12,28,72,6,False
2023-03-05,12,11,29,71,6,False
2023-03-12,13,11,28,74,5,False
2023-03-19,13,13,31,83,6,False
2023-03-26,13,11,28,76,5,False
2023-04-02,13,11,29,69,6,False
2023-04-09,13,11,27,74,6,False
2023-04-16,13,10,26,71,5,False
2023-04-23,12,10,25,70,5,False
2023-04-30,11,10,24,73,5,False
2023-05-07,11,10,27,72,5,False
2023-05-14,11,10,27,72,5,False
2023-05-21,11,10,26,77,5,False
2023-05-28,10,10,26,69,5,False
2023-06-04,10,9,26,67,5,False
2023-06-11,10,10,25,73,5,False
2023-06-18,9,9,24,75,5,False
2023-06-25,10,9,23,79,5,False
2023-07-02,9,9,22,72,5,False
2023-07-09,9,10,24,71,5,False
2023-07-16,9,10,23,65,5,False
2023-07-23,9,9,23,70,5,False
2023-07-30,10,10,23,63,6,False
2023-08-06,11,10,22,70,6,False
2023-08-13,11,11,22,69,5,False
2023-08-20,11,11,22,67,5,False
2023-08-27,12,12,21,64,5,False
2023-09-03,11,13,23,64,5,False
2023-09-10,11,12,23,70,6,False
2023-09-17,12,11,23,65,6,False
2023-09-24,12,12,22,64,6,False
2023-10-01,12,11,23,66,6,False
2023-10-08,12,10,23,66,5,False
2023-10-15,11,11,23,66,5,False
2023-10-22,10,11,25,71,6,False
2023-10-29,11,12,25,67,5,False
2023-11-05,12,12,25,69,5,False
2023-11-12,12,12,26,69,5,False
2023-11-19,12,12,25,69,6,False
2023-11-26,13,14,26,70,5,False
2023-12-03,15,15,27,65,5,False
2023-12-10,15,16,28,69,6,False
2023-12-17,17,19,27,71,7,False
2023-12-24,19,22,28,73,6,False
2023-12-31,17,18,24,72,6,False
2024-01-07,13,14,24,67,5,False
2024-01-14,11,12,26,68,5,False
2024-01-21,13,13,27,69,5,False
2024-01-28,11,13,29,70,6,False
2024-02-04,11,13,30,77,6,False
2024-02-11,11,13,28,74,7,False
2024-02-18,12,13,30,73,6,False
2024-02-25,11,13,30,73,6,False
2024-03-03,10,11,30,77,5,False
2024-03-10,10,11,32,74,6,False
2024-03-17,11,11,33,76,6,False
2024-03-24,11,12,30,80,5,False
2024-03-31,10,11,28,78,5,False
2024-04-07,10,11,28,77,5,False
2024-04-14,11,10,28,73,6,False
2024-04-21,9,11,29,75,5,False
2024-04-28,9,11,28,73,6,False
2024-05-05,10,11,30,80,5,False
2024-05-12,10,10,30,75,5,False
2024-05-19,11,11,28,75,6,False
2024-05-26,10,11,30,68,5,False
2024-06-02,10,11,27,71,5,False
2024-06-09,9,11,26,73,6,False
2024-06-16,10,11,28,73,6,False
2024-06-23,10,10,29,75,5,False
2024-06-30,9,10,27,68,5,False
2024-07-07,11,11,26,74,5,False
2024-07-14,10,11,28,74,6,False
2024-07-21,10,11,25,75,5,False
2024-07-28,10,11,25,71,5,False
2024-08-04,10,10,25,70,6,False
2024-08-11,9,12,25,74,5,False
2024-08-18,9,12,25,80,6,False
2024-08-25,9,12,25,72,6,False
2024-09-01,10,11,24,73,6,False
2024-09-08,9,10,24,73,5,False
2024-09-15,10,11,22,75,5,False
2024-09-22,10,10,24,70,5,False
2024-09-29,10,10,23,70,5,False
2024-10-06,9,10,25,71,6,False
2024-10-13,9,10,25,71,5,False
2024-10-20,9,10,24,70,6,False
2024-10-27,8,11,23,80,5,False
2024-11-03,8,10,26,71,6,False
2024-11-10,10,10,24,77,5,False
2024-11-17,10,11,26,73,5,False
2024-11-24,9,10,25,70,5,False
2024-12-01,9,11,27,75,5,False
2024-12-08,10,13,26,75,5,False
2024-12-15,12,15,26,73,6,False
2024-12-22,12,20,29,79,7,False
2024-12-29,13,20,27,84,7,False
2025-01-05,11,16,24,74,6,False
2025-01-12,10,17,25,80,7,False
2025-01-19,11,17,27,76,7,False
2025-01-26,12,21,29,78,7,False
2025-02-02,11,20,29,84,8,False
2025-02-09,11,18,26,79,6,False
2025-02-16,11,15,28,87,7,False
2025-02-23,10,15,27,82,7,False
2025-03-02,12,14,29,81,7,False
2025-03-09,10,13,26,78,6,False
2025-03-16,10,12,28,84,6,False
2025-03-23,10,11,27,77,6,False
2025-03-30,10,11,27,78,6,False
2025-04-06,9,11,26,77,5,False
2025-04-13,9,11,27,74,6,False
2025-04-20,10,10,26,80,5,False
2025-04-27,9,10,27,72,5,False
2025-05-04,9,9,25,76,6,False
2025-05-11,8,9,25,70,5,False
2025-05-18,10,9,24,73,5,False
2025-05-25,9,10,24,78,5,False
2025-06-01,10,10,25,75,6,False
2025-06-08,10,9,24,76,6,False
2025-06-15,9,9,25,72,5,False
2025-06-22,8,9,26,74,6,False
2025-06-29,8,8,22,67,5,False
2025-07-06,8,9,23,82,5,False
