indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
cholera_deaths,WHS3_50,VGB,Americas,AMR,2021,0.0,0,,
cholera_deaths,WHS3_50,COL,Americas,AMR,1990,7.0,7,,
cholera_deaths,WHS3_50,VEN,Americas,AMR,2023,0.0,0,,
cholera_deaths,WHS3_50,LBR,Africa,AFR,2014,1.0,1,,
cholera_deaths,WHS3_50,SLV,Americas,AMR,2006,0.0,0,,
cholera_deaths,WHS3_50,BOL,Americas,AMR,2007,6.0,6,,
cholera_deaths,WHS3_50,ASM,Western Pacific,WPR,1998,0.0,0,,
cholera_deaths,WHS3_50,LSO,Africa,AFR,2000,0.0,0,,
cholera_deaths,WHS3_50,HKG,,,2000,0.0,0,,
cholera_deaths,WHS3_50,MUS,Africa,AFR,2008,0.0,0,,
cholera_deaths,WHS3_50,BRA,Americas,AMR,2024,8.0,8,,
cholera_deaths,WHS3_50,BFA,Africa,AFR,2020,17.0,17,,
cholera_deaths,WHS3_50,AND,Europe,EUR,2006,0.0,0,,
cholera_deaths,WHS3_50,CRI,Americas,AMR,2004,0.0,0,,
cholera_deaths,WHS3_50,TLS,South-East Asia,SEAR,2012,0.0,0,,
cholera_deaths,WHS3_50,MKD,Europe,EUR,2009,0.0,0,,
cholera_deaths,WHS3_50,ZMB,Africa,AFR,2009,0.0,0,,
cholera_deaths,WHS3_50,RWA,Africa,AFR,2013,0.0,0,,
cholera_deaths,WHS3_50,ZAF,Africa,AFR,2016,0.0,0,,
cholera_deaths,WHS3_50,LKA,South-East Asia,SEAR,2022,0.0,0,,
cholera_deaths,WHS3_50,FRA,Europe,EUR,2006,0.0,0,,
cholera_deaths,WHS3_50,MLI,Africa,AFR,1997,0.0,0,,
cholera_deaths,WHS3_50,GNB,Africa,AFR,2001,0.0,0,,
cholera_deaths,WHS3_50,MLI,Africa,AFR,2007,1.0,1,,
cholera_deaths,WHS3_50,KIR,Western Pacific,WPR,2013,0.0,0,,
cholera_deaths,WHS3_50,NZL,Western Pacific,WPR,2003,0.0,0,,
cholera_deaths,WHS3_50,BLR,Europe,EUR,2014,0.0,0,,
cholera_deaths,WHS3_50,NGA,Africa,AFR,2018,47.0,47,,
cholera_deaths,WHS3_50,GTM,Americas,AMR,2014,0.0,0,,
cholera_deaths,WHS3_50,PER,Americas,AMR,2001,28.0,28,,
cholera_deaths,WHS3_50,PRY,Americas,AMR,2000,0.0,0,,
cholera_deaths,WHS3_50,SLB,Western Pacific,WPR,2013,0.0,0,,
cholera_deaths,WHS3_50,BOL,Americas,AMR,1990,50.0,50,,
cholera_deaths,WHS3_50,BEN,Africa,AFR,2003,57.0,57,,
cholera_deaths,WHS3_50,KAZ,Europe,EUR,2012,0.0,0,,
cholera_deaths,WHS3_50,MAC,,,1998,0.0,0,,
cholera_deaths,WHS3_50,GBR,Europe,EUR,2024,0.0,0,,
cholera_deaths,WHS3_50,DJI,Eastern Mediterranean,EMR,2023,0.0,0,,
cholera_deaths,WHS3_50,GRD,Americas,AMR,2020,0.0,0,,
cholera_deaths,WHS3_50,COL,Americas,AMR,1977,9.0,9,,
cholera_deaths,WHS3_50,WB_HI,,,2017,1.0,1,,
cholera_deaths,WHS3_50,BTN,South-East Asia,SEAR,2011,0.0,0,,
cholera_deaths,WHS3_50,SWE,Europe,EUR,2004,0.0,0,,
cholera_deaths,WHS3_50,NZL,Western Pacific,WPR,1999,0.0,0,,
cholera_deaths,WHS3_50,SLE,Africa,AFR,1995,1.0,1,,
cholera_deaths,WHS3_50,PRT,Europe,EUR,2006,0.0,0,,
cholera_deaths,WHS3_50,NIC,Americas,AMR,2023,0.0,0,,
cholera_deaths,WHS3_50,PRT,Europe,EUR,2021,0.0,0,,
cholera_deaths,WHS3_50,BEL,Europe,EUR,2018,0.0,0,,
cholera_deaths,WHS3_50,BRA,Americas,AMR,2009,46.0,46,,
cholera_deaths,WHS3_50,SWE,Europe,EUR,2020,0.0,0,,
cholera_deaths,WHS3_50,SVK,Europe,EUR,2007,0.0,0,,
cholera_deaths,WHS3_50,OMN,Eastern Mediterranean,EMR,2001,0.0,0,,
cholera_deaths,WHS3_50,HRV,Europe,EUR,2017,0.0,0,,
cholera_deaths,WHS3_50,SWE,Europe,EUR,2013,0.0,0,,
cholera_deaths,WHS3_50,SUR,Americas,AMR,2012,0.0,0,,
cholera_deaths,WHS3_50,TLS,South-East Asia,SEAR,2013,0.0,0,,
cholera_deaths,WHS3_50,SEAR,,,2000,0.0,0,,
cholera_deaths,WHS3_50,NIU,Western Pacific,WPR,2011,0.0,0,,
cholera_deaths,WHS3_50,KOR,Western Pacific,WPR,2013,0.0,0,,
cholera_deaths,WHS3_50,PAN,Americas,AMR,2006,0.0,0,,
cholera_deaths,WHS3_50,ARM,Europe,EUR,2018,0.0,0,,
cholera_deaths,WHS3_50,SEN,Africa,AFR,2019,0.0,0,,
cholera_deaths,WHS3_50,URY,Americas,AMR,2017,0.0,0,,
cholera_deaths,WHS3_50,BHS,Americas,AMR,2024,0.0,0,,
cholera_deaths,WHS3_50,VCT,Americas,AMR,2020,0.0,0,,
cholera_deaths,WHS3_50,AFR,,,1987,3012.0,3012,,
cholera_deaths,WHS3_50,WPR,,,2018,0.0,0,,
cholera_deaths,WHS3_50,BDI,Africa,AFR,1997,0.0,0,,
cholera_deaths,WHS3_50,VEN,Americas,AMR,2014,0.0,0,,
cholera_deaths,WHS3_50,KWT,Eastern Mediterranean,EMR,2011,0.0,0,,
cholera_deaths,WHS3_50,GNQ,Africa,AFR,2008,10.0,10,,
cholera_deaths,WHS3_50,NZL,Western Pacific,WPR,2004,0.0,0,,
cholera_deaths,WHS3_50,KEN,Africa,AFR,2014,0.0,0,,
cholera_deaths,WHS3_50,USA,Americas,AMR,2012,0.0,0,,
cholera_deaths,WHS3_50,JOR,Eastern Mediterranean,EMR,2020,0.0,0,,
cholera_deaths,WHS3_50,AMR,,,2022,14.0,14,,
cholera_deaths,WHS3_50,EST,Europe,EUR,2018,0.0,0,,
cholera_deaths,WHS3_50,SYC,Africa,AFR,2024,0.0,0,,
cholera_deaths,WHS3_50,BLZ,Americas,AMR,2017,0.0,0,,
cholera_deaths,WHS3_50,MAC,,,2009,0.0,0,,
cholera_deaths,WHS3_50,CYP,Europe,EUR,2019,0.0,0,,
cholera_deaths,WHS3_50,GAB,Africa,AFR,2015,1.0,1,,
cholera_deaths,WHS3_50,LSO,Africa,AFR,2017,0.0,0,,
cholera_deaths,WHS3_50,ROU,Europe,EUR,2020,0.0,0,,
cholera_deaths,WHS3_50,CAN,Americas,AMR,2024,0.0,0,,
cholera_deaths,WHS3_50,MAC,,,2021,0.0,0,,
cholera_deaths,WHS3_50,MDV,South-East Asia,SEAR,2019,0.0,0,,
cholera_deaths,WHS3_50,AGO,Africa,AFR,2003,0.0,0,,
cholera_deaths,WHS3_50,MKD,Europe,EUR,2002,0.0,0,,
cholera_deaths,WHS3_50,LKA,South-East Asia,SEAR,2014,0.0,0,,
cholera_deaths,WHS3_50,NRU,Western Pacific,WPR,2009,0.0,0,,
cholera_deaths,WHS3_50,THA,South-East Asia,SEAR,2005,0.0,0,,
cholera_deaths,WHS3_50,WB_LMI,,,1988,5116.0,5116,,
cholera_deaths,WHS3_50,AZE,Europe,EUR,2014,0.0,0,,
cholera_deaths,WHS3_50,CAF,Africa,AFR,2004,0.0,0,,
cholera_deaths,WHS3_50,GNB,Africa,AFR,2010,0.0,0,,
cholera_deaths,WHS3_50,IRL,Europe,EUR,2023,0.0,0,,
cholera_deaths,WHS3_50,JPN,Western Pacific,WPR,2024,0.0,0,,
cholera_deaths,WHS3_50,ECU,Americas,AMR,2023,0.0,0,,
cholera_deaths,WHS3_50,AIA,Americas,AMR,2024,0.0,0,,
cholera_deaths,WHS3_50,ZMB,Africa,AFR,2008,0.0,0,,
cholera_deaths,WHS3_50,AMR,,,1998,276.0,276,,
cholera_deaths,WHS3_50,MDG,Africa,AFR,2010,0.0,0,,
cholera_deaths,WHS3_50,SXM,Americas,AMR,2017,0.0,0,,
cholera_deaths,WHS3_50,UGA,Africa,AFR,2016,8.0,8,,
cholera_deaths,WHS3_50,IRL,Europe,EUR,2017,0.0,0,,
cholera_deaths,WHS3_50,TZA,Africa,AFR,2006,0.0,0,,
cholera_deaths,WHS3_50,BLZ,Americas,AMR,2009,0.0,0,,
cholera_deaths,WHS3_50,SLV,Americas,AMR,2021,0.0,0,,
cholera_deaths,WHS3_50,KWT,Eastern Mediterranean,EMR,2024,0.0,0,,
cholera_deaths,WHS3_50,WB_LMI,,,1984,904.0,904,,
cholera_deaths,WHS3_50,LBN,Eastern Mediterranean,EMR,1998,0.0,0,,
cholera_deaths,WHS3_50,SGP,Western Pacific,WPR,2005,0.0,0,,
cholera_deaths,WHS3_50,PER,Americas,AMR,1996,86.0,86,,
cholera_deaths,WHS3_50,JPN,Western Pacific,WPR,2010,0.0,0,,
cholera_deaths,WHS3_50,TTO,Americas,AMR,2009,0.0,0,,
cholera_deaths,WHS3_50,QAT,Eastern Mediterranean,EMR,2010,0.0,0,,
cholera_deaths,WHS3_50,NLD,Europe,EUR,2014,0.0,0,,
cholera_deaths,WHS3_50,OMN,Eastern Mediterranean,EMR,2007,0.0,0,,
cholera_deaths,WHS3_50,BEL,Europe,EUR,2023,0.0,0,,
cholera_deaths,WHS3_50,COL,Americas,AMR,1985,5.0,5,,
cholera_deaths,WHS3_50,SYC,Africa,AFR,2022,0.0,0,,
cholera_deaths,WHS3_50,AMR,,,1997,146.0,146,,
cholera_deaths,WHS3_50,TGO,Africa,AFR,2001,0.0,0,,
cholera_deaths,WHS3_50,PER,Americas,AMR,2024,19.0,19,,
cholera_deaths,WHS3_50,MNG,Western Pacific,WPR,2017,0.0,0,,
cholera_deaths,WHS3_50,EUR,,,2010,0.0,0,,
cholera_deaths,WHS3_50,CUB,Americas,AMR,2023,0.0,0,,
cholera_deaths,WHS3_50,BFA,Africa,AFR,2006,3.0,3,,
cholera_deaths,WHS3_50,GUY,Americas,AMR,2000,0.0,0,,
cholera_deaths,WHS3_50,GIN,Africa,AFR,2002,39.0,39,,
cholera_deaths,WHS3_50,MDG,Africa,AFR,2021,0.0,0,,
cholera_deaths,WHS3_50,PLW,Western Pacific,WPR,2008,0.0,0,,
cholera_deaths,WHS3_50,PRY,Americas,AMR,2001,0.0,0,,
cholera_deaths,WHS3_50,BRA,Americas,AMR,2005,3.0,3,,
