indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
measles_mcv2_coverage,MCV2,JAM,Americas,AMR,2020,89.0,89,,
measles_mcv2_coverage,MCV2,KNA,Americas,AMR,2016,96.0,96,,
measles_mcv2_coverage,MCV2,FRA,Europe,EUR,2007,0.0,0,,
measles_mcv2_coverage,MCV2,BEL,Europe,EUR,2024,82.0,82,,
measles_mcv2_coverage,MCV2,ETH,Africa,AFR,2018,0.0,0,,
measles_mcv2_coverage,MCV2,NGA,Africa,AFR,2001,0.0,0,,
measles_mcv2_coverage,MCV2,BTN,South-East Asia,SEAR,2003,0.0,0,,
measles_mcv2_coverage,MCV2,SAU,Eastern Mediterranean,EMR,2012,98.0,98,,
measles_mcv2_coverage,MCV2,GUY,Americas,AMR,2012,90.0,90,,
measles_mcv2_coverage,MCV2,NZL,Western Pacific,WPR,2023,84.0,84,,
measles_mcv2_coverage,MCV2,CPV,Africa,AFR,2023,86.0,86,,
measles_mcv2_coverage,MCV2,TON,Western Pacific,WPR,2001,0.0,0,,
measles_mcv2_coverage,MCV2,TLS,South-East Asia,SEAR,2014,0.0,0,,
measles_mcv2_coverage,MCV2,TTO,Americas,AMR,2013,86.0,86,,
measles_mcv2_coverage,MCV2,TTO,Americas,AMR,2021,88.0,88,,
measles_mcv2_coverage,MCV2,BIH,Europe,EUR,2020,66.0,66,,
measles_mcv2_coverage,MCV2,JAM,Americas,AMR,2014,72.0,72,,
measles_mcv2_coverage,MCV2,CMR,Africa,AFR,2010,0.0,0,,
measles_mcv2_coverage,MCV2,ARM,Europe,EUR,2015,97.0,97,,
measles_mcv2_coverage,MCV2,UGA,Africa,AFR,2016,0.0,0,,
measles_mcv2_coverage,MCV2,MDA,Europe,EUR,2023,93.0,93,,
measles_mcv2_coverage,MCV2,GRD,Americas,AMR,2011,85.0,85,,
measles_mcv2_coverage,MCV2,BFA,Africa,AFR,2008,0.0,0,,
measles_mcv2_coverage,MCV2,MRT,Africa,AFR,2012,0.0,0,,
measles_mcv2_coverage,MCV2,VCT,Americas,AMR,2002,99.0,99,,
measles_mcv2_coverage,MCV2,OMN,Eastern Mediterranean,EMR,2011,99.0,99,,
measles_mcv2_coverage,MCV2,NGA,Africa,AFR,2005,0.0,0,,
measles_mcv2_coverage,MCV2,MDV,South-East Asia,SEAR,2001,0.0,0,,
measles_mcv2_coverage,MCV2,CPV,Africa,AFR,2017,85.0,85,,
measles_mcv2_coverage,MCV2,WB_LMI,,,2023,76.0,76,,
measles_mcv2_coverage,MCV2,ETH,Africa,AFR,2021,41.0,41,,
measles_mcv2_coverage,MCV2,CAF,Africa,AFR,2015,0.0,0,,
measles_mcv2_coverage,MCV2,WB_UMI,,,2000,28.0,28,,
measles_mcv2_coverage,MCV2,VCT,Americas,AMR,2016,99.0,99,,
measles_mcv2_coverage,MCV2,GNQ,Africa,AFR,2022,13.0,13,,
measles_mcv2_coverage,MCV2,GMB,Africa,AFR,2012,56.0,56,,
measles_mcv2_coverage,MCV2,MYS,Western Pacific,WPR,2017,99.0,99,,
measles_mcv2_coverage,MCV2,UKR,Europe,EUR,2022,69.0,69,,
measles_mcv2_coverage,MCV2,YEM,Eastern Mediterranean,EMR,2023,39.0,39,,
measles_mcv2_coverage,MCV2,MLT,Europe,EUR,2005,60.0,60,,
measles_mcv2_coverage,MCV2,IDN,Western Pacific,WPR,2001,0.0,0,,
measles_mcv2_coverage,MCV2,MOZ,Africa,AFR,2004,0.0,0,,
measles_mcv2_coverage,MCV2,PRY,Americas,AMR,2010,77.0,77,,
measles_mcv2_coverage,MCV2,GAB,Africa,AFR,2005,0.0,0,,
measles_mcv2_coverage,MCV2,BOL,Americas,AMR,2024,61.0,61,,
measles_mcv2_coverage,MCV2,SEN,Africa,AFR,2007,0.0,0,,
measles_mcv2_coverage,MCV2,CHL,Americas,AMR,2016,87.0,87,,
measles_mcv2_coverage,MCV2,KGZ,Europe,EUR,2023,93.0,93,,
measles_mcv2_coverage,MCV2,SWE,Europe,EUR,2011,95.0,95,,
