indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
meningitis_epidemic_districts,MENING_3,BEN,Africa,AFR,2009,,0,,
meningitis_epidemic_districts,MENING_3,ETH,Africa,AFR,2014,3.0,3,,
meningitis_epidemic_districts,MENING_3,TGO,Africa,AFR,2008,,0,,
meningitis_epidemic_districts,MENING_3,NER,Africa,AFR,2007,,0,,
meningitis_epidemic_districts,MENING_3,COD,Africa,AFR,2014,,Not applicable,,
meningitis_epidemic_districts,MENING_3,CIV,Africa,AFR,2013,0.0,0,,
meningitis_epidemic_districts,MENING_3,BEN,Africa,AFR,2011,0.0,0,,
meningitis_epidemic_districts,MENING_3,GHA,Africa,AFR,2008,,0,,
meningitis_epidemic_districts,MENING_3,CAF,Africa,AFR,2006,,0,,
meningitis_epidemic_districts,MENING_3,TCD,Africa,AFR,2012,12.0,12,,
meningitis_epidemic_districts,MENING_3,TGO,Africa,AFR,2009,,0,,
meningitis_epidemic_districts,MENING_3,NGA,Africa,AFR,2009,,175,,
meningitis_epidemic_districts,MENING_3,NER,Africa,AFR,2009,,23,,
meningitis_epidemic_districts,MENING_3,GIN,Africa,AFR,2012,0.0,0,,
meningitis_epidemic_districts,MENING_3,TCD,Africa,AFR,2010,11.0,11,,
meningitis_epidemic_districts,MENING_3,MLI,Africa,AFR,2006,,3,,
meningitis_epidemic_districts,MENING_3,NGA,Africa,AFR,2003,,19,,
meningitis_epidemic_districts,MENING_3,BFA,Africa,AFR,2003,,12,,
meningitis_epidemic_districts,MENING_3,GHA,Africa,AFR,2012,4.0,4,,
meningitis_epidemic_districts,MENING_3,CAF,Africa,AFR,2012,2.0,2,,
meningitis_epidemic_districts,MENING_3,GHA,Africa,AFR,2004,,1,,
meningitis_epidemic_districts,MENING_3,CMR,Africa,AFR,2010,3.0,3,,
meningitis_epidemic_districts,MENING_3,GHA,Africa,AFR,2006,,0,,
meningitis_epidemic_districts,MENING_3,NGA,Africa,AFR,2012,2.0,2,,
meningitis_epidemic_districts,MENING_3,NER,Africa,AFR,2005,,0,,
meningitis_epidemic_districts,MENING_3,TCD,Africa,AFR,2013,0.0,0,,
meningitis_epidemic_districts,MENING_3,NER,Africa,AFR,2010,4.0,4,,
meningitis_epidemic_districts,MENING_3,GHA,Africa,AFR,2010,3.0,3,,
meningitis_epidemic_districts,MENING_3,ETH,Africa,AFR,2004,,5,,
meningitis_epidemic_districts,MENING_3,BEN,Africa,AFR,2003,,3,,
meningitis_epidemic_districts,MENING_3,CIV,Africa,AFR,2011,0.0,0,,
meningitis_epidemic_districts,MENING_3,CIV,Africa,AFR,2007,,2,,
meningitis_epidemic_districts,MENING_3,BEN,Africa,AFR,2005,,0,,
meningitis_epidemic_districts,MENING_3,CMR,Africa,AFR,2011,10.0,10,,
meningitis_epidemic_districts,MENING_3,ETH,Africa,AFR,2010,0.0,0,,
