indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_deaths_hiv_neg,MDG_0000000017,FIN,Europe,EUR,2021,0.44,0.44 [0.44-0.44],0.44,0.44
tb_deaths_hiv_neg,MDG_0000000017,CMR,Africa,AFR,2022,21.0,21 [14-30],14.0,30.0
tb_deaths_hiv_neg,MDG_0000000017,TJK,Europe,EUR,2017,8.5,8.5 [7.6-9.4],7.6,9.4
tb_deaths_hiv_neg,MDG_0000000017,BLR,Europe,EUR,2007,11.0,11 [10-12],10.0,12.0
tb_deaths_hiv_neg,MDG_0000000017,BOL,Americas,AMR,2013,13.0,13 [9.6-16],9.6,16.0
tb_deaths_hiv_neg,MDG_0000000017,AUS,Western Pacific,WPR,2002,0.33,0.33 [0.33-0.34],0.33,0.34
tb_deaths_hiv_neg,MDG_0000000017,HRV,Europe,EUR,2014,0.96,0.96 [0.95-0.96],0.95,0.96
tb_deaths_hiv_neg,MDG_0000000017,GIN,Africa,AFR,2023,17.0,17 [11-24],11.0,24.0
tb_deaths_hiv_neg,MDG_0000000017,TZA,Africa,AFR,2001,71.0,71 [27-136],27.0,136.0
tb_deaths_hiv_neg,MDG_0000000017,GTM,Americas,AMR,2018,1.9,1.9 [1.7-2.1],1.7,2.1
tb_deaths_hiv_neg,MDG_0000000017,CYP,Europe,EUR,2000,0.0,0 [0-0],0.0,0.0
tb_deaths_hiv_neg,MDG_0000000017,USA,Americas,AMR,2012,0.17,0.17 [0.17-0.17],0.17,0.17
tb_deaths_hiv_neg,MDG_0000000017,SVK,Europe,EUR,2007,0.66,0.66 [0.65-0.66],0.65,0.66
tb_deaths_hiv_neg,MDG_0000000017,GRC,Europe,EUR,2004,0.75,0.75 [0.71-0.78],0.71,0.78
tb_deaths_hiv_neg,MDG_0000000017,MNG,Western Pacific,WPR,2016,11.0,11 [9.6-12],9.6,12.0
tb_deaths_hiv_neg,MDG_0000000017,COG,Africa,AFR,2018,38.0,38 [26-53],26.0,53.0
tb_deaths_hiv_neg,MDG_0000000017,PRT,Europe,EUR,2013,2.2,2.2 [2.1-2.4],2.1,2.4
tb_deaths_hiv_neg,MDG_0000000017,KIR,Western Pacific,WPR,2003,44.0,44 [39-49],39.0,49.0
tb_deaths_hiv_neg,MDG_0000000017,KHM,Western Pacific,WPR,2021,17.0,17 [8-29],8.0,29.0
tb_deaths_hiv_neg,MDG_0000000017,CAN,Americas,AMR,2002,0.46,0.46 [0.46-0.46],0.46,0.46
tb_deaths_hiv_neg,MDG_0000000017,SEN,Africa,AFR,2013,33.0,33 [23-45],23.0,45.0
tb_deaths_hiv_neg,MDG_0000000017,BFA,Africa,AFR,2011,16.0,16 [7-29],7.0,29.0
tb_deaths_hiv_neg,MDG_0000000017,THA,South-East Asia,SEAR,2011,13.0,13 [8.2-19],8.2,19.0
tb_deaths_hiv_neg,MDG_0000000017,MRT,Africa,AFR,2009,32.0,32 [22-44],22.0,44.0
tb_deaths_hiv_neg,MDG_0000000017,TCD,Africa,AFR,2007,31.0,31 [20-45],20.0,45.0
tb_deaths_hiv_neg,MDG_0000000017,AZE,Europe,EUR,2003,14.0,14 [13-16],13.0,16.0
tb_deaths_hiv_neg,MDG_0000000017,CYP,Europe,EUR,2008,0.22,0.22 [0.2-0.25],0.2,0.25
tb_deaths_hiv_neg,MDG_0000000017,MMR,South-East Asia,SEAR,2023,66.0,66 [42-95],42.0,95.0
tb_deaths_hiv_neg,MDG_0000000017,VUT,Western Pacific,WPR,2021,12.0,12 [4.6-22],4.6,22.0
tb_deaths_hiv_neg,MDG_0000000017,MUS,Africa,AFR,2024,1.2,1.2 [1.2-1.3],1.2,1.3
tb_deaths_hiv_neg,MDG_0000000017,VUT,Western Pacific,WPR,2000,146.0,146 [116-180],116.0,180.0
tb_deaths_hiv_neg,MDG_0000000017,GIN,Africa,AFR,2019,20.0,20 [14-28],14.0,28.0
tb_deaths_hiv_neg,MDG_0000000017,GTM,Americas,AMR,2005,3.0,3 [2.8-3.2],2.8,3.2
tb_deaths_hiv_neg,MDG_0000000017,BRA,Americas,AMR,2020,2.5,2.5 [2.4-2.5],2.4,2.5
tb_deaths_hiv_neg,MDG_0000000017,USA,Americas,AMR,2003,0.28,0.28 [0.27-0.28],0.27,0.28
tb_deaths_hiv_neg,MDG_0000000017,SLE,Africa,AFR,2013,112.0,112 [48-202],48.0,202.0
tb_deaths_hiv_neg,MDG_0000000017,STP,Africa,AFR,2017,22.0,22 [15-30],15.0,30.0
tb_deaths_hiv_neg,MDG_0000000017,CUB,Americas,AMR,2022,0.33,0.33 [0.3-0.37],0.3,0.37
tb_deaths_hiv_neg,MDG_0000000017,WB_UMI,,,2017,7.1,7.1 [6.8-7.4],6.8,7.4
tb_deaths_hiv_neg,MDG_0000000017,JAM,Americas,AMR,2001,0.52,0.52 [0.46-0.59],0.46,0.59
tb_deaths_hiv_neg,MDG_0000000017,COM,Africa,AFR,2015,10.0,10 [3.6-20],3.6,20.0
tb_deaths_hiv_neg,MDG_0000000017,AUT,Europe,EUR,2003,0.56,0.56 [0.56-0.56],0.56,0.56
tb_deaths_hiv_neg,MDG_0000000017,KWT,Eastern Mediterranean,EMR,2010,1.1,1.1 [1.1-1.1],1.1,1.1
tb_deaths_hiv_neg,MDG_0000000017,MRT,Africa,AFR,2004,38.0,38 [26-51],26.0,51.0
tb_deaths_hiv_neg,MDG_0000000017,MLI,Africa,AFR,2021,9.5,9.5 [4.2-17],4.2,17.0
tb_deaths_hiv_neg,MDG_0000000017,CIV,Africa,AFR,2003,25.0,25 [13-39],13.0,39.0
tb_deaths_hiv_neg,MDG_0000000017,TUR,Europe,EUR,2015,0.69,0.69 [0.68-0.7],0.68,0.7
tb_deaths_hiv_neg,MDG_0000000017,SUR,Americas,AMR,2020,2.3,2.3 [2-2.5],2.0,2.5
tb_deaths_hiv_neg,MDG_0000000017,MHL,Western Pacific,WPR,2021,92.0,92 [63-125],63.0,125.0
tb_deaths_hiv_neg,MDG_0000000017,KGZ,Europe,EUR,2009,11.0,11 [11-11],11.0,11.0
tb_deaths_hiv_neg,MDG_0000000017,BEL,Europe,EUR,2009,0.55,0.55 [0.54-0.56],0.54,0.56
tb_deaths_hiv_neg,MDG_0000000017,MKD,Europe,EUR,2016,1.4,1.4 [1.3-1.4],1.3,1.4
tb_deaths_hiv_neg,MDG_0000000017,MDA,Europe,EUR,2024,6.3,6.3 [5.2-7.5],5.2,7.5
tb_deaths_hiv_neg,MDG_0000000017,POL,Europe,EUR,2018,1.5,1.5 [1.4-1.6],1.4,1.6
tb_deaths_hiv_neg,MDG_0000000017,CUB,Americas,AMR,2015,0.44,0.44 [0.44-0.44],0.44,0.44
tb_deaths_hiv_neg,MDG_0000000017,COL,Americas,AMR,2002,3.5,3.5 [3.4-3.6],3.4,3.6
tb_deaths_hiv_neg,MDG_0000000017,MMR,South-East Asia,SEAR,2014,62.0,62 [35-96],35.0,96.0
tb_deaths_hiv_neg,MDG_0000000017,BGD,South-East Asia,SEAR,2013,47.0,47 [30-67],30.0,67.0
tb_deaths_hiv_neg,MDG_0000000017,SWZ,Africa,AFR,2011,58.0,58 [33-88],33.0,88.0
tb_deaths_hiv_neg,MDG_0000000017,ECU,Americas,AMR,2015,3.5,3.5 [3-4],3.0,4.0
tb_deaths_hiv_neg,MDG_0000000017,SLE,Africa,AFR,2008,132.0,132 [56-239],56.0,239.0
tb_deaths_hiv_neg,MDG_0000000017,BIH,Europe,EUR,2006,5.2,5.2 [4.9-5.6],4.9,5.6
tb_deaths_hiv_neg,MDG_0000000017,AUT,Europe,EUR,2020,0.46,0.46 [0.45-0.47],0.45,0.47
tb_deaths_hiv_neg,MDG_0000000017,SRB,Europe,EUR,2017,1.2,1.2 [1.2-1.3],1.2,1.3
tb_deaths_hiv_neg,MDG_0000000017,MHL,Western Pacific,WPR,2008,122.0,122 [85-167],85.0,167.0
tb_deaths_hiv_neg,MDG_0000000017,GNB,Africa,AFR,2007,38.0,38 [22-58],22.0,58.0
tb_deaths_hiv_neg,MDG_0000000017,TLS,South-East Asia,SEAR,2022,28.0,28 [16-44],16.0,44.0
tb_deaths_hiv_neg,MDG_0000000017,AFG,Eastern Mediterranean,EMR,2010,54.0,54 [38-73],38.0,73.0
tb_deaths_hiv_neg,MDG_0000000017,SWE,Europe,EUR,2011,0.5,0.5 [0.49-0.51],0.49,0.51
tb_deaths_hiv_neg,MDG_0000000017,EUR,,,2006,7.0,7 [6.8-7.1],6.8,7.1
tb_deaths_hiv_neg,MDG_0000000017,SLV,Americas,AMR,2013,1.2,1.2 [1-1.3],1.0,1.3
tb_deaths_hiv_neg,MDG_0000000017,MLI,Africa,AFR,2012,15.0,15 [8.2-24],8.2,24.0
tb_deaths_hiv_neg,MDG_0000000017,PNG,Western Pacific,WPR,2022,126.0,126 [93-165],93.0,165.0
tb_deaths_hiv_neg,MDG_0000000017,ZMB,Africa,AFR,2004,30.0,30 [13-55],13.0,55.0
tb_deaths_hiv_neg,MDG_0000000017,AFG,Eastern Mediterranean,EMR,2023,34.0,34 [23-47],23.0,47.0
tb_deaths_hiv_neg,MDG_0000000017,NPL,South-East Asia,SEAR,2024,53.0,53 [28-87],28.0,87.0
tb_deaths_hiv_neg,MDG_0000000017,GNB,Africa,AFR,2009,36.0,36 [21-54],21.0,54.0
