indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_incidence,MDG_0000000020,ARM,Europe,EUR,2008,108.0,108 [88-130],88.0,130.0
tb_incidence,MDG_0000000020,BTN,South-East Asia,SEAR,2010,474.0,474 [386-572],386.0,572.0
tb_incidence,MDG_0000000020,GNQ,Africa,AFR,2015,239.0,239 [145-463],145.0,463.0
tb_incidence,MDG_0000000020,LTU,Europe,EUR,2015,73.0,73 [59-87],59.0,87.0
tb_incidence,MDG_0000000020,KGZ,Europe,EUR,2004,273.0,273 [222-330],222.0,330.0
tb_incidence,MDG_0000000020,NIC,Americas,AMR,2008,76.0,76 [62-92],62.0,92.0
tb_incidence,MDG_0000000020,CHE,Europe,EUR,2024,5.4,5.4 [4.4-6.5],4.4,6.5
tb_incidence,MDG_0000000020,ZWE,Africa,AFR,2011,384.0,384 [199-629],199.0,629.0
tb_incidence,MDG_0000000020,ATG,Americas,AMR,2008,1.2,1.2 [0.98-1.5],0.98,1.5
tb_incidence,MDG_0000000020,WB_LI,,,2014,234.0,234 [185-290],185.0,290.0
tb_incidence,MDG_0000000020,CPV,Africa,AFR,2011,121.0,121 [99-146],99.0,146.0
tb_incidence,MDG_0000000020,LBY,Eastern Mediterranean,EMR,2014,33.0,33 [21-60],21.0,60.0
tb_incidence,MDG_0000000020,TLS,South-East Asia,SEAR,2016,403.0,403 [251-751],251.0,751.0
tb_incidence,MDG_0000000020,NPL,South-East Asia,SEAR,2019,238.0,238 [141-359],141.0,359.0
tb_incidence,MDG_0000000020,MAC,,,2004,153.0,153 [124-184],124.0,184.0
tb_incidence,MDG_0000000020,MDA,Europe,EUR,2009,122.0,122 [99-147],99.0,147.0
tb_incidence,MDG_0000000020,LBR,Africa,AFR,2018,257.0,257 [157-501],157.0,501.0
tb_incidence,MDG_0000000020,SLV,Americas,AMR,2011,43.0,43 [35-52],35.0,52.0
tb_incidence,MDG_0000000020,SSD,Africa,AFR,2012,407.0,407 [251-770],251.0,770.0
tb_incidence,MDG_0000000020,ERI,Africa,AFR,2005,483.0,483 [393-582],393.0,582.0
tb_incidence,MDG_0000000020,DJI,Eastern Mediterranean,EMR,2021,392.0,392 [319-472],319.0,472.0
tb_incidence,MDG_0000000020,GUY,Americas,AMR,2021,66.0,66 [54-79],54.0,79.0
tb_incidence,MDG_0000000020,CAF,Africa,AFR,2010,556.0,556 [345-1050],345.0,1050.0
tb_incidence,MDG_0000000020,CYP,Europe,EUR,2020,3.2,3.2 [2.6-3.9],2.6,3.9
tb_incidence,MDG_0000000020,NAM,Africa,AFR,2017,565.0,565 [381-784],381.0,784.0
tb_incidence,MDG_0000000020,LBY,Eastern Mediterranean,EMR,2019,40.0,40 [24-76],24.0,76.0
tb_incidence,MDG_0000000020,OMN,Eastern Mediterranean,EMR,2010,17.0,17 [14-21],14.0,21.0
tb_incidence,MDG_0000000020,GBR,Europe,EUR,2019,8.1,8.1 [7.5-8.7],7.5,8.7
tb_incidence,MDG_0000000020,PAK,Eastern Mediterranean,EMR,2020,260.0,260 [185-351],185.0,351.0
tb_incidence,MDG_0000000020,PAN,Americas,AMR,2017,61.0,61 [49-73],49.0,73.0
tb_incidence,MDG_0000000020,BRN,Western Pacific,WPR,2023,72.0,72 [59-87],59.0,87.0
tb_incidence,MDG_0000000020,BIH,Europe,EUR,2023,20.0,20 [16-24],16.0,24.0
tb_incidence,MDG_0000000020,DOM,Americas,AMR,2012,61.0,61 [50-74],50.0,74.0
tb_incidence,MDG_0000000020,DMA,Americas,AMR,2004,8.7,8.7 [7.1-10],7.1,10.0
tb_incidence,MDG_0000000020,ISL,Europe,EUR,2024,3.0,3 [2.5-3.6],2.5,3.6
tb_incidence,MDG_0000000020,PRI,Americas,AMR,2004,5.7,5.7 [4.6-6.9],4.6,6.9
tb_incidence,MDG_0000000020,GTM,Americas,AMR,2017,23.0,23 [19-28],19.0,28.0
tb_incidence,MDG_0000000020,DOM,Americas,AMR,2018,49.0,49 [40-59],40.0,59.0
tb_incidence,MDG_0000000020,YEM,Eastern Mediterranean,EMR,2023,38.0,38 [32-44],32.0,44.0
