indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_smear_detection,MDG_0000000030,DNK,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,BRA,Americas,AMR,2000,70.0,70 [58-87],58.0,87.0
tb_smear_detection,MDG_0000000030,TTO,Americas,AMR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,SWZ,Africa,AFR,2000,49.0,49 [41-62],41.0,62.0
tb_smear_detection,MDG_0000000030,TJK,Europe,EUR,2000,20.0,20 [16-25],16.0,25.0
tb_smear_detection,MDG_0000000030,BLR,Europe,EUR,2008,83.0,83 [69-100],69.0,100.0
tb_smear_detection,MDG_0000000030,CYP,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,SEN,Africa,AFR,2008,40.0,40 [34-51],34.0,51.0
tb_smear_detection,MDG_0000000030,BFA,Africa,AFR,2008,15.0,15 [12-19],12.0,19.0
tb_smear_detection,MDG_0000000030,IDN,Western Pacific,WPR,2000,28.0,28 [23-35],23.0,35.0
tb_smear_detection,MDG_0000000030,SVN,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,NPL,South-East Asia,SEAR,2008,64.0,64 [54-80],54.0,80.0
tb_smear_detection,MDG_0000000030,SVN,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,NIC,Americas,AMR,2008,94.0,94 [78-110],78.0,110.0
tb_smear_detection,MDG_0000000030,UKR,Europe,EUR,2000,85.0,85 [71-110],71.0,110.0
tb_smear_detection,MDG_0000000030,MRT,Africa,AFR,2008,28.0,28 [23-35],23.0,35.0
tb_smear_detection,MDG_0000000030,AZE,Europe,EUR,2008,48.0,48 [40-60],40.0,60.0
tb_smear_detection,MDG_0000000030,PHL,Western Pacific,WPR,2000,53.0,53 [44-66],44.0,66.0
tb_smear_detection,MDG_0000000030,ITA,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,MNG,Western Pacific,WPR,2000,57.0,57 [48-72],48.0,72.0
tb_smear_detection,MDG_0000000030,RUS,Europe,EUR,2008,73.0,73 [61-86],61.0,86.0
tb_smear_detection,MDG_0000000030,MHL,Western Pacific,WPR,2008,44.0,44 [37-45],37.0,45.0
tb_smear_detection,MDG_0000000030,LBN,Eastern Mediterranean,EMR,2008,91.0,91 [76-100],76.0,100.0
tb_smear_detection,MDG_0000000030,NRU,Western Pacific,WPR,2000,180.0,180 [150-200],150.0,200.0
tb_smear_detection,MDG_0000000030,EST,Europe,EUR,2008,88.0,88 [73-100],73.0,100.0
tb_smear_detection,MDG_0000000030,FIN,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,LBY,Eastern Mediterranean,EMR,2000,68.0,68 [57-85],57.0,85.0
tb_smear_detection,MDG_0000000030,SRB,Europe,EUR,2008,170.0,170 [140-210],140.0,210.0
tb_smear_detection,MDG_0000000030,RWA,Africa,AFR,2008,26.0,26 [22-32],22.0,32.0
tb_smear_detection,MDG_0000000030,TKM,Europe,EUR,2000,80.0,80 [67-82],67.0,82.0
tb_smear_detection,MDG_0000000030,BRN,Western Pacific,WPR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,USA,Americas,AMR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,STP,Africa,AFR,2008,59.0,59 [49-74],49.0,74.0
tb_smear_detection,MDG_0000000030,BHR,Eastern Mediterranean,EMR,2008,86.0,86 [72-100],72.0,100.0
tb_smear_detection,MDG_0000000030,AUS,Western Pacific,WPR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,OMN,Eastern Mediterranean,EMR,2000,95.0,95 [79-100],79.0,100.0
tb_smear_detection,MDG_0000000030,GUY,Americas,AMR,2008,66.0,66 [55-83],55.0,83.0
tb_smear_detection,MDG_0000000030,LKA,South-East Asia,SEAR,2000,72.0,72 [60-90],60.0,90.0
tb_smear_detection,MDG_0000000030,LBR,Africa,AFR,2008,51.0,51 [43-64],43.0,64.0
tb_smear_detection,MDG_0000000030,AGO,Africa,AFR,2000,46.0,46 [38-57],38.0,57.0
tb_smear_detection,MDG_0000000030,CHN,Western Pacific,WPR,2008,72.0,72 [60-90],60.0,90.0
tb_smear_detection,MDG_0000000030,DMA,Americas,AMR,2008,60.0,60 [50-75],50.0,75.0
tb_smear_detection,MDG_0000000030,PRK,South-East Asia,SEAR,2008,70.0,70 [59-80],59.0,80.0
tb_smear_detection,MDG_0000000030,DZA,Africa,AFR,2000,100.0,100 [86-130],86.0,130.0
tb_smear_detection,MDG_0000000030,BOL,Americas,AMR,2008,77.0,77 [64-96],64.0,96.0
tb_smear_detection,MDG_0000000030,GHA,Africa,AFR,2008,30.0,30 [25-38],25.0,38.0
tb_smear_detection,MDG_0000000030,BLZ,Americas,AMR,2008,120.0,120 [100-150],100.0,150.0
tb_smear_detection,MDG_0000000030,MLI,Africa,AFR,2000,14.0,14 [12-18],12.0,18.0
tb_smear_detection,MDG_0000000030,NAM,Africa,AFR,2000,77.0,77 [64-87],64.0,87.0
tb_smear_detection,MDG_0000000030,BDI,Africa,AFR,2008,29.0,29 [24-37],24.0,37.0
tb_smear_detection,MDG_0000000030,AND,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,KNA,Americas,AMR,2000,0.0,0 [0-0],0.0,0.0
tb_smear_detection,MDG_0000000030,ECU,Americas,AMR,2000,69.0,69 [57-86],57.0,86.0
tb_smear_detection,MDG_0000000030,HND,Americas,AMR,2008,72.0,72 [60-89],60.0,89.0
tb_smear_detection,MDG_0000000030,COK,Western Pacific,WPR,2000,0.0,0 [0-0],0.0,0.0
tb_smear_detection,MDG_0000000030,SDN,Eastern Mediterranean,EMR,2008,40.0,40 [33-50],33.0,50.0
tb_smear_detection,MDG_0000000030,JOR,Eastern Mediterranean,EMR,2008,91.0,91 [76-100],76.0,100.0
tb_smear_detection,MDG_0000000030,SLV,Americas,AMR,2000,82.0,82 [68-100],68.0,100.0
tb_smear_detection,MDG_0000000030,LBY,Eastern Mediterranean,EMR,2008,83.0,83 [69-100],69.0,100.0
tb_smear_detection,MDG_0000000030,CYP,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,CZE,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,ZMB,Africa,AFR,2000,48.0,48 [40-60],40.0,60.0
tb_smear_detection,MDG_0000000030,KAZ,Europe,EUR,2000,99.0,99 [82-110],82.0,110.0
tb_smear_detection,MDG_0000000030,BRA,Americas,AMR,2008,75.0,75 [63-91],63.0,91.0
tb_smear_detection,MDG_0000000030,DJI,Eastern Mediterranean,EMR,2000,56.0,56 [46-63],46.0,63.0
tb_smear_detection,MDG_0000000030,MMR,South-East Asia,SEAR,2008,43.0,43 [35-53],35.0,53.0
tb_smear_detection,MDG_0000000030,SEN,Africa,AFR,2000,45.0,45 [37-56],37.0,56.0
tb_smear_detection,MDG_0000000030,MDA,Europe,EUR,2000,38.0,38 [32-48],32.0,48.0
tb_smear_detection,MDG_0000000030,ISR,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,ALB,Europe,EUR,2000,64.0,64 [53-73],53.0,73.0
tb_smear_detection,MDG_0000000030,GIN,Africa,AFR,2008,40.0,40 [33-50],33.0,50.0
tb_smear_detection,MDG_0000000030,PRY,Americas,AMR,2000,62.0,62 [52-78],52.0,78.0
tb_smear_detection,MDG_0000000030,JAM,Americas,AMR,2008,78.0,78 [65-98],65.0,98.0
tb_smear_detection,MDG_0000000030,COM,Africa,AFR,2008,52.0,52 [44-65],44.0,65.0
tb_smear_detection,MDG_0000000030,KHM,Western Pacific,WPR,2000,44.0,44 [37-55],37.0,55.0
tb_smear_detection,MDG_0000000030,CAN,Americas,AMR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,TUR,Europe,EUR,2008,81.0,81 [68-100],68.0,100.0
tb_smear_detection,MDG_0000000030,CIV,Africa,AFR,2000,31.0,31 [26-39],26.0,39.0
tb_smear_detection,MDG_0000000030,MHL,Western Pacific,WPR,2000,17.0,17 [14-22],14.0,22.0
tb_smear_detection,MDG_0000000030,LBR,Africa,AFR,2000,27.0,27 [22-34],22.0,34.0
tb_smear_detection,MDG_0000000030,ESP,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,TZA,Africa,AFR,2000,70.0,70 [61-79],61.0,79.0
tb_smear_detection,MDG_0000000030,SLE,Africa,AFR,2000,28.0,28 [23-35],23.0,35.0
tb_smear_detection,MDG_0000000030,VNM,Western Pacific,WPR,2000,67.0,67 [49-81],49.0,81.0
tb_smear_detection,MDG_0000000030,SWZ,Africa,AFR,2008,51.0,51 [42-63],42.0,63.0
tb_smear_detection,MDG_0000000030,TJK,Europe,EUR,2008,49.0,49 [41-62],41.0,62.0
tb_smear_detection,MDG_0000000030,ISL,Europe,EUR,2008,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,SLB,Western Pacific,WPR,2000,29.0,29 [24-36],24.0,36.0
tb_smear_detection,MDG_0000000030,MAR,Eastern Mediterranean,EMR,2000,97.0,97 [81-110],81.0,110.0
tb_smear_detection,MDG_0000000030,URY,Americas,AMR,2008,100.0,100 [85-110],85.0,110.0
tb_smear_detection,MDG_0000000030,COD,Africa,AFR,2000,49.0,49 [40-61],40.0,61.0
tb_smear_detection,MDG_0000000030,EST,Europe,EUR,2000,84.0,84 [70-100],70.0,100.0
tb_smear_detection,MDG_0000000030,FRA,Europe,EUR,2000,87.0,87 [77-100],77.0,100.0
tb_smear_detection,MDG_0000000030,CHL,Americas,AMR,2008,100.0,100 [86-130],86.0,130.0
tb_smear_detection,MDG_0000000030,TON,Western Pacific,WPR,2000,110.0,110 [93-130],93.0,130.0
tb_smear_detection,MDG_0000000030,FSM,Western Pacific,WPR,2000,22.0,22 [19-28],19.0,28.0
tb_smear_detection,MDG_0000000030,GTM,Americas,AMR,2000,48.0,48 [40-60],40.0,60.0
tb_smear_detection,MDG_0000000030,PAK,Eastern Mediterranean,EMR,2000,2.3,2.3,1.9,2.9
tb_smear_detection,MDG_0000000030,VEN,Americas,AMR,2000,75.0,75 [62-94],62.0,94.0
tb_smear_detection,MDG_0000000030,ROU,Europe,EUR,2008,110.0,110 [90-140],90.0,140.0
tb_smear_detection,MDG_0000000030,KGZ,Europe,EUR,2008,65.0,65 [54-81],54.0,81.0
