indicator,indicator_code,country_code,region,region_code,year,value,value_str,low,high
tb_smear_treatment_success,MDG_0000000031,LKA,South-East Asia,SEAR,2010,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,AND,Europe,EUR,2006,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,MKD,Europe,EUR,2008,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,LVA,Europe,EUR,2004,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,MUS,Africa,AFR,2009,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,MHL,Western Pacific,WPR,2000,91.0,91,,
tb_smear_treatment_success,MDG_0000000031,ATG,Americas,AMR,2005,50.0,50,,
tb_smear_treatment_success,MDG_0000000031,PER,Americas,AMR,2010,68.0,68,,
tb_smear_treatment_success,MDG_0000000031,SVN,Europe,EUR,1997,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,ATG,Americas,AMR,1998,50.0,50,,
tb_smear_treatment_success,MDG_0000000031,MYS,Western Pacific,WPR,2003,72.0,72,,
tb_smear_treatment_success,MDG_0000000031,HRV,Europe,EUR,2008,58.0,58,,
tb_smear_treatment_success,MDG_0000000031,NRU,Western Pacific,WPR,1999,50.0,50,,
tb_smear_treatment_success,MDG_0000000031,WB_LI,,,2001,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,FSM,Western Pacific,WPR,2005,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,COL,Americas,AMR,1998,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,SYR,Eastern Mediterranean,EMR,2005,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,IRQ,Eastern Mediterranean,EMR,1994,95.0,95,,
tb_smear_treatment_success,MDG_0000000031,ZMB,Africa,AFR,2005,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,NGA,Africa,AFR,1999,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,GIN,Africa,AFR,2006,75.0,75,,
tb_smear_treatment_success,MDG_0000000031,CHN,Western Pacific,WPR,2011,95.0,95,,
tb_smear_treatment_success,MDG_0000000031,BRN,Western Pacific,WPR,1998,85.0,85,,
tb_smear_treatment_success,MDG_0000000031,SGP,Western Pacific,WPR,1999,93.0,93,,
tb_smear_treatment_success,MDG_0000000031,MAR,Eastern Mediterranean,EMR,1999,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,MYS,Western Pacific,WPR,1999,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,MDA,Europe,EUR,2008,62.0,62,,
tb_smear_treatment_success,MDG_0000000031,BFA,Africa,AFR,2011,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,GTM,Americas,AMR,1999,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,PER,Americas,AMR,2008,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,TGO,Africa,AFR,2009,81.0,81,,
tb_smear_treatment_success,MDG_0000000031,IRQ,Eastern Mediterranean,EMR,2005,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,CYP,Europe,EUR,2009,29.0,29,,
tb_smear_treatment_success,MDG_0000000031,MUS,Africa,AFR,2007,85.0,85,,
tb_smear_treatment_success,MDG_0000000031,SOM,Eastern Mediterranean,EMR,2005,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,IND,South-East Asia,SEAR,2003,76.0,76,,
tb_smear_treatment_success,MDG_0000000031,PHL,Western Pacific,WPR,2005,89.0,89,,
tb_smear_treatment_success,MDG_0000000031,UZB,Europe,EUR,1998,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,PAK,Eastern Mediterranean,EMR,2006,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,LVA,Europe,EUR,2003,74.0,74,,
tb_smear_treatment_success,MDG_0000000031,LUX,Europe,EUR,2010,0.0,0,,
tb_smear_treatment_success,MDG_0000000031,FJI,Western Pacific,WPR,2011,93.0,93,,
tb_smear_treatment_success,MDG_0000000031,ROU,Europe,EUR,2006,83.0,83,,
tb_smear_treatment_success,MDG_0000000031,GBR,Europe,EUR,2008,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,ARG,Americas,AMR,2004,58.0,58,,
tb_smear_treatment_success,MDG_0000000031,TUN,Eastern Mediterranean,EMR,2001,90.0,90,,
tb_smear_treatment_success,MDG_0000000031,PRT,Europe,EUR,1994,48.0,48,,
tb_smear_treatment_success,MDG_0000000031,NLD,Europe,EUR,1997,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,MDV,South-East Asia,SEAR,2005,86.0,86,,
tb_smear_treatment_success,MDG_0000000031,MNG,Western Pacific,WPR,2006,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,GNQ,Africa,AFR,1997,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,BIH,Europe,EUR,2001,98.0,98,,
tb_smear_treatment_success,MDG_0000000031,BDI,Africa,AFR,2010,92.0,92,,
tb_smear_treatment_success,MDG_0000000031,GEO,Europe,EUR,2000,63.0,63,,
tb_smear_treatment_success,MDG_0000000031,HUN,Europe,EUR,2007,51.0,51,,
tb_smear_treatment_success,MDG_0000000031,LBN,Eastern Mediterranean,EMR,2009,82.0,82,,
tb_smear_treatment_success,MDG_0000000031,AZE,Europe,EUR,2004,56.0,56,,
tb_smear_treatment_success,MDG_0000000031,SLE,Africa,AFR,2009,79.0,79,,
tb_smear_treatment_success,MDG_0000000031,GTM,Americas,AMR,2002,84.0,84,,
tb_smear_treatment_success,MDG_0000000031,RWA,Africa,AFR,2004,77.0,77,,
tb_smear_treatment_success,MDG_0000000031,SRB,Europe,EUR,2011,87.0,87,,
tb_smear_treatment_success,MDG_0000000031,TZA,Africa,AFR,2000,78.0,78,,
tb_smear_treatment_success,MDG_0000000031,KIR,Western Pacific,WPR,2000,91.0,91,,
tb_smear_treatment_success,MDG_0000000031,USA,Americas,AMR,1995,76.0,76,,
tb_smear_treatment_success,MDG_0000000031,SLE,Africa,AFR,2000,77.0,77,,
tb_smear_treatment_success,MDG_0000000031,CHN,Western Pacific,WPR,2009,95.0,95,,
tb_smear_treatment_success,MDG_0000000031,SLV,Americas,AMR,2003,88.0,88,,
tb_smear_treatment_success,MDG_0000000031,WB_HI,,,2002,73.0,73,,
tb_smear_treatment_success,MDG_0000000031,CHL,Americas,AMR,1996,80.0,80,,
tb_smear_treatment_success,MDG_0000000031,EST,Europe,EUR,2000,70.0,70,,
tb_smear_treatment_success,MDG_0000000031,CAF,Africa,AFR,2005,66.0,66,,
tb_smear_treatment_success,MDG_0000000031,KNA,Americas,AMR,1999,50.0,50,,
